assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,13.5,1,0,6.6,7.6,67,17,0,0,0,0,0,45.0,2,65,True,0,4
0,0,9,0,20.9,1,0,3.4,5.0,60,19,0,0,0,0,0,8.0,2,65,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,65,True,0,4
0,0,7,0,11.3,0,0,5.4,6.4,45,15,0,0,0,0,0,36.0,1,63,False,0,4
0,0,2,0,1.8,0,0,0.4,0.0,19,12,0,0,0,0,0,2.0,1,63,True,0,4
0,0,6,0,14.8,0,0,2.0,5.2,31,2,0,0,0,0,0,0.0,1,62,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,62,True,0,4
0,0,1,0,0.4,0,0,1.0,1.0,56,10,0,0,0,0,0,9.0,1,61,False,0,4
0,0,6,0,11.8,1,0,1.6,4.4,15,3,0,0,0,0,0,0.0,1,61,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,61,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,False,0,4
0,0,5,0,16.0,0,0,2.5,4.2,25,16,0,0,0,0,0,5.0,1,60,True,0,4
0,0,3,0,1.7,0,0,0.4,2.4,26,13,0,0,0,0,0,0.0,1,60,False,0,4
0,0,3,0,15.6,0,0,2.2,4.8,26,11,0,0,0,0,0,2.0,1,60,True,0,4
0,0,11,0,43.0,3,0,6.5,13.6,90,18,0,0,0,0,0,8.0,1,60,False,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,59,False,0,4
0,0,16,1,34.8,0,0,6.1,15.0,87,15,0,0,0,0,0,11.0,3,60,False,0,4
1,3,42,0,48.3,1,1,12.2,39.8,88,5,0,0,0,0,0,34.0,13,60,True,0,4
0,0,11,0,13.8,1,0,4.1,12.2,74,20,0,0,0,0,0,15.0,2,60,False,0,4
0,0,10,1,26.8,0,0,5.0,11.2,62,7,0,0,0,0,0,12.0,3,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,59,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,58,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,57,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,56,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,56,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,55,True,0,4
0,0,3,0,10.8,0,0,3.7,5.4,26,17,0,0,0,0,0,21.0,1,55,False,0,4
0,0,2,0,4.5,0,0,0.7,2.2,34,13,0,0,0,0,0,0.0,1,55,True,0,4
0,0,3,0,2.3,1,0,4.0,6.6,62,12,0,0,0,0,0,31.0,2,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,55,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,54,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,False,0,4
0,0,2,0,0.7,0,0,0.0,0.0,16,2,0,0,0,0,0,0.0,1,54,True,0,4
0,0,12,1,9.0,0,0,2.2,4.6,68,20,0,0,0,0,0,8.0,3,54,False,0,4
0,0,18,1,16.5,0,1,9.3,31.8,64,10,0,0,0,0,0,45.0,8,54,True,0,4
0,0,-3,0,26.0,1,0,6.1,0.0,65,15,0,0,0,0,0,36.0,2,54,False,0,4
1,0,7,0,30.3,1,0,9.9,26.4,90,16,0,0,0,0,0,42.0,4,54,False,1,4
0,0,1,0,14.0,0,0,2.4,1.6,56,12,0,0,0,0,0,8.0,1,54,True,0,4
0,0,15,0,27.6,2,0,3.7,2.8,54,11,0,0,0,0,0,7.0,1,54,False,0,4
0,0,5,0,0.9,0,0,1.4,4.8,27,13,0,0,0,0,0,8.0,1,54,True,0,4
0,0,2,0,10.8,1,0,2.5,8.6,30,8,0,0,0,0,0,6.0,1,54,False,0,4
1,3,41,0,30.6,2,1,12.7,55.2,86,5,0,0,0,0,0,41.0,13,54,True,0,4
0,1,31,1,41.8,0,1,11.4,46.8,90,19,0,0,0,0,0,25.0,9,54,False,0,4
0,0,6,0,23.8,2,0,3.3,5.4,81,6,0,0,0,0,0,4.0,2,54,True,0,4
1,0,18,0,19.3,1,0,8.2,25.4,90,15,0,0,0,0,0,37.0,5,55,True,0,4
0,0,2,0,6.9,3,0,1.1,0.0,89,2,0,0,0,0,0,5.0,2,55,False,0,4
