assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,75,True,0,3
0,0,3,0,0.3,0,0,0.0,0.0,5,11,0,0,0,0,0,0.0,1,75,False,0,3
0,0,4,0,23.6,0,0,2.7,2.4,28,13,0,0,0,0,0,1.0,1,75,True,0,3
0,0,2,0,0.5,0,0,0.7,6.4,11,1,0,0,0,0,0,0.0,1,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,73,True,0,3
0,0,3,0,0.0,0,0,0.3,0.6,2,10,0,0,0,0,0,2.0,1,73,False,0,3
0,0,2,0,0.3,1,0,0.4,3.2,17,8,0,0,0,0,0,0.0,1,73,False,0,3
0,0,15,0,33.3,1,0,5.7,10.8,90,15,0,0,0,0,0,13.0,2,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,73,False,0,3
0,0,2,0,0.1,1,0,0.3,3.0,2,3,0,0,0,0,0,0.0,1,73,True,0,3
0,0,2,0,0.7,0,0,0.3,0.6,5,12,0,0,0,0,0,2.0,1,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,2.8,0,0,0.8,5.4,34,4,0,0,0,0,0,0.0,1,73,True,0,3
0,0,13,0,13.3,2,0,4.0,10.0,73,14,0,0,0,0,0,17.0,2,73,False,0,3
0,0,3,1,15.5,0,0,4.5,15.0,65,16,0,0,0,0,0,14.0,2,73,False,1,3
0,0,0,0,6.6,0,0,1.5,0.0,21,10,0,0,0,0,0,9.0,1,73,True,0,3
0,0,13,1,4.3,0,0,1.8,14.0,79,18,0,0,0,0,0,0.0,3,73,False,0,3
0,0,21,0,50.5,1,0,9.2,33.4,90,14,0,0,0,0,0,8.0,2,73,True,0,3
0,0,13,1,13.6,0,0,2.8,14.4,90,11,0,0,0,0,0,0.0,2,73,True,1,3
0,0,3,0,26.0,0,0,5.4,10.0,30,2,0,0,0,0,0,18.0,1,73,False,0,3
0,0,9,0,30.7,2,0,5.2,21.4,90,6,0,0,0,0,0,0.0,1,73,False,1,3
0,0,10,0,30.2,3,0,6.9,16.6,90,20,0,0,0,0,0,22.0,1,73,True,1,3
0,0,5,0,18.1,0,0,2.3,0.8,45,5,0,0,0,0,0,4.0,0,73,False,1,3
0,0,5,0,1.5,1,0,1.1,7.0,20,12,0,0,0,0,0,2.0,1,73,True,0,3
0,0,22,1,43.8,0,0,6.5,19.6,90,19,0,0,0,0,0,2.0,3,73,True,0,3
0,0,12,0,26.1,3,0,7.3,16.6,90,15,0,0,0,0,0,30.0,2,73,False,0,3
1,0,20,1,15.6,0,0,2.8,8.4,90,8,0,0,0,0,0,4.0,6,73,True,0,3
0,0,2,0,3.0,0,0,0.6,2.6,45,3,0,0,0,0,0,0.0,1,73,False,0,3
0,0,9,0,12.9,1,0,2.0,6.4,83,1,0,0,0,0,0,1.0,1,73,True,1,3
1,1,26,0,31.9,1,0,6.5,25.2,62,13,0,0,0,0,0,8.0,6,73,False,0,3
0,0,7,1,16.2,0,0,2.8,11.8,76,9,0,0,0,0,0,0.0,3,73,True,0,3
1,2,24,0,38.0,1,0,9.5,37.6,59,7,0,0,0,0,0,19.0,6,73,False,0,3
