assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,1,0,0.3,2,0,0.0,0.0,30,11,0,0,0,0,0,0.0,1,60,True,0,4
0,0,1,0,14.3,2,0,2.3,0.4,65,9,0,0,0,0,0,8.0,2,59,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,58,False,0,4
0,0,-1,0,1.0,0,0,0.0,0.0,7,19,0,0,0,0,0,0.0,0,58,True,1,4
0,0,2,0,1.3,0,0,0.4,0.2,13,2,0,0,0,0,0,2.0,1,58,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,57,True,0,4
0,0,0,0,0.3,0,0,0.4,0.0,14,1,0,0,0,0,0,7.0,1,57,False,0,4
0,0,-1,1,4.0,0,0,0.8,0.0,84,7,0,0,0,0,0,8.0,2,57,True,0,4
0,3,43,1,2.8,0,2,16.0,71.6,90,20,0,0,0,0,0,86.0,13,57,False,0,4
0,1,23,0,3.7,1,1,7.2,40.6,90,14,0,0,0,0,0,28.0,6,57,True,1,4
0,2,29,1,1.2,0,1,7.5,36.6,78,16,0,0,0,0,0,37.0,8,57,False,0,4
0,0,-3,0,2.8,2,0,1.6,3.2,90,15,0,0,0,0,0,10.0,1,58,True,1,4
0,0,0,0,27.8,1,0,3.5,2.8,74,12,0,0,0,0,0,4.0,1,58,False,1,4
0,0,7,1,1.2,0,0,4.8,6.8,84,6,0,0,0,0,0,40.0,2,58,True,0,4
0,0,25,0,4.3,5,1,9.6,33.6,90,10,0,0,0,0,0,58.0,6,58,True,0,4
0,0,-4,0,2.2,2,0,1.6,2.6,90,8,0,0,0,0,0,11.0,2,58,False,0,4
0,0,1,0,1.0,1,0,0.1,0.0,18,17,0,0,0,0,0,0.0,1,58,False,0,4
0,0,-7,1,0.8,0,0,4.6,0.4,62,4,0,1,0,0,0,45.0,0,58,True,0,4
0,0,2,0,0.5,0,0,0.1,0.0,3,18,0,0,0,0,0,0.0,1,58,True,0,4
0,0,2,0,0.5,0,0,0.1,0.2,10,5,0,0,0,0,0,0.0,1,58,False,0,4
0,0,6,1,1.9,0,0,0.7,1.4,61,13,0,0,0,0,0,4.0,2,57,False,0,4
0,3,36,0,15.2,2,1,10.7,43.4,90,2,0,0,0,0,0,48.0,8,57,True,1,4
0,0,5,0,23.1,2,0,6.6,10.6,90,19,0,0,0,0,0,32.0,2,57,False,0,4
0,0,3,0,1.8,2,0,0.8,0.4,22,5,0,0,0,0,0,6.0,1,57,True,0,4
0,2,25,0,4.1,1,1,7.3,35.0,76,14,0,0,0,0,0,34.0,8,57,False,0,4
0,0,23,0,16.8,1,1,9.2,30.4,71,20,0,0,0,0,0,45.0,6,57,True,0,4
