assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,45,False,0,3
0,0,2,0,0.5,0,0,0.3,0.0,1,14,0,0,0,0,0,4.0,1,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,2,1,0,0,0,0,0,0.0,1,45,True,0,3
0,0,3,0,0.5,0,0,0.3,0.2,5,17,0,0,0,0,0,2.0,1,45,False,0,3
0,0,1,0,17.8,0,0,7.7,6.0,45,16,0,0,0,0,0,53.0,1,55,True,0,3
1,0,13,0,2.7,3,0,3.5,3.6,72,20,0,0,0,0,0,29.0,5,55,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,55,False,0,3
0,0,8,0,25.1,1,0,8.4,8.8,90,14,0,0,0,0,0,50.0,2,55,True,0,3
0,0,4,0,24.1,2,0,6.9,10.2,87,17,0,0,0,0,0,35.0,2,55,False,0,3
1,0,21,0,31.8,3,0,11.4,29.4,84,7,0,0,0,0,0,53.0,5,55,True,0,3
0,0,9,0,14.2,1,0,10.9,6.8,90,3,0,0,0,0,0,88.0,2,55,True,0,3
0,0,6,0,1.8,1,0,2.6,0.0,65,18,0,0,0,0,0,26.0,2,55,False,0,3
1,0,17,0,23.8,1,0,9.4,27.0,90,9,0,0,0,0,0,43.0,5,55,True,0,3
0,0,7,0,4.2,1,0,5.4,1.6,76,4,0,0,0,0,0,48.0,2,55,False,0,3
0,0,6,1,4.2,0,0,1.4,2.8,71,2,0,0,0,0,0,7.0,3,55,True,0,3
