assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,0.0,0,0,0.6,6.2,1,17,0,0,0,0,0,0.0,1,50,True,0,3
0,0,5,0,0.3,1,0,1.2,9.4,15,2,0,0,0,0,0,2.0,1,50,False,0,3
0,0,1,0,0.3,1,0,0.0,0.0,8,8,0,0,0,0,0,0.0,1,50,True,0,3
0,0,2,0,0.3,0,0,0.4,3.2,8,4,0,0,0,0,0,0.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,48,False,0,3
0,0,5,0,0.0,0,0,0.4,4.0,8,10,0,0,0,0,0,0.0,1,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.4,16,7,0,0,0,0,0,0.0,0,47,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,3
0,0,3,0,4.1,1,0,1.0,6.2,11,16,0,0,0,0,0,0.0,1,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,46,True,0,3
