assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,8,0,14.7,2,0,3.3,16.6,90,17,0,0,0,0,0,2.0,2,45,True,0,3
0,0,4,0,2.0,1,0,1.3,8.0,75,8,0,0,0,0,0,3.0,1,45,False,1,3
0,0,9,1,29.3,0,0,4.3,10.6,81,20,0,0,0,0,0,3.0,3,45,True,0,3
0,0,3,1,1.5,0,0,3.4,8.4,68,16,0,0,0,0,0,24.0,2,45,False,1,3
0,0,12,0,15.7,1,0,2.5,9.4,68,15,0,0,0,0,0,0.0,1,45,True,1,3
0,0,10,0,6.6,1,0,2.5,14.4,67,3,0,0,0,0,0,4.0,2,45,False,0,3
0,0,3,0,0.1,0,0,0.2,2.2,16,10,0,0,0,0,0,0.0,1,45,True,0,3
0,0,20,0,12.6,2,1,7.3,49.6,90,14,0,0,0,0,0,11.0,6,45,False,1,3
0,0,8,0,1.0,0,0,1.2,10.8,55,6,0,0,0,0,0,0.0,1,45,True,0,3
0,0,2,0,0.4,0,0,1.3,3.2,14,4,0,0,0,0,0,9.0,1,45,False,0,3
0,0,15,0,23.9,1,0,4.5,16.4,90,2,0,0,0,0,0,5.0,2,45,True,0,3
0,0,7,0,22.8,4,0,6.9,25.4,90,12,0,0,0,0,0,21.0,1,45,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,True,0,3
0,0,12,0,13.4,2,0,3.0,9.4,79,19,0,0,0,0,0,7.0,2,45,False,0,3
0,0,4,0,0.2,1,0,0.7,7.2,28,5,0,0,0,0,0,0.0,1,45,False,0,3
0,0,3,0,0.3,3,0,0.8,5.2,90,9,0,0,0,0,0,2.0,1,45,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,3
0,0,3,0,0.4,1,0,2.3,14.6,90,1,0,0,0,0,0,8.0,1,45,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,45,True,0,3
0,0,11,1,18.6,0,0,4.5,9.4,90,3,0,0,0,0,0,17.0,3,45,True,0,3
0,0,4,0,0.0,0,0,2.3,6.0,1,15,0,0,0,0,0,17.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,True,0,3
0,0,10,0,0.0,3,0,2.0,20.2,90,11,0,0,0,0,0,0.0,2,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,44,True,0,3
0,0,4,0,0.1,0,0,1.7,9.6,25,6,0,0,0,0,0,7.0,1,44,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,12,0,0,0,0,0,0.0,1,44,True,0,3
0,0,3,0,0.0,2,0,0.3,3.0,12,2,0,0,0,0,0,0.0,1,44,False,0,3
0,0,6,0,0.5,0,0,1.4,9.8,17,10,0,0,0,0,0,4.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,44,True,0,3
0,0,3,0,0.3,0,0,0.1,0.8,11,8,0,0,0,0,0,0.0,1,44,True,0,3
0,0,3,0,0.0,1,0,0.0,0.0,9,9,0,0,0,0,0,0.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,43,False,0,3
0,0,1,0,0.3,0,0,0.4,3.4,18,5,0,0,0,0,0,0.0,1,43,True,0,3
0,0,20,0,12.0,1,0,3.3,21.4,90,1,0,0,0,0,0,0.0,2,45,True,0,3
0,0,11,0,14.7,3,0,3.7,11.8,90,14,0,0,0,0,0,10.0,2,45,False,0,3
0,0,8,1,0.5,0,0,2.6,17.8,90,17,0,0,0,0,0,8.0,3,45,False,0,3
1,2,21,0,14.2,1,0,6.8,26.6,90,18,0,0,0,0,0,27.0,6,45,True,1,3
0,0,10,0,0.3,3,0,3.0,21.2,90,10,0,0,0,0,0,8.0,2,45,False,0,3
0,0,6,1,12.5,0,0,3.0,17.4,90,4,0,0,0,0,0,0.0,3,45,True,0,3
0,0,-3,0,1.1,5,0,0.6,3.4,42,9,0,0,0,1,0,1.0,-2,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,3
1,0,27,0,12.3,2,0,2.9,17.0,90,19,0,0,0,0,0,0.0,5,44,False,0,3
0,0,9,0,13.3,1,0,2.1,7.8,90,3,0,0,0,0,0,0.0,1,44,True,1,3
0,0,6,0,1.8,2,0,3.9,20.6,90,2,0,0,0,0,0,17.0,2,44,False,0,3
0,0,8,0,0.7,2,0,1.8,15.6,90,11,0,0,0,0,0,2.0,2,44,True,0,3
0,0,6,1,1.4,0,0,2.3,9.2,90,15,0,0,0,0,0,12.0,3,44,False,0,3
0,0,8,0,1.8,1,0,1.4,8.4,90,16,0,0,0,0,0,4.0,2,44,True,0,3
0,0,16,0,20.3,1,0,3.4,10.8,90,5,0,0,0,0,0,3.0,2,44,False,0,3
0,0,8,1,5.7,0,0,1.4,4.4,63,7,0,0,0,0,0,4.0,3,44,True,0,3
