assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,23.2,0,0,2.8,4.4,16,3,0,0,0,0,0,0.0,1,45,True,0,4
0,0,1,0,0.0,0,0,0.0,0.0,1,4,0,0,0,0,0,0.0,1,45,False,0,4
0,0,3,0,0.0,0,0,1.0,3.0,1,7,0,0,0,0,0,7.0,1,45,True,0,4
0,0,-4,0,2.3,0,0,0.6,0.0,20,17,0,0,0,0,0,4.0,0,45,True,1,4
0,0,3,0,0.3,0,0,0.3,1.0,2,14,0,0,0,0,0,2.0,1,45,True,0,4
0,0,1,0,1.3,0,0,3.5,1.0,10,9,0,0,0,0,0,33.0,1,45,False,0,4
0,0,-5,0,1.3,2,0,2.3,0.0,18,1,0,0,0,0,0,22.0,1,45,False,0,4
0,0,4,0,0.9,0,0,0.5,4.2,35,2,0,0,0,0,0,0.0,1,45,True,0,4
0,0,6,1,17.4,0,0,2.4,2.4,74,20,0,0,0,0,0,4.0,2,45,False,0,4
0,0,32,1,38.3,0,1,12.8,42.4,82,10,0,0,0,0,0,47.0,6,45,True,0,4
0,0,13,0,33.7,1,0,9.8,13.2,84,15,0,0,0,0,0,51.0,2,46,False,0,4
0,0,9,0,25.6,1,0,5.6,10.6,90,16,0,0,0,0,0,20.0,2,46,False,0,4
0,0,3,0,10.9,3,0,1.5,0.2,33,12,0,0,0,0,0,4.0,1,46,True,0,4
0,0,-5,0,17.1,2,0,3.5,1.8,90,11,0,0,0,0,0,16.0,1,46,False,1,4
0,0,9,0,14.7,2,0,4.2,9.6,74,13,0,0,0,0,0,18.0,2,46,True,0,4
0,0,5,0,10.7,1,0,2.8,5.4,73,8,0,0,0,0,0,12.0,2,46,False,0,4
0,0,3,0,12.2,2,0,1.9,2.6,13,5,0,0,0,0,0,4.0,1,46,True,0,4
0,0,3,0,0.8,0,0,0.3,2.0,4,19,0,0,0,0,0,0.0,1,46,False,0,4
0,0,2,0,0.3,0,0,0.8,0.0,8,6,0,0,0,0,0,10.0,1,46,True,0,4
0,0,4,0,13.8,1,0,7.1,8.8,90,15,0,0,0,0,0,48.0,2,46,True,0,4
0,0,3,0,1.3,0,0,0.1,0.0,1,2,0,0,0,0,0,0.0,1,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,46,False,0,4
0,0,2,0,10.7,0,0,1.2,1.2,34,4,0,0,0,0,0,0.0,1,46,True,0,4
0,0,-4,0,10.3,2,0,1.5,0.2,29,17,0,0,0,0,0,4.0,0,46,False,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,46,True,0,4
0,0,7,0,1.3,3,0,0.7,5.8,65,13,0,0,0,0,0,0.0,2,46,False,0,4
1,0,15,0,10.3,0,0,2.8,16.0,9,14,0,0,0,0,0,2.0,4,46,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,46,True,0,4
0,0,7,0,11.9,0,0,2.4,3.8,31,1,0,0,0,0,0,8.0,1,46,True,0,4
0,0,3,0,0.8,1,0,0.1,0.4,18,10,0,0,0,0,0,0.0,1,45,False,0,4
0,0,2,0,1.8,0,0,2.2,2.2,13,16,0,0,0,0,0,18.0,1,45,True,0,4
0,0,-3,0,0.6,0,0,0.0,0.0,8,20,0,0,0,0,0,0.0,0,45,True,1,4
0,0,3,0,0.7,0,0,6.7,6.4,7,6,0,0,0,0,0,60.0,1,45,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,4
0,0,1,0,0.0,1,0,0.0,0.0,15,4,0,0,0,0,0,0.0,1,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,4
0,0,4,0,12.3,0,0,3.5,5.2,19,13,0,0,0,0,0,17.0,1,49,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,49,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,48,False,0,4
0,0,3,0,1.0,1,0,0.1,0.0,13,9,0,0,0,0,0,0.0,1,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,48,False,0,4
0,0,3,0,0.0,0,0,0.1,1.0,3,12,0,0,0,0,0,0.0,1,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,48,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,False,0,4
0,0,-3,0,0.3,1,0,0.0,0.0,15,8,0,0,0,0,0,0.0,0,48,True,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,48,False,0,4
