assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,18,1,33.4,0,0,5.8,17.0,90,3,0,0,0,0,0,8.0,3,50,False,0,3
0,0,26,0,17.8,2,0,4.9,28.6,90,7,0,0,0,0,0,3.0,2,50,True,0,3
0,0,12,0,11.3,2,0,2.9,17.2,85,8,0,0,0,0,0,0.0,2,50,False,0,3
0,0,13,0,1.8,2,0,1.6,12.2,90,4,0,0,0,0,0,2.0,2,50,True,0,3
0,0,19,0,4.8,1,0,1.7,10.4,81,13,0,0,0,0,0,2.0,2,49,False,0,3
0,0,8,0,11.8,2,0,1.6,0.4,72,10,0,0,0,0,0,4.0,2,49,True,0,3
0,0,4,0,3.8,2,0,3.7,13.8,90,9,0,0,0,0,0,19.0,1,49,True,1,3
0,0,22,0,5.7,3,0,1.9,12.4,70,1,0,0,0,0,0,1.0,2,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,48,True,0,3
0,0,2,0,0.0,0,0,0.2,1.6,4,14,0,0,0,0,0,0.0,1,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,47,True,0,3
0,0,11,0,18.3,1,0,3.0,11.4,90,6,0,0,0,0,0,0.0,2,47,False,0,3
1,0,4,0,16.6,4,0,1.0,0.0,90,5,1,0,0,0,0,0.0,2,47,True,1,3
0,0,9,0,4.4,5,0,1.6,11.8,90,17,0,0,0,0,0,0.0,2,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,47,True,0,3
0,0,4,0,1.3,0,0,0.7,1.8,19,19,0,0,0,0,0,4.0,1,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,False,0,3
0,0,11,0,15.0,4,0,6.5,18.0,90,20,0,0,0,0,0,32.0,2,46,True,0,3
0,0,4,0,1.7,1,0,0.4,2.0,25,2,0,0,0,0,0,0.0,1,46,True,0,3
0,0,4,0,2.7,1,0,4.9,9.8,90,5,0,0,0,0,0,36.0,2,46,False,0,3
0,0,10,0,3.0,3,0,1.2,5.6,70,1,1,0,0,0,0,3.0,0,46,True,0,3
0,0,11,0,0.8,2,0,1.4,13.6,90,9,0,0,0,0,0,0.0,2,46,False,0,3
0,0,16,0,22.5,1,0,3.5,12.4,90,13,0,0,0,0,0,0.0,1,46,True,1,3
0,0,8,0,2.2,2,0,1.3,9.8,90,10,0,0,0,0,0,1.0,1,46,False,1,3
0,0,19,1,2.4,0,0,3.2,29.6,90,8,0,0,0,0,0,0.0,2,46,True,1,3
0,0,15,0,1.6,3,0,1.3,11.2,90,4,0,0,0,0,0,0.0,2,46,False,0,3
0,0,15,0,12.3,2,0,7.9,16.8,90,3,0,0,0,0,0,50.0,1,46,True,1,3
0,0,18,0,13.1,2,0,2.9,15.6,90,7,0,0,0,0,0,0.0,2,46,False,0,3
0,0,16,0,6.8,2,0,2.6,17.4,90,2,0,0,0,0,0,2.0,1,46,False,1,3
0,0,13,1,1.8,0,0,0.5,2.2,90,12,0,0,0,0,0,1.0,3,46,True,0,3
0,0,12,0,1.8,3,0,1.8,16.6,90,17,0,0,0,0,0,0.0,2,46,True,0,3
0,0,16,0,2.2,1,0,1.1,8.4,64,20,0,0,0,0,0,0.0,2,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,46,False,0,3
0,0,5,0,0.3,0,0,0.4,3.6,18,6,0,0,0,0,0,0.0,1,46,True,0,3
0,0,3,0,0.8,0,0,0.1,0.0,14,15,0,0,0,0,0,0.0,1,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,46,True,0,3
1,0,21,0,12.7,2,0,4.0,27.2,90,5,0,0,0,0,0,0.0,5,45,False,0,3
0,0,11,0,13.2,1,0,3.4,12.8,90,19,0,0,0,0,0,8.0,2,45,True,0,3
0,0,18,0,11.0,1,0,3.1,20.0,90,17,0,0,0,0,0,0.0,2,45,False,0,3
0,0,18,1,2.8,0,0,4.0,37.0,90,6,0,0,0,0,0,0.0,3,45,True,0,3
0,0,9,0,12.4,1,0,3.7,24.4,90,10,0,0,0,0,0,0.0,1,45,False,1,3
0,0,9,1,3.7,0,0,2.4,20.4,90,8,0,0,0,0,0,0.0,2,45,True,1,3
0,0,15,1,0.8,0,0,5.2,33.0,90,7,0,0,0,0,0,18.0,3,45,False,0,3
0,0,15,0,4.7,1,0,5.6,13.4,90,20,0,0,0,0,0,38.0,2,45,True,0,3
0,0,17,0,2.4,3,0,1.9,16.2,90,11,0,0,0,0,0,0.0,1,45,False,1,3
0,0,10,1,8.0,0,0,4.8,15.4,90,13,0,0,0,0,0,25.0,2,45,True,1,3
0,0,15,1,15.0,0,0,2.8,12.6,90,14,0,0,0,0,0,0.0,3,45,False,0,3
0,3,41,1,21.8,0,1,12.4,43.8,90,16,0,0,0,0,0,58.0,11,45,True,0,3
0,0,14,0,2.4,1,0,1.0,8.0,90,1,0,0,0,0,0,0.0,2,45,True,0,3
0,0,10,0,12.3,1,0,2.7,13.8,90,2,0,0,0,0,0,1.0,2,46,False,0,3
0,0,11,0,12.8,1,0,2.3,10.4,90,9,0,0,0,0,0,0.0,2,46,False,0,3
0,0,8,1,2.4,0,0,0.8,5.2,90,18,0,0,0,0,0,0.0,3,46,True,0,3
0,0,8,1,4.3,0,0,1.6,9.4,90,15,0,0,0,0,0,2.0,3,46,True,0,3
