assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,15,0,25.1,4,0,4.9,24.2,90,10,0,0,0,0,0,0.0,0,45,False,0,2
0,0,29,1,7.2,0,0,2.9,17.6,89,13,0,0,0,0,0,4.0,6,45,True,0,2
0,0,11,0,5.8,3,0,3.0,22.4,90,6,0,0,0,0,0,2.0,1,45,True,0,2
0,0,18,0,16.8,2,0,4.5,20.6,90,19,0,0,0,0,0,8.0,1,45,False,0,2
0,0,11,0,1.2,2,0,1.8,16.4,90,11,0,0,0,0,0,0.0,1,45,True,0,2
0,0,13,0,22.9,2,0,4.5,18.0,90,5,0,0,0,0,0,4.0,1,45,False,0,2
0,0,17,0,23.3,2,0,4.6,20.4,90,7,0,0,0,0,0,2.0,1,45,False,0,2
0,0,14,0,18.2,5,0,4.7,18.0,90,2,0,0,0,0,0,11.0,0,45,True,0,2
0,0,18,1,2.2,0,0,1.5,10.8,90,3,0,0,0,0,0,2.0,5,45,False,1,2
0,0,4,0,0.8,2,0,0.2,0.6,65,12,0,0,0,0,0,1.0,1,45,True,0,2
0,0,10,0,2.6,2,0,1.3,8.6,90,4,0,0,0,0,0,2.0,1,45,False,0,2
0,0,12,0,3.5,2,0,2.6,9.4,80,18,0,0,0,0,0,13.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,45,False,0,2
0,0,2,0,0.2,0,0,0.7,6.4,18,15,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,False,0,2
0,0,12,0,1.6,2,0,2.3,14.2,90,17,0,0,0,0,0,7.0,0,45,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,2
0,0,2,0,0.0,0,0,0.0,0.0,10,12,0,0,0,0,0,0.0,1,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,44,False,0,2
0,0,18,0,0.2,1,0,4.1,22.8,63,10,0,0,0,0,0,18.0,2,44,True,0,2
0,0,18,0,4.3,3,0,2.8,21.2,90,20,0,0,0,0,0,2.0,1,44,False,0,2
0,3,43,1,1.9,0,1,6.9,50.2,90,9,0,0,0,0,0,17.0,15,44,True,0,2
0,0,10,0,2.1,1,0,3.2,13.0,90,15,0,0,0,0,0,17.0,2,44,False,0,2
0,0,18,0,11.8,3,0,2.6,13.8,90,16,0,0,0,0,0,0.0,1,44,True,0,2
0,0,7,0,5.0,1,0,0.9,3.6,86,8,0,0,0,0,0,0.0,2,44,True,0,2
0,0,10,0,2.1,4,0,1.9,17.2,90,1,0,0,0,0,0,0.0,0,44,False,0,2
0,0,14,0,22.6,1,0,3.4,11.2,90,4,0,0,0,0,0,0.0,1,44,True,1,2
0,0,6,0,27.5,2,0,4.7,19.6,90,18,0,0,0,0,0,0.0,0,44,False,1,2
0,0,11,0,45.6,4,0,6.1,13.4,90,19,0,0,0,0,0,2.0,0,44,True,0,2
0,0,16,0,4.8,1,0,4.3,20.2,90,6,0,0,0,0,0,18.0,2,44,False,0,2
0,0,14,0,2.6,2,0,1.2,9.0,90,5,0,0,0,0,0,0.0,1,44,True,0,2
