assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,9,1,49.2,0,0,6.8,5.6,90,20,0,0,0,0,0,13.0,3,70,True,0,3
1,0,11,0,52.5,1,0,8.9,20.8,90,6,0,0,0,0,0,16.0,5,70,False,0,3
1,1,24,0,37.0,1,0,10.7,24.2,90,15,0,0,0,0,0,46.0,6,70,False,0,3
0,0,5,0,19.7,1,0,5.3,4.4,85,3,0,0,0,0,0,29.0,2,71,True,0,3
0,0,2,0,9.3,1,0,4.3,13.0,90,12,0,0,0,0,0,21.0,1,71,False,1,3
0,3,33,0,30.9,1,1,11.9,44.2,90,17,0,0,0,0,0,44.0,10,71,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,71,True,0,3
0,0,26,0,14.3,1,1,7.4,38.6,85,10,0,0,0,0,0,21.0,7,71,False,0,3
0,0,11,0,32.6,1,0,7.7,9.2,72,5,0,0,0,0,0,35.0,2,72,True,0,3
0,0,34,1,20.4,0,1,9.8,52.4,90,16,0,0,0,0,0,25.0,8,72,False,0,3
1,3,40,1,110.8,0,0,15.1,29.8,90,7,0,0,0,0,0,10.0,9,73,False,0,3
0,1,28,1,48.3,0,1,12.9,47.0,90,1,0,0,0,0,0,34.0,9,74,True,0,3
0,0,18,1,51.0,0,0,11.1,24.6,90,4,0,0,0,0,0,35.0,3,75,False,0,3
0,0,13,0,24.5,1,0,6.5,13.6,90,8,0,0,0,0,0,27.0,2,76,True,0,3
0,2,33,1,50.5,0,1,11.6,48.8,90,18,0,0,0,0,0,17.0,10,76,True,0,3
2,1,38,0,76.7,1,0,15.7,32.8,90,2,0,0,0,0,0,47.0,9,77,False,0,3
0,0,17,0,86.0,1,0,13.6,23.8,90,14,0,0,0,0,0,26.0,2,78,True,0,3
0,0,9,0,12.1,3,0,2.7,8.0,90,11,0,0,0,0,0,7.0,2,78,False,0,3
0,0,-1,0,1.7,3,0,0.5,0.8,75,10,0,0,0,0,0,2.0,1,78,True,1,3
0,0,10,0,24.8,0,0,4.5,13.4,26,19,0,0,0,0,0,7.0,1,77,False,0,3
0,3,34,1,46.3,0,1,13.1,49.8,76,13,0,0,0,0,0,35.0,11,77,False,0,3
0,0,4,0,24.5,2,0,2.9,4.2,90,16,0,0,0,0,0,0.0,2,77,True,0,3
0,0,14,0,62.2,2,0,11.9,15.0,90,5,0,0,0,0,0,42.0,2,77,False,0,3
0,0,12,0,50.2,1,0,9.7,15.4,90,19,0,0,0,0,0,31.0,2,77,True,0,3
0,0,20,0,65.8,2,0,10.3,21.4,90,6,0,0,0,0,0,16.0,1,76,True,1,3
0,0,12,1,39.1,0,0,6.1,13.4,90,20,0,0,0,0,0,8.0,2,75,False,1,3
0,0,16,0,19.8,1,0,4.8,13.6,90,11,0,0,0,0,0,15.0,2,74,True,0,3
0,0,14,0,53.1,1,0,7.1,16.0,90,14,0,0,0,0,0,2.0,2,74,False,0,3
0,0,15,1,58.5,0,0,9.1,9.8,90,2,0,0,0,0,0,23.0,3,75,True,0,3
0,0,21,0,25.2,1,0,7.0,12.8,90,18,0,0,0,0,0,32.0,2,75,False,0,3
0,0,13,1,33.0,0,0,5.3,6.6,90,4,0,0,0,0,0,13.0,3,75,True,0,3
0,0,13,0,16.4,0,0,4.9,9.4,45,8,0,0,0,0,0,23.0,1,75,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,74,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,74,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,73,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,73,False,0,3
