assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,2
0,0,4,0,0.0,1,0,0.1,0.0,9,17,0,0,0,0,0,1.0,1,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,False,0,2
0,0,20,0,0.3,0,1,8.1,43.6,45,14,0,0,0,0,0,37.0,7,50,True,0,2
0,0,16,0,0.3,2,0,3.1,26.2,90,15,0,0,0,0,0,4.0,1,50,False,0,2
0,0,4,0,0.3,1,0,4.2,19.2,90,6,0,0,0,0,0,22.0,1,50,False,1,2
0,0,14,0,0.3,1,0,1.7,14.4,90,20,0,0,0,0,0,2.0,2,50,True,0,2
0,0,13,0,4.2,3,0,2.2,16.2,90,8,0,0,0,0,0,2.0,1,50,False,0,2
0,0,19,0,0.2,4,0,2.4,23.6,90,9,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,False,0,2
0,0,9,0,0.1,2,0,0.6,5.8,90,10,0,0,0,0,0,0.0,1,50,True,0,2
0,0,28,0,0.2,5,1,11.1,58.0,90,16,0,0,0,0,0,53.0,6,50,False,0,2
0,2,31,1,0.4,0,1,8.3,49.8,88,13,0,0,0,0,0,33.0,13,50,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,50,False,0,2
0,0,7,0,0.1,2,0,2.2,21.8,90,1,0,0,0,0,0,0.0,0,50,False,1,2
0,0,13,0,0.8,2,0,2.3,21.8,90,16,0,0,0,0,0,0.0,0,49,True,1,2
0,0,8,0,0.9,3,0,1.8,10.4,90,20,0,0,0,0,0,7.0,1,49,False,0,2
0,0,10,0,0.3,1,0,0.8,8.0,90,6,0,0,0,0,0,0.0,2,49,True,0,2
0,0,23,1,4.3,0,0,2.7,18.4,90,2,0,0,0,0,0,4.0,6,49,False,0,2
