assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,1,0,54,18,0,0,0,0,1,0,1,True,0
0,0,0,0,0,0,11,0,0,0,0,2,0,0,False,0
1,0,0,0,0,9,15,0,0,0,0,3,0,4,True,0
0,0,0,1,0,11,1,0,0,0,0,4,0,1,False,0
0,0,0,0,0,0,16,0,0,0,0,5,0,0,True,0
0,0,0,0,1,11,20,0,0,0,0,6,0,6,False,0
0,0,0,0,0,8,8,0,0,0,0,7,0,1,False,0
0,0,0,0,0,3,3,0,0,0,0,8,0,1,True,0
0,0,0,0,0,8,10,0,0,0,0,9,0,1,False,0
0,0,0,0,0,0,4,0,0,0,0,10,0,0,True,0
0,0,0,0,0,14,7,0,0,0,0,11,0,1,False,0
0,0,0,0,0,0,9,0,0,0,0,12,0,0,True,0
0,0,1,0,0,90,6,0,0,0,0,13,0,3,True,0
0,0,0,3,0,90,5,0,0,0,0,14,0,2,False,0
1,0,1,0,0,90,12,0,0,0,0,15,0,6,True,0
0,0,1,0,0,90,14,0,0,0,0,16,0,2,False,1
0,0,0,0,0,0,2,0,0,0,0,17,0,0,False,0
1,0,0,4,0,90,17,0,0,0,0,18,0,5,True,0
0,0,0,0,0,16,19,0,0,0,0,19,0,1,True,0
0,0,0,3,0,90,6,0,0,0,0,20,0,1,False,1
0,0,0,1,0,90,3,0,0,0,0,21,0,2,False,0
0,2,1,0,1,90,8,0,0,0,0,22,0,10,True,0
0,0,0,0,0,0,16,0,0,0,0,23,0,0,False,0
0,0,0,3,0,90,20,0,0,0,0,24,0,2,True,0
1,0,1,0,0,90,15,0,0,0,0,25,0,6,False,0
0,0,0,1,0,77,18,0,0,0,0,27,0,2,False,0
0,3,0,2,1,90,17,0,0,0,0,29,0,10,False,0
0,0,1,0,0,62,2,0,0,0,0,30,0,3,True,0
0,0,0,1,1,90,5,0,0,0,0,31,0,7,True,0
0,0,1,0,0,70,19,0,0,0,0,32,0,3,False,0
0,0,0,1,0,59,10,0,0,0,0,33,0,1,True,0
0,0,0,3,0,81,4,0,0,0,0,34,0,2,False,0
0,0,0,0,0,0,7,0,0,0,0,35,0,0,True,0
0,0,1,0,0,90,9,0,0,0,0,36,0,2,False,1
0,0,0,1,0,69,1,0,0,0,0,36,0,1,True,1
0,0,0,0,0,0,12,0,0,0,0,37,0,0,False,0
0,0,1,0,0,76,11,0,0,0,0,37,0,3,True,0
0,0,0,1,0,85,14,0,0,0,0,38,0,2,True,0
0,0,1,0,0,70,16,0,0,0,0,1,0,3,True,0
0,0,0,1,0,25,20,0,0,0,0,2,0,1,True,0
0,0,0,0,0,19,8,0,0,0,0,3,0,1,False,0
0,0,0,1,0,45,18,0,0,0,0,4,0,1,True,0
0,0,0,0,0,5,6,0,0,0,0,5,0,1,False,0
0,0,0,0,0,7,12,0,0,0,0,6,0,1,True,0
0,0,0,0,0,0,15,0,0,0,0,7,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,9,0,0,True,0
1,0,0,1,0,83,3,0,0,0,0,10,0,5,False,0
0,0,0,0,0,1,4,0,0,0,0,11,0,1,True,0
0,0,0,0,0,21,10,0,0,0,0,12,0,1,False,0
1,0,0,1,0,90,7,0,0,0,0,13,0,5,True,0
0,0,0,0,0,0,11,0,0,0,0,14,0,0,False,0
0,0,0,1,0,45,2,0,0,0,0,15,0,1,False,0
0,0,0,1,0,90,1,0,0,0,0,16,0,2,True,0
0,0,0,0,0,7,9,0,0,0,0,17,0,1,True,0
0,0,0,1,0,90,5,0,0,0,0,18,0,2,False,0
0,0,0,1,0,90,8,0,0,0,0,19,0,2,True,0
0,0,0,0,0,0,17,0,0,0,0,20,0,0,False,0
0,0,1,0,0,90,12,0,0,0,0,21,0,2,False,1
0,0,0,1,0,69,6,0,0,0,0,22,0,2,True,0
0,3,0,2,2,90,18,0,0,0,0,23,0,15,False,0
0,0,0,1,0,90,17,0,0,0,0,24,0,2,True,0
1,3,0,1,0,90,3,0,0,0,0,25,0,8,True,0
1,2,0,2,1,90,19,0,0,0,0,26,0,12,False,0
0,0,0,2,0,70,10,0,0,0,0,27,0,2,True,0
