assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,4,0,90,12,0,0,0,0,1,0,2,False,0
0,3,0,3,2,90,14,0,0,0,0,2,0,13,False,0
0,0,0,3,0,90,13,0,0,0,0,3,0,1,False,1
0,0,1,0,0,63,8,0,0,0,0,4,0,2,True,0
0,0,1,0,0,75,19,0,0,0,0,5,0,2,False,0
0,0,0,3,1,90,17,0,0,0,0,6,0,5,True,1
0,0,1,0,0,77,16,0,0,0,0,7,0,2,True,0
0,0,1,0,0,74,4,0,0,0,0,8,0,2,False,0
0,0,0,3,0,90,3,0,0,0,0,9,0,1,True,1
0,3,0,2,1,90,6,0,0,0,0,10,0,9,False,0
0,0,0,3,0,71,10,0,0,0,0,11,0,2,True,0
0,0,0,0,0,0,18,0,0,0,0,12,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,13,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,14,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,16,0,0,True,0
0,0,0,0,0,8,1,0,0,0,0,17,0,1,True,0
0,0,0,0,0,11,15,0,0,0,0,18,0,1,False,0
0,0,0,0,0,11,13,0,0,0,0,19,0,1,True,0
1,0,0,1,0,29,2,0,0,0,0,20,0,4,False,0
0,0,0,0,0,17,19,0,0,0,0,22,0,1,True,0
0,0,1,0,0,64,17,0,0,0,0,22,0,2,False,0
0,0,0,0,0,0,8,0,0,0,0,23,0,0,False,0
0,3,0,1,1,26,2,0,0,0,0,24,0,8,True,0
1,0,0,1,0,90,6,0,0,0,0,25,0,5,True,0
0,2,0,3,1,90,3,0,0,0,0,26,0,8,False,0
0,1,1,0,1,87,18,0,0,0,0,27,0,7,True,0
0,0,0,0,0,7,10,0,0,0,0,28,0,1,False,0
0,0,0,4,0,90,16,0,0,0,0,29,0,2,False,0
0,0,0,1,0,19,4,0,0,0,0,30,0,1,True,0
0,0,0,0,0,0,14,0,0,0,0,32,0,0,True,0
0,2,0,0,1,20,5,0,0,0,0,33,0,7,False,0
0,0,0,1,0,14,15,0,0,0,0,34,0,1,True,0
0,0,0,3,0,30,1,0,0,0,0,35,0,1,False,0
0,0,0,0,0,24,11,0,0,0,0,36,0,1,True,0
0,0,0,0,0,0,9,0,0,0,0,37,0,0,False,0
0,0,0,0,0,0,12,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,38,0,0,True,00,0,0,1,0,28,12,0,0,0,0,1,0,1,False,0
1,0,0,2,0,66,2,0,0,0,0,2,0,5,True,0
0,0,0,2,0,31,1,0,0,0,0,3,0,1,False,0
0,0,0,1,0,15,20,0,0,0,0,4,0,1,True,0
0,0,0,0,0,0,8,0,0,0,0,5,0,0,False,0
0,0,0,0,0,0,6,0,0,0,0,6,0,0,True,0
0,0,0,0,0,0,14,0,0,0,0,7,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,8,0,0,False,0
0,0,0,0,0,33,17,0,0,0,0,9,0,1,True,0
0,0,1,0,0,60,11,0,0,0,0,10,0,2,False,0
0,1,0,1,1,29,4,0,0,0,0,11,0,6,True,0
0,0,0,0,0,45,10,0,0,0,0,12,0,1,False,0
0,0,0,1,0,35,13,0,0,0,0,13,0,1,True,0
0,3,1,0,2,90,15,0,0,0,0,14,0,13,False,0
0,0,1,0,0,63,5,0,0,0,0,15,0,2,True,0
1,0,0,1,1,74,7,0,0,0,0,16,0,9,True,0
1,0,1,0,0,72,9,0,0,0,0,17,0,5,False,0
0,0,0,1,0,74,18,0,0,0,0,18,0,2,True,0
0,0,0,0,0,0,16,0,0,0,0,19,0,0,False,0
0,0,0,0,0,0,4,0,0,0,0,20,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,21,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,22,0,0,True,0
0,0,0,1,0,24,2,0,0,0,0,23,0,1,False,0
0,0,0,2,0,13,20,0,0,0,0,24,0,1,False,0
0,0,0,1,0,78,12,0,0,0,0,25,0,1,True,1
0,0,1,0,0,67,7,0,0,0,0,26,0,2,False,0
0,3,0,1,1,63,9,0,0,0,0,27,0,9,True,0
0,0,0,0,0,0,13,0,0,0,0,28,0,0,False,0
1,0,1,0,0,69,15,0,0,0,0,29,0,5,True,0
0,0,0,2,0,90,5,0,0,0,0,30,0,1,False,1
0,3,0,1,2,45,10,0,0,0,0,31,0,12,True,0
0,0,0,0,0,45,8,0,0,0,0,32,0,1,True,0
0,0,0,1,0,45,6,0,0,0,0,33,0,1,False,0
0,0,0,1,0,72,14,0,0,0,0,34,0,2,False,0
0,0,0,0,0,0,11,0,0,0,0,35,0,0,True,0
0,0,0,0,0,0,17,0,0,0,0,36,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,18,0,0,0,0,38,0,0,False,00,0,0,3,0,24,11,0,0,0,0,1,0,1,True,0
0,2,0,1,1,82,4,0,0,0,0,2,0,8,False,0
0,0,0,0,0,0,18,0,0,0,0,3,0,0,False,0
0,0,0,0,0,0,14,0,0,0,0,4,0,0,True,0
0,0,0,0,0,0,2,0,0,0,0,5,0,0,False,0
0,0,0,0,0,0,12,0,0,0,0,6,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,7,0,0,False,0
0,0,0,0,0,0,7,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,8,0,0,0,0,9,0,0,False,0
0,0,0,0,0,0,15,0,0,0,0,10,0,0,True,0
0,0,0,0,0,0,13,0,0,0,0,11,0,0,True,0
0,0,0,0,0,0,5,0,0,0,0,12,0,0,False,0
0,0,0,0,0,0,17,0,0,0,0,13,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,14,0,0,False,0
0,0,0,0,0,0,20,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,1,0,0,0,0,16,0,0,True,0
0,0,0,0,0,0,16,0,0,0,0,17,0,0,False,0
0,0,0,0,0,0,7,0,0,0,0,19,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,20,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,21,0,0,True,0
0,0,0,0,0,0,15,0,0,0,0,22,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,23,0,0,True,0
0,0,0,0,0,0,9,0,0,0,0,24,0,0,False,0
0,0,0,0,0,0,10,0,0,0,0,24,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,25,0,0,True,0
0,0,0,0,0,0,11,0,0,0,0,26,0,0,False,0
0,0,0,0,0,0,10,0,0,0,0,27,0,0,False,0
