assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,49,True,0,3
0,0,6,0,24.5,0,0,3.4,5.6,29,11,0,0,0,0,0,4.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,True,0,3
0,0,8,0,1.5,2,0,1.1,7.6,66,4,0,0,0,0,0,2.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,49,True,0,3
0,0,3,0,1.8,0,0,0.9,2.8,23,17,0,0,0,0,0,4.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,True,0,3
0,0,6,0,1.4,0,0,1.5,7.4,23,18,0,0,0,0,0,6.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,48,False,0,3
0,0,4,0,12.8,1,0,1.5,2.4,10,20,0,0,0,0,0,0.0,1,48,False,0,3
0,0,14,0,2.6,1,0,3.4,15.0,87,6,0,0,0,0,0,16.0,2,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,48,True,0,3
0,0,4,0,1.3,0,0,1.1,7.2,23,14,0,0,0,0,0,2.0,1,47,False,0,3
0,0,3,0,0.3,0,0,0.1,0.4,4,12,0,0,0,0,0,0.0,1,47,True,0,3
0,0,7,0,0.7,0,0,0.8,7.4,29,19,0,0,0,0,0,0.0,1,47,False,0,3
0,1,23,1,2.1,0,0,1.6,13.4,90,18,0,0,0,0,0,0.0,7,47,True,0,3
0,0,9,0,12.6,1,0,2.9,11.2,90,4,0,0,0,0,0,5.0,2,47,False,0,3
0,0,5,0,1.2,1,0,0.6,5.0,57,13,0,0,0,0,0,0.0,1,47,False,0,3
0,0,27,1,24.7,0,0,4.7,22.6,90,1,0,0,0,0,0,0.0,6,47,True,0,3
1,0,27,0,3.3,2,0,3.9,17.8,68,8,0,0,0,0,0,18.0,4,47,True,0,3
0,0,19,0,5.1,1,0,3.2,22.8,90,9,0,0,0,0,0,4.0,2,47,False,0,3
0,0,12,0,0.4,1,0,2.1,20.2,90,17,0,0,0,0,0,0.0,2,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,True,0,3
0,0,16,0,0.3,5,0,1.8,17.6,90,10,0,0,0,0,0,0.0,0,47,False,0,3
