assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,False,0,3
0,0,5,0,13.9,2,0,1.7,0.8,45,10,0,0,0,0,0,2.0,1,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,58,False,0,3
1,0,21,0,32.6,1,0,6.2,21.4,77,8,0,0,0,0,0,8.0,5,57,True,0,3
0,0,12,1,54.2,0,0,10.6,17.2,66,14,0,0,0,0,0,35.0,3,57,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,57,False,0,3
0,0,8,0,16.4,3,0,7.4,15.8,64,4,0,0,0,0,0,42.0,2,57,False,0,3
0,0,18,1,64.9,0,0,13.1,24.0,72,3,0,0,0,0,0,42.0,3,57,True,0,3
0,0,3,0,2.4,0,0,0.4,0.0,10,16,0,0,0,0,0,2.0,1,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,57,True,0,3
0,0,9,0,18.0,1,0,6.4,10.6,84,20,0,0,0,0,0,35.0,2,57,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,57,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,57,True,0,3
0,0,4,0,2.2,0,0,2.7,6.2,21,5,0,0,0,0,0,19.0,1,56,False,0,3
1,0,15,1,30.0,0,0,5.7,19.0,76,19,0,0,0,0,0,8.0,5,56,False,1,3
0,0,13,1,52.2,0,0,8.6,9.8,61,15,0,0,0,0,0,24.0,3,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,8.6,0,0,0.9,0.0,57,20,0,0,0,0,0,8.0,1,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,56,True,0,3
0,0,9,0,32.4,0,0,4.7,9.2,18,14,0,0,0,0,0,5.0,1,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,56,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,56,False,0,3
0,0,3,0,2.6,0,0,2.1,0.2,2,18,0,0,0,0,0,18.0,1,56,True,0,3
0,0,3,0,1.4,0,0,0.2,0.4,21,2,0,0,0,0,0,0.0,1,56,True,0,3
0,3,38,0,33.4,1,1,12.2,45.2,79,12,0,0,0,0,0,43.0,10,56,False,0,3
0,0,13,1,47.8,0,0,8.1,13.0,90,19,0,0,0,0,0,20.0,3,56,True,0,3
0,0,16,0,24.8,1,0,5.7,13.2,90,6,0,0,0,0,0,19.0,2,56,True,0,3
0,0,4,1,24.3,0,0,5.2,6.0,63,15,0,0,0,0,0,22.0,2,56,False,1,3
0,0,1,0,9.2,0,0,1.1,0.0,59,4,0,0,0,0,0,3.0,1,56,True,0,3
0,0,7,1,17.3,0,0,2.5,0.0,69,3,0,0,0,0,0,10.0,3,56,False,0,3
0,0,0,0,1.3,0,0,0.1,0.0,11,10,0,0,0,0,0,0.0,1,56,False,0,3
0,0,4,0,8.9,1,0,8.9,9.0,90,16,0,0,0,0,0,71.0,1,56,True,1,3
0,0,4,0,12.6,0,0,1.8,5.8,30,1,0,0,0,0,0,0.0,1,56,False,0,3
0,0,4,0,4.4,2,0,0.6,0.4,60,17,0,0,0,0,0,1.0,2,56,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,56,False,0,3
1,0,13,0,6.5,0,0,1.1,2.2,45,5,0,0,0,0,0,2.0,4,56,True,0,3
