assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,5,0,3.3,1,0,1.6,4.8,90,19,0,0,0,0,0,8.0,2,50,True,0,2
0,0,20,0,4.1,1,0,2.8,19.8,90,17,0,0,0,0,0,4.0,2,50,False,0,2
0,0,12,0,6.9,1,0,4.6,12.8,87,2,0,0,0,0,0,26.0,2,50,True,0,2
0,0,7,0,1.3,1,0,3.3,22.4,90,12,0,0,0,0,0,9.0,1,50,False,1,2
0,0,24,0,2.0,1,0,3.1,25.0,90,14,0,0,0,0,0,4.0,2,50,True,0,2
0,0,13,0,17.2,2,0,4.1,16.6,90,15,0,0,0,0,0,7.0,1,49,False,0,2
1,3,33,0,30.4,1,0,8.5,42.8,90,6,0,0,0,0,0,12.0,8,49,False,0,2
0,0,14,0,1.8,1,0,1.0,7.0,90,20,0,0,0,0,0,1.0,2,49,True,0,2
0,0,12,0,6.8,3,0,4.1,23.2,90,8,0,0,0,0,0,11.0,1,49,False,0,2
0,0,19,0,1.9,4,0,1.7,15.0,90,9,0,0,0,0,0,0.0,0,49,True,0,2
0,0,11,0,9.0,3,0,2.2,8.4,90,3,0,0,0,0,0,5.0,1,49,False,0,2
0,0,11,0,0.6,2,0,1.8,17.2,90,10,0,0,0,0,0,0.0,1,49,True,0,2
0,0,4,0,0.8,5,0,3.0,11.2,90,16,0,0,0,0,0,18.0,0,49,False,0,2
0,0,18,1,3.3,0,0,2.2,12.0,90,13,0,0,0,0,0,7.0,6,49,True,0,2
0,0,6,0,25.9,3,0,4.0,13.4,90,7,0,0,0,0,0,1.0,1,49,False,0,2
0,0,12,0,3.3,2,0,1.4,10.4,90,11,0,0,0,0,0,0.0,1,49,True,0,2
0,0,5,0,3.7,1,0,1.7,13.6,90,4,0,0,0,0,0,0.0,1,49,True,1,2
0,0,15,0,1.2,1,0,2.7,25.8,90,18,0,0,0,0,0,0.0,2,49,False,0,2
0,0,15,0,12.6,2,0,3.1,12.0,90,1,0,0,0,0,0,6.0,1,48,False,0,2
0,0,22,0,2.3,2,0,2.0,17.4,90,16,0,0,0,0,0,0.0,1,48,True,0,2
0,0,22,0,4.0,3,0,2.4,19.8,90,20,0,0,0,0,0,0.0,0,48,False,1,2
0,0,20,0,2.8,1,0,2.0,17.0,90,6,0,0,0,0,0,0.0,2,48,True,0,2
0,0,15,1,5.8,0,0,0.8,2.4,90,2,0,0,0,0,0,0.0,5,48,False,1,2
0,0,7,0,20.1,4,0,2.8,7.8,90,15,0,0,0,0,0,0.0,-1,48,True,1,2
0,0,14,0,1.2,1,0,1.7,15.4,90,14,0,0,0,0,0,0.0,2,48,False,0,2
0,0,21,1,35.5,0,0,4.9,13.8,90,12,0,0,0,0,0,0.0,5,48,True,1,2
0,3,28,1,2.0,0,0,2.4,20.0,90,19,0,0,0,0,0,2.0,9,48,False,0,2
0,1,23,1,0.7,0,0,2.2,21.0,90,18,0,0,0,0,0,0.0,7,48,True,0,2
0,0,9,0,5.4,1,0,1.5,9.4,90,4,0,0,0,0,0,0.0,2,48,False,0,2
0,0,13,0,0.4,3,0,2.2,21.6,90,13,0,0,0,0,0,0.0,1,48,False,0,2
0,0,22,1,0.3,0,0,1.6,15.6,90,1,0,0,0,0,0,0.0,6,48,True,0,2
0,0,22,0,31.1,2,0,6.1,28.0,90,8,0,0,0,0,0,2.0,1,48,True,0,2
0,0,8,0,1.5,1,0,1.8,16.2,90,9,0,0,0,0,0,0.0,2,48,False,0,2
0,0,8,0,1.1,1,0,1.8,16.4,90,17,0,0,0,0,0,0.0,1,48,True,1,2
0,0,11,0,10.4,2,0,2.7,14.8,90,3,0,0,0,0,0,2.0,1,48,True,0,2
0,0,13,0,2.0,5,0,1.3,8.8,90,10,0,0,0,0,0,2.0,0,48,False,0,2
0,0,23,1,0.5,0,0,2.2,19.0,90,7,0,0,0,0,0,2.0,6,48,True,0,2
0,0,11,0,0.5,2,0,1.1,10.4,90,11,0,0,0,0,0,0.0,1,48,False,0,2
0,0,15,0,4.8,3,0,2.0,15.2,90,8,1,0,0,0,0,0.0,-1,50,True,0,2
0,0,9,0,3.3,1,0,1.3,9.8,90,10,0,0,0,0,0,0.0,2,50,False,0,2
0,0,12,0,33.2,2,0,5.2,15.2,90,16,0,0,0,0,0,4.0,0,50,True,1,2
0,0,19,0,16.3,1,0,3.6,17.2,90,4,0,0,0,0,0,2.0,2,49,False,0,2
0,0,11,0,3.4,1,0,5.2,24.2,90,14,0,0,0,0,0,24.0,1,49,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,49,False,0,2
0,0,13,0,19.3,4,0,4.0,18.8,90,12,0,0,0,0,0,2.0,0,48,False,0,2
0,0,9,0,2.0,1,0,1.9,17.2,90,5,0,0,0,0,0,0.0,2,48,True,0,2
0,0,15,0,15.8,1,0,3.8,19.8,90,13,0,0,0,0,0,2.0,2,48,False,0,2
0,0,6,0,11.6,2,0,2.0,4.6,59,20,0,0,0,0,0,4.0,0,48,True,0,2
0,0,11,0,1.6,1,0,1.6,14.6,75,17,0,0,0,0,0,0.0,2,48,False,0,2
1,0,24,0,18.6,2,0,5.7,38.4,90,7,0,0,0,0,0,0.0,4,48,True,0,2
0,0,11,0,2.9,1,0,1.5,12.0,90,15,0,0,0,0,0,0.0,2,48,True,0,2
0,0,25,1,1.5,0,0,2.6,24.2,90,3,0,0,0,0,0,0.0,6,48,False,0,2
0,0,27,1,1.4,0,0,3.0,28.6,90,19,0,0,0,0,0,0.0,5,48,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,47,True,0,2
0,0,17,0,22.3,3,0,6.5,23.0,90,7,0,0,0,0,0,20.0,1,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,47,False,0,2
0,0,11,0,1.1,2,0,2.9,27.8,90,3,0,0,0,0,0,0.0,1,47,True,0,2
0,0,17,1,1.4,0,0,1.0,8.2,90,18,0,0,0,0,0,0.0,5,47,False,1,2
0,0,21,1,1.7,0,0,2.3,21.6,90,9,0,0,0,0,0,0.0,6,47,True,0,2
0,0,3,0,1.3,0,0,0.2,0.2,39,15,0,0,0,0,0,0.0,1,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,47,True,0,2
0,0,23,1,0.9,0,0,1.4,13.2,90,8,0,0,0,0,0,0.0,6,45,True,0,2
0,0,15,0,3.9,1,0,4.8,43.6,90,15,0,0,0,0,0,0.0,2,45,False,0,2
0,0,6,0,0.8,1,0,1.7,16.2,90,12,0,0,0,0,0,0.0,2,45,False,0,2
0,2,28,1,16.9,0,0,3.8,18.8,90,2,0,0,0,0,0,2.0,8,45,True,0,2
0,0,12,0,14.8,4,0,4.6,13.0,90,17,0,0,0,0,0,18.0,-1,45,False,1,2
1,1,22,0,7.3,1,0,2.5,17.0,90,20,0,0,0,0,0,1.0,6,45,True,0,2
0,2,27,1,2.8,0,0,2.4,21.0,90,14,0,0,0,0,0,0.0,8,45,True,0,2
0,0,10,0,6.3,1,0,2.1,12.6,90,19,0,0,0,0,0,2.0,1,46,False,1,2
0,0,9,0,1.5,2,0,1.4,12.6,90,11,0,0,0,0,0,0.0,1,46,True,0,2
0,0,17,0,2.7,2,0,2.2,19.6,90,1,0,0,0,0,0,0.0,1,46,False,0,2
0,0,13,0,2.3,2,0,2.4,14.2,90,9,0,0,0,0,0,7.0,1,46,True,0,2
0,0,3,0,0.5,0,0,0.5,4.8,43,6,0,0,0,0,0,0.0,1,46,False,0,2
0,0,12,0,0.8,1,0,1.0,9.0,69,10,0,0,0,0,0,0.0,2,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,True,0,2
0,0,3,0,0.0,0,0,0.0,0.2,2,11,0,0,0,0,0,0.0,1,43,False,0,2
0,0,3,0,0.5,0,0,0.6,5.8,28,16,0,0,0,0,0,0.0,1,43,True,0,2
0,0,6,0,1.3,1,0,1.1,9.6,90,15,0,0,0,0,0,0.0,1,43,True,1,2
