assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,1,0,1.2,1,0,1.0,1.0,16,16,0,0,0,0,0,8.0,1,55,True,0,3
0,0,4,0,1.1,0,0,0.4,2.4,35,9,0,0,0,0,0,0.0,1,55,True,0,3
0,0,9,0,48.3,1,0,6.1,12.6,34,4,0,0,0,0,0,0.0,1,54,False,0,3
0,0,13,1,3.3,0,0,3.5,7.2,75,7,0,0,0,0,0,24.0,3,53,True,0,3
0,0,4,0,1.3,1,0,2.1,12.6,34,8,0,0,0,0,0,7.0,1,53,False,0,3
0,0,13,1,16.3,0,0,2.8,8.0,90,18,0,0,0,0,0,4.0,3,52,True,0,3
0,0,13,0,21.3,1,0,7.3,22.8,90,1,0,0,0,0,0,29.0,2,52,True,0,3
0,0,4,0,19.7,3,0,3.1,7.2,69,13,0,0,0,0,0,4.0,2,51,False,0,3
1,0,17,0,17.7,1,0,3.3,3.8,90,6,0,0,0,0,0,11.0,5,51,True,0,3
0,0,17,1,42.0,0,0,8.3,22.4,84,11,0,0,0,0,0,19.0,3,51,False,0,3
1,3,38,0,30.1,2,1,9.7,55.4,90,5,0,0,0,0,0,11.0,13,51,True,0,3
0,0,8,0,10.0,4,0,4.2,12.2,78,19,0,0,0,0,0,20.0,2,51,False,0,3
0,0,4,0,1.7,1,0,1.5,5.8,42,10,0,0,0,0,0,7.0,1,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,51,False,0,3
0,0,2,0,1.3,0,0,0.0,0.0,14,12,0,0,0,0,0,0.0,1,50,True,0,3
0,0,8,0,4.3,1,0,1.7,9.0,23,15,0,0,0,0,0,4.0,1,50,True,0,3
0,0,7,0,30.9,1,0,4.3,12.0,58,10,0,0,0,0,0,0.0,1,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,False,0,3
0,0,6,0,0.7,0,0,0.4,1.2,29,11,0,0,0,0,0,2.0,1,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,48,False,0,3
0,0,5,0,0.3,0,0,1.2,5.0,8,19,0,0,0,0,0,7.0,1,48,True,0,3
1,0,16,0,15.3,1,0,3.9,19.4,16,2,0,0,0,0,0,4.0,4,48,False,0,3
0,0,-2,0,0.5,1,0,0.0,0.0,24,20,0,0,0,0,0,0.0,0,48,True,1,3
0,0,8,0,14.8,1,0,2.3,8.6,74,5,0,0,0,0,0,0.0,2,50,False,0,3
0,0,9,0,28.9,1,0,3.7,3.0,78,19,0,0,0,0,0,5.0,2,50,True,0,3
0,0,5,0,11.5,1,0,1.6,1.0,56,17,0,0,0,0,0,3.0,1,50,False,0,3
0,0,8,1,1.4,0,0,1.4,12.8,90,6,0,0,0,0,0,0.0,3,50,True,0,3
0,0,4,0,0.1,1,0,0.2,2.2,59,10,0,0,0,0,0,0.0,1,50,False,0,3
0,0,2,0,0.1,0,0,0.0,0.0,13,8,0,0,0,0,0,0.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,50,False,0,3
1,0,14,0,20.1,0,0,5.9,19.6,45,20,0,0,0,0,0,19.0,4,50,True,0,3
0,0,6,0,12.0,2,0,2.4,3.2,19,11,0,0,0,0,0,9.0,1,50,False,0,3
1,0,25,1,30.6,0,0,8.2,31.0,90,13,0,0,0,0,0,20.0,5,50,True,1,3
1,0,13,1,18.8,0,0,5.5,26.0,90,14,0,0,0,0,0,10.0,6,50,False,0,3
0,0,11,1,13.1,0,0,3.8,15.4,90,16,0,0,0,0,0,9.0,3,50,True,0,3
0,0,14,0,6.3,1,0,3.7,17.4,90,1,0,0,0,0,0,13.0,2,50,True,0,3
1,0,19,0,13.2,1,0,4.7,26.4,90,2,0,0,0,0,0,7.0,5,50,False,0,3
0,0,17,0,71.1,1,0,12.9,31.4,90,9,0,0,0,0,0,26.0,2,50,False,0,3
1,0,18,1,24.3,0,0,8.6,29.0,90,18,0,0,0,0,0,33.0,6,50,True,0,3
0,0,11,1,48.0,0,0,6.6,8.8,90,15,0,0,0,0,0,9.0,3,50,True,0,3
0,0,15,1,23.2,0,0,9.2,14.2,90,3,0,0,0,0,0,55.0,3,50,False,0,3
0,0,7,0,30.3,3,0,4.0,9.2,90,17,0,0,0,0,0,0.0,2,50,True,0,3
0,0,9,0,16.1,2,0,3.1,14.8,90,12,0,0,0,0,0,0.0,1,50,False,1,3
0,0,18,1,78.7,0,0,11.0,23.2,90,8,0,0,0,0,0,8.0,3,50,False,0,3
0,1,28,0,26.9,2,1,11.2,42.4,90,10,0,0,0,0,0,43.0,8,50,True,0,3
0,0,14,0,39.3,1,0,5.5,11.8,84,6,0,0,0,0,0,4.0,2,50,False,0,3
0,0,7,0,56.4,1,0,11.4,13.8,90,12,0,0,0,0,0,44.0,2,50,True,0,3
0,0,5,0,1.5,1,0,0.6,4.8,82,13,0,0,0,0,0,0.0,2,50,False,0,3
0,3,30,0,40.8,1,1,11.0,50.4,90,11,0,0,0,0,0,19.0,10,50,True,0,3
0,0,14,0,53.6,1,0,10.4,19.0,84,16,0,0,0,0,0,31.0,2,50,False,0,3
0,0,5,0,10.0,1,0,5.8,9.4,90,14,0,0,0,0,0,39.0,2,51,True,0,3
1,0,23,0,59.6,1,0,14.7,26.0,90,7,0,0,0,0,0,61.0,5,51,True,0,3
1,0,14,1,17.8,0,0,4.7,16.2,90,20,0,0,0,0,0,13.0,6,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,51,False,0,3
1,1,21,0,25.3,1,0,4.9,21.0,90,9,0,0,0,0,0,3.0,6,50,True,0,3
1,2,29,0,47.8,2,0,8.8,32.2,90,5,0,0,0,0,0,8.0,7,50,True,0,3
0,0,11,0,61.1,1,0,9.9,16.4,90,15,0,0,0,0,0,21.0,2,50,False,0,3
