assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,9,0,28.5,1,0,3.7,8.2,90,3,0,0,0,0,0,0.0,1,50,False,1,3
0,0,3,0,15.5,0,0,1.8,1.8,28,7,0,0,0,0,0,1.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,49,False,0,3
0,0,13,0,39.2,1,0,11.6,14.2,90,16,0,0,0,0,0,63.0,1,49,True,1,3
0,0,15,1,16.6,0,0,4.7,28.0,90,8,0,0,0,0,0,2.0,3,48,False,0,3
0,0,18,0,33.0,1,0,7.2,14.8,90,10,0,0,0,0,0,24.0,2,48,True,0,3
0,0,16,1,11.2,0,0,4.2,14.0,90,18,0,0,0,0,0,17.0,3,48,False,0,3
0,0,9,1,46.8,0,0,7.2,15.0,90,1,0,0,0,0,0,10.0,2,48,True,1,3
0,0,17,0,43.3,1,0,5.7,12.0,90,19,0,0,0,0,0,2.0,2,48,False,0,3
0,1,32,1,16.8,0,1,8.0,44.4,90,5,0,0,0,0,0,19.0,9,48,True,0,3
0,0,15,0,25.7,1,0,4.6,13.2,90,17,0,0,0,0,0,7.0,2,48,False,0,3
1,3,43,0,33.5,3,1,13.1,60.4,90,12,0,0,0,0,0,37.0,13,48,True,0,3
0,0,14,0,35.0,1,0,7.0,18.0,90,20,0,0,0,0,0,17.0,1,48,False,1,3
0,0,12,0,19.1,2,0,5.0,10.6,90,13,0,0,0,0,0,20.0,2,48,True,0,3
0,0,20,0,18.9,1,0,3.5,16.0,90,14,0,0,0,0,0,0.0,2,49,False,0,3
0,3,45,1,8.5,0,2,11.7,72.6,90,2,0,0,0,0,0,36.0,15,49,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,49,False,0,3
0,0,5,0,17.8,1,0,6.1,6.8,90,18,0,0,0,0,0,36.0,2,49,True,0,3
0,0,18,0,2.8,2,0,1.1,7.8,90,11,0,0,0,0,0,0.0,2,49,False,0,3
0,0,3,0,8.2,2,0,1.6,5.8,90,10,0,0,0,0,0,2.0,2,49,False,0,3
1,3,33,1,40.4,0,0,8.8,28.6,90,19,0,0,0,0,0,19.0,9,49,True,0,3
0,3,33,0,22.3,1,1,10.9,49.8,90,1,0,0,0,0,0,37.0,10,49,False,0,3
0,0,3,0,6.0,1,0,1.3,6.6,90,11,0,0,0,0,0,0.0,1,50,True,1,3
0,0,10,1,27.6,0,0,4.8,12.2,90,7,0,0,0,0,0,8.0,2,50,False,1,3
0,0,11,0,36.8,1,0,7.1,12.2,90,3,0,0,0,0,0,22.0,2,51,True,0,3
0,0,14,0,19.5,1,0,5.8,8.2,90,4,0,0,0,0,0,30.0,2,51,True,0,3
0,0,14,1,5.8,0,0,2.3,10.8,90,14,0,0,0,0,0,6.0,3,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,50,False,0,3
0,0,9,0,30.6,2,0,4.3,10.8,72,13,0,0,0,0,0,2.0,2,50,False,0,3
0,0,8,0,4.8,3,0,1.0,3.6,90,12,0,0,0,0,0,2.0,2,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,48,False,0,3
