assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,1,20,0,27.2,1,0,3.5,4.8,77,3,0,0,0,0,0,3.0,3,40,False,0,2
0,3,41,1,18.5,0,1,9.4,53.4,90,7,0,0,0,0,0,22.0,14,40,True,1,2
0,0,4,0,9.1,2,0,3.0,3.0,90,9,0,0,0,0,0,18.0,0,41,True,1,2
0,0,12,0,2.4,2,0,1.4,7.8,90,6,0,0,0,0,0,4.0,1,42,False,0,2
0,0,14,0,14.0,1,0,2.5,11.0,71,16,0,0,0,0,0,0.0,2,42,True,0,2
1,3,33,1,15.4,0,0,5.1,35.6,90,8,0,0,0,0,0,0.0,12,43,False,0,2
0,0,11,0,16.3,1,0,6.6,11.8,90,10,0,0,0,0,0,38.0,2,44,True,0,2
0,0,20,1,27.5,0,0,4.5,11.0,90,18,0,0,0,0,0,6.0,5,45,False,1,2
0,0,20,1,13.4,0,0,2.5,9.2,90,1,0,0,0,0,0,2.0,6,45,True,0,2
0,0,5,0,12.8,1,0,4.6,11.2,90,19,0,0,0,0,0,22.0,2,46,False,0,2
0,3,49,1,15.9,0,2,17.1,77.8,90,5,0,0,0,0,0,77.0,21,47,True,0,2
0,0,7,0,15.8,1,0,3.8,9.0,90,17,0,0,0,0,0,13.0,2,48,False,0,2
1,0,12,0,7.3,3,0,5.7,7.6,90,12,0,0,0,0,0,42.0,3,49,True,1,2
0,0,13,0,7.8,1,0,2.3,14.8,90,20,0,0,0,0,0,0.0,2,50,False,0,2
0,0,21,0,16.2,2,0,4.4,17.6,90,13,0,0,0,0,0,10.0,1,50,True,0,2
0,0,14,0,23.3,1,0,3.3,9.0,90,14,0,0,0,0,0,1.0,2,51,False,0,2
1,2,37,1,31.1,0,0,8.6,30.4,90,2,0,0,0,0,0,24.0,11,51,True,0,2
0,0,22,1,4.3,0,0,2.1,8.8,90,4,0,0,0,0,0,8.0,6,52,False,0,2
0,0,9,0,5.6,1,0,0.8,1.0,90,18,0,0,0,0,0,1.0,2,52,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,52,False,0,2
0,0,12,0,5.1,2,0,2.1,9.8,90,10,0,0,0,0,0,6.0,1,52,False,0,2
0,0,17,1,11.7,0,0,4.6,9.8,69,19,0,0,0,0,0,24.0,6,51,True,0,2
0,0,9,0,1.5,1,0,0.9,1.6,66,1,0,0,0,0,0,6.0,2,51,False,0,2
0,0,2,0,0.1,0,0,0.0,0.0,12,11,0,0,0,0,0,0.0,1,51,True,0,2
0,0,4,0,12.5,0,0,1.8,4.2,22,7,0,0,0,0,0,1.0,1,51,False,0,2
0,0,17,0,0.6,0,1,5.5,33.4,29,3,0,0,0,0,0,21.0,7,50,True,0,2
0,0,3,0,1.2,0,0,0.4,0.6,9,4,0,0,0,0,0,2.0,1,50,True,0,2
1,3,35,1,28.6,0,0,9.8,27.2,90,14,0,0,0,0,0,42.0,12,48,True,0,2
