assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,15,0,2.8,1,0,1.7,12.4,90,15,0,0,0,0,0,2.0,2,50,True,0,2
0,0,13,0,0.8,1,0,2.4,21.0,90,14,0,0,0,0,0,2.0,1,50,False,1,2
0,0,13,0,2.3,1,0,1.5,12.6,58,20,0,0,0,0,0,0.0,1,50,True,0,2
0,0,17,0,2.3,1,0,3.6,33.4,90,11,0,0,0,0,0,0.0,2,50,False,0,2
0,0,5,0,0.4,0,0,1.0,9.8,39,2,0,0,0,0,0,0.0,1,50,True,0,2
0,0,15,0,0.7,1,0,1.9,13.8,90,16,0,0,0,0,0,4.0,2,50,False,0,2
0,0,23,0,1.4,2,0,2.1,19.2,90,17,0,0,0,0,0,0.0,1,50,False,0,2
0,0,14,0,1.7,1,0,2.9,12.8,90,6,0,0,0,0,0,14.0,2,50,True,0,2
0,0,19,0,13.0,1,0,2.9,14.0,90,13,0,0,0,0,0,2.0,2,50,True,0,2
0,1,28,1,11.2,0,0,3.7,18.8,90,19,0,0,0,0,0,7.0,7,50,False,0,2
0,0,20,0,2.9,1,0,2.6,17.2,90,12,0,0,0,0,0,6.0,2,50,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,False,0,2
0,0,16,0,0.3,2,0,1.5,14.2,77,4,0,0,0,0,0,0.0,1,49,True,0,2
0,0,15,0,4.0,4,0,1.8,12.4,90,8,0,0,0,0,0,2.0,0,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,48,True,0,2
0,0,4,0,0.0,0,0,0.3,2.8,17,7,0,0,0,0,0,0.0,1,47,False,0,2
0,0,18,0,1.1,1,0,1.9,17.8,90,9,0,0,0,0,0,0.0,2,47,False,0,2
0,0,3,0,0.0,0,0,0.2,2.0,2,3,0,0,0,0,0,0.0,1,47,True,0,2
0,0,16,0,1.3,4,0,4.9,23.0,90,6,0,0,0,0,0,25.0,0,47,False,0,2
0,0,3,0,0.1,0,0,0.1,1.0,7,17,0,0,0,0,0,0.0,1,47,True,0,2
0,0,29,1,1.6,0,0,1.5,13.6,90,20,0,0,0,0,0,0.0,6,47,False,0,2
0,1,22,0,13.4,1,0,4.3,29.8,90,16,0,0,0,0,0,0.0,3,47,True,0,2
0,2,32,1,10.9,0,0,4.3,30.2,90,2,0,0,0,0,0,2.0,8,47,False,0,2
0,0,27,1,0.7,0,0,1.6,14.8,90,15,0,0,0,0,0,0.0,6,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,2
0,0,9,0,1.2,1,0,3.8,12.4,90,9,0,0,0,0,0,24.0,2,47,True,0,2
0,0,12,0,1.0,2,0,2.0,12.8,90,1,0,0,0,0,0,6.0,1,47,False,0,2
0,0,17,0,1.3,2,0,6.5,23.2,90,4,0,0,0,0,0,40.0,1,47,False,0,2
0,0,26,0,1.5,1,0,8.3,43.0,90,7,0,0,0,0,0,38.0,2,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,True,0,2
0,0,4,0,0.1,1,0,0.4,3.4,14,19,0,0,0,0,0,0.0,1,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,46,False,0,2
0,0,24,1,5.6,0,0,2.2,16.6,90,3,0,0,0,0,0,0.0,6,55,False,0,2
0,0,7,0,0.2,1,0,0.5,4.6,64,7,0,0,0,0,0,0.0,2,55,True,0,2
