assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,50,False,0,4
0,0,0,0,1.5,0,0,0.2,0.0,19,8,0,0,0,0,0,0.0,1,50,True,0,4
0,0,3,0,4.0,1,0,0.4,0.2,15,4,0,0,0,0,0,0.0,1,50,False,0,4
0,0,3,0,1.3,0,0,1.6,6.0,18,3,0,0,0,0,0,9.0,1,50,True,0,4
0,0,-1,0,1.1,2,0,2.0,0.0,46,7,0,0,0,0,0,22.0,1,50,False,0,4
0,0,2,0,3.0,1,0,0.5,0.0,55,2,0,0,0,0,0,2.0,1,50,False,0,4
0,0,0,1,1.7,0,0,2.7,0.0,90,12,0,0,0,0,0,26.0,2,50,True,0,4
1,0,8,1,12.6,0,0,4.6,17.2,74,17,0,0,0,0,0,16.0,4,50,True,1,4
0,0,9,0,13.0,1,0,3.3,9.8,90,20,0,0,0,0,0,10.0,2,50,False,0,4
0,0,2,0,4.8,0,0,1.1,2.2,10,18,0,0,0,0,0,4.0,1,50,False,0,4
1,0,17,1,18.9,0,0,8.4,29.2,90,14,0,0,0,0,0,36.0,5,50,True,0,4
1,0,17,0,15.3,1,0,6.0,5.6,90,11,0,0,0,0,0,39.0,5,50,False,0,4
1,0,22,1,24.9,0,0,5.5,26.2,90,6,0,0,0,0,0,4.0,5,50,True,0,4
0,0,4,1,4.4,0,0,1.9,6.4,90,15,0,0,0,0,0,8.0,2,50,False,0,4
0,2,36,0,16.0,1,1,9.7,38.2,90,19,0,0,0,0,0,43.0,8,50,True,0,4
0,0,0,1,3.6,0,0,0.8,2.4,90,14,0,0,0,0,0,2.0,2,50,False,0,4
0,0,10,0,13.1,4,0,3.3,10.6,90,12,0,0,0,0,0,9.0,2,50,True,0,4
0,0,25,1,6.1,0,1,5.6,36.4,90,6,0,0,0,0,0,13.0,6,50,False,0,4
0,0,13,0,19.3,1,0,6.4,13.6,90,13,0,0,0,0,0,31.0,2,50,True,0,4
0,0,7,1,2.1,0,0,1.2,5.0,90,17,0,0,0,0,0,5.0,2,50,False,0,4
0,0,8,0,7.6,2,0,2.4,8.2,90,18,0,0,0,0,0,8.0,2,50,True,0,4
0,0,9,0,5.3,1,0,1.8,10.6,90,20,0,0,0,0,0,2.0,2,50,False,0,4
1,0,13,1,16.3,0,0,7.5,21.4,90,8,0,0,0,0,0,37.0,5,50,True,0,4
1,0,19,0,16.7,2,0,6.6,22.2,90,9,0,0,0,0,0,27.0,5,50,True,0,4
0,0,5,0,12.4,2,0,3.9,7.8,80,1,0,0,0,0,0,19.0,2,50,False,0,4
0,0,2,0,4.0,1,0,11.2,2.4,78,3,0,0,0,0,0,106.0,2,50,True,0,4
0,0,5,0,5.3,2,0,1.4,4.2,45,4,0,0,0,0,0,4.0,1,51,False,0,4
0,0,2,1,5.8,0,0,3.6,0.2,83,2,0,0,0,0,0,30.0,2,51,True,0,4
0,0,6,0,18.5,1,0,3.7,16.6,83,5,0,0,0,0,0,2.0,2,51,False,0,4
0,0,4,0,5.6,2,0,1.2,4.6,72,15,0,0,0,0,0,2.0,2,51,False,0,4
0,0,5,0,3.1,0,0,6.1,11.6,34,19,0,0,0,0,0,46.0,1,51,True,0,4
0,0,5,0,0.8,4,0,3.8,7.6,90,11,0,0,0,0,0,30.0,2,50,True,0,4
0,0,5,0,1.0,0,0,0.4,2.6,16,7,0,0,0,0,0,0.0,1,50,False,0,4
0,3,27,0,1.5,0,1,4.5,35.8,24,6,0,0,0,0,0,8.0,8,50,True,0,4
0,0,6,0,8.1,5,0,4.4,8.0,90,10,0,0,0,0,0,28.0,2,50,False,0,4
0,1,27,0,19.4,1,1,7.8,37.8,90,18,0,0,0,0,0,21.0,7,50,False,0,4
0,0,5,0,12.6,2,0,5.0,9.4,90,17,0,0,0,0,0,28.0,2,50,True,0,4
0,3,27,0,14.5,1,1,11.4,43.2,90,13,0,0,0,0,0,56.0,8,50,False,1,4
0,0,6,1,2.4,0,0,3.3,9.8,78,10,0,0,0,0,0,21.0,2,51,True,0,4
0,2,35,0,3.2,1,1,8.5,41.4,87,1,0,0,0,0,0,40.0,8,52,True,0,4
0,0,10,0,5.7,1,0,2.2,13.8,90,9,0,0,0,0,0,2.0,2,53,False,0,4
0,0,18,1,25.2,0,0,12.4,16.0,90,4,0,0,0,0,0,83.0,2,54,True,0,4
0,0,8,0,6.4,4,0,2.6,14.8,90,3,0,0,0,0,0,5.0,2,54,False,0,4
0,1,32,0,18.0,1,1,10.5,57.2,90,20,0,0,0,0,0,30.0,7,54,True,0,4
0,0,-8,0,0.1,0,0,0.0,0.0,10,8,0,0,0,1,0,0.0,-2,54,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,53,False,0,4
0,2,26,0,49.3,1,1,17.5,54.2,90,7,0,0,0,0,0,71.0,7,53,True,1,4
0,0,2,0,2.4,5,0,1.0,5.4,90,11,0,0,0,0,0,2.0,2,53,False,0,4
0,0,3,0,14.7,1,0,3.2,10.2,90,5,0,0,0,0,0,7.0,2,53,True,0,4
0,0,4,0,8.8,1,0,3.7,4.6,90,2,0,0,0,0,0,24.0,2,53,False,0,4
0,0,1,0,5.8,1,0,5.3,6.0,90,14,0,0,0,0,0,41.0,2,53,True,0,4
0,0,10,0,5.7,2,0,11.6,6.6,90,15,0,0,0,0,0,104.0,2,54,True,0,4
0,0,8,1,12.8,0,0,4.1,9.0,64,8,0,0,0,0,0,19.0,2,50,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,False,0,4
0,3,29,1,2.1,0,1,5.4,34.4,74,12,0,0,0,0,0,17.0,9,50,False,0,4
0,3,34,1,14.9,0,1,9.0,37.4,85,2,0,0,0,0,0,38.0,9,50,True,0,4
0,0,4,0,13.6,4,0,6.0,6.4,70,17,0,0,0,0,0,40.0,1,51,False,1,4
0,0,-2,1,1.8,0,0,2.3,2.6,68,20,0,0,0,0,0,19.0,1,51,True,1,4
0,0,0,1,26.6,0,0,7.9,3.4,89,14,0,0,0,0,0,49.0,1,51,True,1,4
0,3,32,0,2.1,1,1,9.8,36.4,89,19,0,0,0,0,0,59.0,9,51,False,0,4
0,0,0,0,2.7,2,0,1.2,0.0,90,11,0,0,0,0,0,11.0,2,51,True,0,4
0,2,29,0,12.5,2,1,10.4,33.4,80,1,0,0,0,0,0,58.0,8,51,False,0,4
0,0,0,0,3.4,1,0,2.5,0.0,77,9,0,0,0,0,0,23.0,2,51,True,0,4
0,0,5,0,3.9,2,0,1.5,10.8,90,6,0,0,0,0,0,0.0,2,51,False,0,4
0,0,-5,0,13.3,1,0,2.6,0.8,75,10,0,0,0,0,0,12.0,2,51,True,0,4
0,0,5,1,3.1,0,0,1.2,2.8,81,5,0,0,0,0,0,6.0,2,51,False,0,4
0,0,2,1,2.1,0,0,3.9,9.0,90,3,0,0,0,0,0,28.0,2,51,True,0,4
0,0,6,1,4.4,0,0,1.6,5.8,90,18,0,0,0,0,0,6.0,2,51,False,0,4
0,0,13,0,15.2,1,0,2.4,7.8,90,4,0,0,0,0,0,1.0,2,51,True,0,4
0,0,13,0,46.8,1,0,9.0,21.6,90,13,0,0,0,0,0,22.0,2,50,False,0,4
1,3,54,0,38.8,1,1,16.6,72.6,90,19,0,0,0,0,0,55.0,12,50,True,0,4
0,0,5,0,2.6,1,0,0.8,4.8,90,16,0,0,0,0,0,1.0,2,50,False,0,4
0,0,5,0,19.8,1,0,7.5,12.6,90,14,0,0,0,0,0,43.0,2,50,False,0,4
0,3,27,0,12.9,1,1,7.6,37.6,90,1,0,0,0,0,0,25.0,9,50,True,0,4
0,0,4,0,2.2,2,0,1.2,8.2,90,11,0,0,0,0,0,2.0,1,50,False,1,4
0,0,11,0,13.2,2,0,4.5,10.0,90,16,0,0,0,0,0,22.0,2,50,True,0,4
0,0,10,0,23.0,1,0,3.7,8.4,90,15,0,0,0,0,0,6.0,2,50,True,0,4
0,0,8,0,4.3,3,0,1.6,7.4,90,8,0,0,0,0,0,4.0,2,50,False,0,4
1,0,14,1,0.9,0,0,12.3,19.2,90,13,0,0,0,0,0,103.0,5,50,True,0,4
0,1,28,1,12.1,0,1,6.9,37.4,90,4,0,0,0,0,0,19.0,7,50,False,0,4
0,1,27,1,2.9,0,1,7.2,39.4,90,18,0,0,0,0,0,30.0,6,51,True,1,4
0,0,21,1,13.8,0,1,7.8,41.0,90,3,0,0,0,0,0,23.0,5,52,False,1,4
0,0,2,0,12.9,4,0,1.5,1.6,83,10,0,0,0,0,0,0.0,2,52,False,0,4
0,0,6,0,16.8,1,0,6.7,7.0,90,5,0,0,0,0,0,43.0,2,52,True,0,4
0,0,6,0,1.3,3,0,3.4,14.6,90,9,0,0,0,0,0,18.0,2,52,False,0,4
