assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,10,0,8.0,3,0,3.3,5.4,67,11,0,0,0,0,0,20.0,2,55,True,0,3
0,0,7,1,16.8,0,0,3.9,9.2,78,20,0,0,0,0,0,13.0,3,55,False,0,3
0,0,3,0,12.0,0,0,3.6,3.4,58,5,0,0,0,0,0,21.0,1,55,False,0,3
0,0,7,1,28.2,0,0,6.2,4.0,62,19,0,0,0,0,0,30.0,3,54,True,0,3
0,0,3,0,10.5,2,0,1.4,3.6,45,10,0,0,0,0,0,0.0,1,54,False,0,3
0,0,12,1,28.4,0,0,5.9,7.0,70,6,0,0,0,0,0,24.0,3,53,True,0,3
0,0,8,0,15.2,1,0,2.0,2.8,61,18,0,0,0,0,0,2.0,2,53,False,0,3
0,0,9,0,35.0,1,0,8.4,6.8,61,7,0,0,0,0,0,42.0,2,52,True,0,3
0,0,7,0,21.8,0,0,3.2,3.8,59,17,0,0,0,0,0,6.0,1,52,True,0,3
0,0,14,0,18.6,2,0,5.1,16.0,59,12,0,0,0,0,0,16.0,1,51,False,0,3
0,0,1,0,11.8,1,0,1.9,1.2,45,15,0,0,0,0,0,6.0,1,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,51,False,0,3
0,0,5,0,1.9,1,0,0.9,7.4,20,1,0,0,0,0,0,0.0,1,50,False,0,3
0,0,5,0,16.3,1,0,2.4,7.6,45,9,0,0,0,0,0,0.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,50,True,0,3
0,0,4,0,11.3,1,0,4.0,3.2,19,13,0,0,0,0,0,25.0,1,50,True,0,3
0,0,3,0,2.0,1,0,0.1,0.0,14,4,0,0,0,0,0,0.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,3
0,0,8,0,14.8,0,0,3.0,7.2,17,18,0,0,0,0,0,8.0,1,49,True,0,3
0,0,4,0,5.3,1,0,1.8,4.4,30,5,0,0,0,0,0,8.0,1,49,True,0,3
0,0,3,0,2.7,3,0,1.0,5.4,45,6,0,0,0,0,0,2.0,1,49,False,0,3
0,0,7,0,2.1,2,0,1.8,9.8,75,10,0,0,0,0,0,6.0,2,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,16,0,0,0,0,0,0.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,False,0,3
0,0,5,0,2.2,2,0,0.7,4.4,60,9,0,0,0,0,0,0.0,2,49,False,0,3
0,0,0,0,1.2,0,0,0.3,0.0,20,4,0,0,0,0,0,2.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,False,0,3
0,0,2,0,0.8,0,0,0.0,0.0,12,14,0,0,0,0,0,0.0,1,49,True,0,3
0,0,3,0,0.0,0,0,0.2,0.0,4,3,0,0,0,0,0,2.0,1,49,True,0,3
0,0,0,0,1.4,0,0,0.4,0.4,28,8,0,0,0,0,0,2.0,1,49,False,0,3
0,0,6,0,7.3,0,0,2.8,11.0,45,19,0,0,0,0,0,10.0,1,50,False,0,3
0,0,0,0,16.2,0,0,2.4,3.6,59,18,0,0,0,0,0,4.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,True,0,3
0,0,5,0,37.5,1,0,5.1,8.8,52,1,0,0,0,0,0,5.0,1,49,False,0,3
2,0,29,0,27.3,0,0,8.1,35.0,25,3,0,0,0,0,0,19.0,7,49,True,0,3
0,0,5,0,14.6,2,0,3.1,6.4,90,7,0,0,0,0,0,10.0,2,49,False,0,3
0,0,7,0,12.8,0,0,2.2,5.4,21,9,0,0,0,0,0,4.0,1,49,True,0,3
0,0,4,0,10.8,0,0,1.3,2.6,15,17,0,0,0,0,0,0.0,1,49,False,0,3
0,0,7,0,2.3,1,0,4.0,2.8,86,15,0,0,0,0,0,35.0,2,49,False,0,3
0,0,-2,0,13.3,1,0,3.7,0.4,45,5,0,0,0,0,0,23.0,1,49,True,0,3
0,0,6,1,14.0,0,0,3.1,5.4,75,13,0,0,0,0,0,12.0,3,49,False,0,3
1,0,16,0,14.4,0,0,3.4,19.4,42,8,0,0,0,0,0,0.0,4,49,True,0,3
0,0,9,1,14.4,0,0,3.6,4.4,87,16,0,0,0,0,0,17.0,2,49,False,1,3
0,0,14,0,32.5,2,0,7.1,12.4,68,4,0,0,0,0,0,26.0,2,49,True,0,3
0,0,7,0,15.6,0,0,2.3,3.8,21,14,0,0,0,0,0,4.0,1,49,True,0,3
0,0,1,0,0.9,0,0,1.7,2.4,25,6,0,0,0,0,0,14.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,False,0,3
0,0,13,0,7.3,4,0,4.2,9.2,90,10,0,0,0,0,0,25.0,2,48,True,0,3
0,0,5,0,29.4,4,0,5.8,8.8,90,11,0,0,0,0,0,20.0,2,48,False,0,3
0,0,10,0,75.6,3,0,15.0,17.2,90,20,0,0,0,0,0,57.0,2,48,True,0,3
0,0,6,0,18.3,1,0,5.8,9.0,90,7,0,0,0,0,0,31.0,2,48,True,0,3
1,0,23,0,69.8,2,0,18.9,38.0,90,3,0,0,0,0,0,81.0,5,48,False,0,3
0,2,31,0,4.0,1,1,8.9,40.4,85,1,0,0,0,0,0,45.0,9,48,True,0,3
0,0,2,1,3.5,0,0,0.3,0.0,61,20,0,0,0,0,0,1.0,3,48,False,0,3
1,0,17,1,23.1,0,0,6.1,22.4,82,5,0,0,0,0,0,15.0,6,48,False,0,3
1,0,13,0,17.8,1,0,9.1,14.8,90,15,0,0,0,0,0,58.0,5,48,True,0,3
0,0,-1,0,1.4,2,0,1.6,5.2,57,8,0,0,0,0,0,9.0,1,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,False,0,3
0,0,8,0,0.6,2,0,0.9,6.6,23,17,0,0,0,0,0,2.0,1,48,True,0,3
0,3,33,0,24.4,1,1,12.0,48.8,90,19,0,0,0,0,0,47.0,10,47,True,0,3
0,0,6,0,18.3,2,0,5.3,7.2,66,18,0,0,0,0,0,27.0,2,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,47,True,0,3
0,0,-2,0,5.2,1,0,0.8,1.4,57,10,0,0,0,0,0,1.0,1,47,False,0,3
0,0,0,0,7.8,1,0,0.8,0.0,55,12,0,0,0,0,0,1.0,1,47,True,0,3
0,0,2,0,6.1,0,0,0.7,0.6,26,14,0,0,0,0,0,0.0,1,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,46,True,0,3
0,0,9,0,56.2,1,0,7.2,8.6,90,4,0,0,0,0,0,7.0,2,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,54,False,0,3
0,0,3,0,46.4,1,0,6.3,10.4,26,8,0,0,0,0,0,6.0,1,53,True,0,3
0,0,1,0,0.5,1,0,0.2,0.0,10,6,0,0,0,0,0,2.0,1,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,51,False,0,3
0,0,3,0,0.3,0,0,0.2,1.2,13,16,0,0,0,0,0,0.0,1,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,51,False,0,3
0,0,3,0,11.0,1,0,1.6,3.4,16,14,0,0,0,0,0,2.0,1,51,True,0,3
0,0,3,0,16.4,2,0,6.4,3.6,81,15,0,0,0,0,0,44.0,2,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,True,0,3
0,0,2,0,1.2,1,0,0.4,2.4,57,20,0,0,0,0,0,0.0,1,50,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,0.0,1,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,50,False,0,3
0,0,13,0,5.4,4,0,1.3,7.8,90,14,0,0,0,0,0,0.0,2,50,False,0,3
0,0,2,0,4.3,0,0,0.4,0.0,9,18,0,0,0,0,0,0.0,1,50,True,0,3
0,0,5,0,0.9,1,0,0.4,3.2,7,8,0,0,0,0,0,0.0,1,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,3
1,0,12,0,15.1,0,0,3.6,20.4,22,6,0,0,0,0,0,0.0,4,50,True,0,3
0,0,7,0,16.4,0,0,3.0,5.4,28,5,0,0,0,0,0,8.0,1,50,False,0,3
0,0,-2,0,12.1,3,0,4.2,3.6,58,12,0,0,0,0,0,26.0,1,50,False,0,3
0,0,9,0,18.6,1,0,3.9,10.4,90,20,0,0,0,0,0,10.0,2,50,True,0,3
