assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,1,31,1,9.3,0,1,7.9,52.6,90,10,0,0,0,0,0,17.0,9,50,False,0,3
0,0,14,0,11.9,2,0,3.3,14.4,90,1,0,0,0,0,0,7.0,2,51,True,0,3
0,0,15,0,32.5,1,0,7.0,35.8,90,15,0,0,0,0,0,2.0,2,51,False,0,3
0,0,15,1,11.7,0,0,3.0,9.4,90,2,0,0,0,0,0,9.0,3,51,True,0,3
0,0,10,0,6.5,1,0,1.4,7.8,90,5,0,0,0,0,0,0.0,2,52,True,0,3
0,0,16,1,50.7,0,0,8.0,29.6,90,19,0,0,0,0,0,0.0,3,52,False,0,3
0,0,15,0,17.7,1,0,3.6,18.0,90,12,0,0,0,0,0,0.0,2,51,True,0,3
0,0,11,1,17.2,0,0,3.7,19.6,90,16,0,0,0,0,0,0.0,3,51,False,0,3
0,0,20,0,31.6,2,0,5.0,18.4,90,14,0,0,0,0,0,0.0,2,51,True,0,3
0,0,18,1,31.3,0,0,4.9,17.2,77,4,0,0,0,0,0,0.0,3,51,False,0,3
0,0,15,0,9.6,1,0,2.2,10.6,79,7,0,0,0,0,0,2.0,2,50,True,0,3
0,0,13,1,12.0,0,0,3.4,14.4,63,8,0,0,0,0,0,8.0,2,50,True,1,3
0,0,9,0,4.9,3,0,1.5,10.2,90,17,0,0,0,0,0,0.0,1,50,False,1,3
0,0,17,1,3.0,0,0,1.8,15.0,90,9,0,0,0,0,0,0.0,3,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,49,False,0,3
0,0,7,1,1.8,0,0,0.4,2.2,90,13,0,0,0,0,0,0.0,2,49,True,1,3
0,0,16,0,5.5,1,0,1.9,13.4,90,3,0,0,0,0,0,0.0,2,48,False,0,3
0,0,14,0,8.8,1,0,3.9,23.2,74,11,0,0,0,0,0,7.0,2,48,True,0,3
0,0,15,0,9.2,1,0,2.8,17.6,90,18,0,0,0,0,0,1.0,2,48,False,0,3
0,0,16,1,22.6,0,0,5.1,27.4,90,7,0,0,0,0,0,1.0,3,48,False,0,3
0,0,18,1,6.8,0,0,4.2,27.8,90,16,0,0,0,0,0,7.0,3,48,True,0,3
0,0,23,0,40.6,1,0,6.4,23.2,90,15,0,0,0,0,0,0.0,1,47,True,1,3
0,0,11,0,12.9,2,0,2.7,10.6,90,1,0,0,0,0,0,3.0,2,47,False,0,3
0,0,16,0,18.1,4,0,3.3,15.0,90,2,0,0,0,0,0,0.0,2,47,False,0,3
0,0,15,1,19.9,0,0,4.2,14.0,69,10,0,0,0,0,0,8.0,3,47,True,0,3
0,0,12,0,17.3,6,0,2.7,8.4,90,13,0,0,0,0,0,1.0,1,47,False,1,3
0,0,19,1,5.8,0,0,3.0,24.2,90,17,0,0,0,0,0,0.0,3,46,True,0,3
0,3,34,0,40.1,1,1,9.2,44.4,67,9,0,0,0,0,0,7.0,9,46,False,1,3
0,0,13,0,8.9,1,0,2.3,13.8,71,20,0,0,0,0,0,0.0,2,46,True,0,3
0,0,19,0,18.6,2,0,5.3,27.6,73,8,0,0,0,0,0,7.0,2,46,False,0,3
0,0,10,0,4.2,1,0,1.2,7.8,63,5,0,0,0,0,0,0.0,1,46,False,1,3
0,0,22,1,34.9,0,0,6.3,28.2,90,3,0,0,0,0,0,0.0,3,46,True,0,3
0,0,11,1,2.6,0,0,1.4,11.4,90,19,0,0,0,0,0,0.0,3,46,True,0,3
0,0,8,0,4.4,2,0,2.0,16.0,90,12,0,0,0,0,0,0.0,2,46,False,0,3
0,0,15,0,28.5,2,0,5.9,14.6,90,4,0,0,0,0,0,16.0,2,46,True,0,3
0,0,12,0,3.4,1,0,1.7,11.6,90,14,0,0,0,0,0,2.0,2,46,False,0,3
