assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,5,0,13.5,3,0,5.0,4.2,90,11,0,0,0,0,0,32.0,2,55,True,0,4
0,0,8,0,4.5,1,0,4.7,12.4,90,20,0,0,0,0,0,30.0,2,55,False,0,4
0,2,30,0,23.8,1,1,10.0,38.8,90,5,0,0,0,0,0,37.0,9,55,False,0,4
0,0,10,1,3.2,0,0,4.4,15.6,73,19,0,0,0,0,0,25.0,3,55,True,0,4
0,0,11,0,15.2,4,0,6.1,16.8,90,10,0,0,0,0,0,29.0,2,55,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,55,True,0,4
0,0,21,0,0.8,1,1,4.4,36.2,29,18,0,0,0,0,0,7.0,6,54,False,0,4
1,0,16,0,15.3,0,0,4.4,25.0,29,7,0,0,0,0,0,4.0,4,54,True,0,4
0,0,9,1,4.3,0,0,1.6,7.4,87,17,0,0,0,0,0,4.0,3,54,True,0,4
0,0,-6,0,4.9,2,0,5.7,1.6,90,12,0,0,0,0,0,50.0,2,54,False,0,4
0,0,-2,0,15.5,2,0,8.6,6.4,90,15,0,0,0,0,0,64.0,1,54,True,1,4
0,0,-4,1,3.0,0,0,2.3,0.0,80,14,0,0,0,0,0,21.0,3,54,False,0,4
0,0,11,0,19.6,3,0,4.0,16.6,90,1,0,0,0,0,0,4.0,2,54,False,0,4
0,0,4,0,12.1,2,0,2.1,4.6,45,9,0,0,0,0,0,4.0,1,54,True,0,4
0,0,0,0,1.6,1,0,0.2,0.0,19,3,0,0,0,0,0,3.0,1,54,False,0,4
0,0,10,1,2.3,0,0,3.2,7.6,78,8,0,0,0,0,0,22.0,3,54,True,0,4
0,0,2,0,14.0,2,0,4.1,6.4,71,13,0,0,0,0,0,21.0,2,54,True,0,4
0,0,6,0,1.6,2,0,0.7,1.2,65,4,0,0,0,0,0,4.0,2,53,False,0,4
0,0,21,0,6.1,0,1,4.7,33.8,18,16,0,0,0,0,0,7.0,6,53,False,0,4
0,0,4,1,13.0,0,0,1.9,0.8,62,1,0,0,0,0,0,5.0,3,53,True,0,4
0,0,3,0,4.3,1,0,1.1,2.6,36,7,0,0,0,0,0,4.0,1,53,False,0,4
0,0,23,0,5.3,2,1,8.7,37.6,73,18,0,0,0,0,0,44.0,7,53,True,0,4
0,0,10,0,35.6,2,0,5.2,5.2,90,5,0,0,0,0,0,11.0,2,53,True,0,4
0,1,44,0,18.3,6,2,18.8,74.4,90,6,0,0,0,0,0,95.0,13,53,False,0,4
0,0,6,0,11.0,2,0,4.4,7.4,90,10,0,0,0,0,0,26.0,2,53,True,0,4
0,0,22,0,13.8,2,1,7.9,36.0,90,19,0,0,0,0,0,29.0,7,53,False,0,4
0,2,32,0,2.6,1,1,8.8,48.2,87,11,0,0,0,0,0,37.0,9,54,False,0,4
0,3,64,0,17.4,2,3,21.5,118.4,90,20,0,1,0,0,0,79.0,18,55,True,0,4
1,2,32,1,38.0,0,0,13.2,41.8,90,16,0,0,0,0,0,52.0,8,57,True,0,4
0,0,9,1,11.9,0,0,1.9,3.2,69,13,0,0,0,0,0,4.0,3,58,False,0,4
0,0,24,0,1.0,2,1,6.2,38.4,90,9,0,0,0,0,0,23.0,7,58,False,0,4
0,2,33,0,19.6,3,1,7.8,45.0,90,4,0,0,0,0,0,13.0,9,59,True,0,4
0,0,3,0,1.3,4,0,1.4,5.4,90,17,0,0,0,0,0,7.0,2,60,False,0,4
0,0,25,1,15.8,0,1,10.4,42.4,83,12,0,0,0,0,0,46.0,8,60,True,0,4
0,3,32,1,62.8,0,1,16.2,49.0,90,15,0,0,0,0,0,50.0,11,61,False,0,4
1,0,9,0,18.8,2,0,3.1,0.0,90,14,0,0,0,0,0,13.0,5,62,True,0,4
0,2,26,0,22.8,1,1,16.9,44.8,90,3,0,0,0,0,0,101.0,9,62,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,62,False,0,4
0,0,6,0,12.2,1,0,6.5,7.0,90,19,0,0,0,0,0,46.0,2,75,False,0,4
0,0,2,0,1.7,2,0,1.7,1.6,90,18,0,0,0,0,0,14.0,2,75,True,0,4
0,0,6,0,1.3,2,0,5.2,16.0,90,11,0,0,0,0,0,35.0,2,74,True,0,4
0,0,1,0,3.1,3,0,5.7,3.4,90,1,0,0,0,0,0,50.0,2,73,False,0,4
0,0,12,0,11.3,1,0,3.7,7.2,90,3,0,0,0,0,0,18.0,2,73,True,0,4
0,1,23,0,28.3,1,1,8.7,40.0,78,7,0,0,0,0,0,19.0,7,72,False,0,4
0,0,14,1,44.8,0,0,11.3,21.2,90,9,0,0,0,0,0,47.0,2,72,True,0,4
0,0,8,0,7.1,1,0,2.2,4.6,90,17,0,0,0,0,0,10.0,2,72,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,71,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,71,True,0,4
0,0,14,1,68.4,0,0,14.8,21.8,90,13,0,0,0,0,0,58.0,2,70,False,0,4
1,0,18,1,12.0,0,0,5.0,23.0,85,8,0,0,0,0,0,15.0,5,70,True,0,4
0,0,10,1,27.5,0,0,6.8,19.0,90,16,0,0,0,0,0,21.0,1,70,False,1,4
0,1,25,0,14.8,2,1,9.4,36.0,90,4,0,0,0,0,0,43.0,7,70,True,0,4
0,0,3,0,16.5,1,0,5.7,11.2,90,14,0,0,0,0,0,29.0,2,70,True,0,4
0,0,6,0,16.3,2,0,3.7,14.2,90,6,0,0,0,0,0,6.0,2,70,False,0,4
0,0,-1,0,8.6,1,0,4.1,4.0,90,12,0,0,0,0,0,28.0,2,70,False,0,4
0,0,3,0,1.4,2,0,0.1,0.0,30,10,0,0,0,0,0,0.0,1,70,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,70,False,0,4
1,0,8,0,22.6,1,0,10.8,21.0,64,20,0,0,0,0,0,64.0,5,70,True,0,4
1,0,19,0,26.1,0,0,5.5,23.2,38,7,0,0,0,0,0,6.0,4,70,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,70,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,70,True,0,4
0,0,3,0,0.8,0,0,2.3,3.6,5,20,0,0,0,0,0,19.0,1,70,False,0,4
0,0,1,0,1.1,0,0,0.1,0.0,19,5,0,0,0,0,0,0.0,1,70,False,0,4
0,1,20,1,28.2,0,1,11.0,46.2,77,15,0,0,0,0,0,36.0,6,70,True,1,4
0,0,3,0,2.5,2,0,0.8,3.4,32,8,0,0,0,0,0,2.0,1,70,False,0,4
0,0,8,0,20.5,2,0,3.4,9.4,90,13,0,0,0,0,0,4.0,2,70,True,0,4
0,2,29,1,31.3,0,1,11.8,47.2,90,9,0,0,0,0,0,39.0,8,70,False,0,4
0,0,2,0,0.8,2,0,0.0,0.0,23,17,0,0,0,0,0,0.0,1,70,True,0,4
