assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,0.8,0,0,0.4,0.0,9,18,0,0,0,0,0,3.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,60,True,0,3
0,0,3,0,0.1,0,0,0.0,0.0,14,2,0,0,0,0,0,0.0,1,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,True,0,3
0,0,5,0,13.1,2,0,3.2,1.4,75,1,0,0,0,0,0,17.0,2,59,False,0,3
0,0,2,0,12.6,1,0,4.7,6.4,17,7,0,0,0,0,0,28.0,1,59,True,0,3
0,0,24,1,1.1,0,1,4.8,35.6,69,20,0,0,0,0,0,11.0,8,59,False,0,3
0,0,9,0,18.6,1,0,4.6,7.4,86,14,0,0,0,0,0,20.0,2,59,True,0,3
0,0,7,1,1.2,0,0,0.3,2.2,65,16,0,0,0,0,0,0.0,3,59,False,0,3
0,1,27,0,16.1,2,1,9.6,36.2,73,15,0,0,0,0,0,44.0,8,59,True,0,3
0,0,4,0,2.3,0,0,0.4,1.6,15,12,0,0,0,0,0,0.0,1,59,False,0,3
0,0,3,1,3.4,0,0,3.6,5.6,70,6,0,0,0,0,0,27.0,2,59,True,1,3
0,0,4,0,1.3,2,0,2.2,2.4,20,10,0,0,0,0,0,18.0,1,59,True,0,3
0,0,4,0,0.6,0,0,1.5,7.2,27,8,0,0,0,0,0,7.0,1,59,False,0,3
0,0,5,0,1.5,1,0,1.2,4.0,61,17,0,0,0,0,0,6.0,2,59,False,0,3
0,0,3,0,0.6,0,0,0.1,0.2,7,4,0,0,0,0,0,0.0,1,59,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,18,0,0,0,0,0,0.0,1,59,True,0,3
0,0,2,0,0.8,2,0,1.1,7.6,90,5,0,0,0,0,0,3.0,2,59,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,59,False,0,3
2,0,27,0,23.3,2,0,12.3,49.8,90,2,0,0,0,0,0,50.0,8,59,True,0,3
0,0,1,0,2.9,1,0,0.8,0.0,45,19,0,0,0,0,0,9.0,1,59,False,0,3
0,0,3,0,0.3,1,0,1.8,0.0,7,5,0,0,0,0,0,18.0,1,59,True,0,3
0,0,6,0,14.2,1,0,3.0,6.0,90,14,0,0,0,0,0,10.0,2,59,False,0,3
0,2,30,0,28.6,1,1,9.4,37.0,90,20,0,0,0,0,0,28.0,8,59,True,1,3
0,0,24,0,23.5,1,1,12.3,48.6,90,15,0,0,0,0,0,51.0,7,59,False,0,3
1,1,25,0,36.1,1,0,8.0,23.2,90,16,0,0,0,0,0,21.0,6,59,True,0,3
0,0,7,0,27.5,1,0,6.8,8.2,90,1,0,0,0,0,0,32.0,2,59,True,0,3
0,0,8,0,1.8,2,0,1.2,5.8,90,7,0,0,0,0,0,4.0,2,59,False,0,3
0,0,8,0,13.0,2,0,7.2,6.6,90,9,0,0,0,0,0,52.0,2,59,True,0,3
0,0,5,0,18.4,1,0,5.6,11.6,90,8,0,0,0,0,0,26.0,2,59,True,0,3
