assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,13.0,1,0,2.7,12.8,90,13,0,0,0,0,0,1.0,2,45,False,0,2
0,0,4,0,11.3,2,0,5.3,16.2,89,4,0,0,0,0,0,25.0,0,45,True,1,2
0,0,6,0,16.8,3,0,3.7,7.8,90,1,0,0,0,0,0,12.0,0,45,True,1,2
0,0,18,0,6.5,2,1,6.6,50.2,90,20,0,0,0,0,0,9.0,7,45,False,0,2
0,0,11,0,9.8,1,0,3.6,18.0,90,11,0,0,0,0,0,8.0,1,45,True,1,2
0,0,7,0,2.3,2,0,4.1,19.6,90,3,0,0,0,0,0,19.0,0,45,False,1,2
1,2,29,0,35.6,2,0,7.2,35.2,90,2,0,0,0,0,0,1.0,6,45,True,0,2
0,3,46,1,19.2,0,1,8.4,58.2,90,12,0,0,0,0,0,7.0,15,45,False,0,2
0,0,27,1,12.0,0,0,3.1,19.2,90,16,0,0,0,0,0,0.0,6,46,False,0,2
0,0,25,1,26.8,0,0,4.2,14.8,90,7,0,0,0,0,0,0.0,6,47,True,0,2
0,0,9,0,19.3,6,0,3.5,15.8,90,9,0,0,0,0,0,0.0,-2,48,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,48,True,0,2
0,0,8,0,14.8,1,0,4.1,20.4,55,14,0,0,0,0,0,6.0,0,48,True,1,2
0,0,10,0,13.2,3,0,2.6,9.6,90,19,0,0,0,0,0,3.0,1,48,False,0,2
2,1,35,0,30.2,2,0,8.6,53.4,90,6,0,0,0,0,0,2.0,7,48,True,1,2
0,0,11,0,15.8,2,0,2.7,11.0,90,10,0,0,0,0,0,0.0,1,48,False,0,2
0,0,16,0,31.3,1,0,7.0,19.8,90,15,0,0,0,0,0,19.0,2,48,False,0,2
0,0,7,0,5.4,1,0,2.0,14.4,90,5,0,0,0,0,0,0.0,1,48,True,1,2
0,0,7,0,11.6,4,0,2.3,11.8,67,17,0,0,0,0,0,0.0,-1,48,True,1,2
0,0,9,0,5.8,2,0,1.6,5.0,90,14,0,0,0,0,0,5.0,1,48,False,0,2
0,0,20,1,2.4,0,0,0.7,5.0,88,12,0,0,0,0,0,0.0,6,48,True,0,2
0,0,7,0,0.8,2,0,2.9,13.4,90,2,0,0,0,0,0,15.0,0,48,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,47,False,0,2
1,0,21,0,32.1,1,0,7.4,32.0,90,3,0,0,0,0,0,10.0,4,47,True,1,2
0,0,10,0,2.4,2,0,1.1,5.6,90,11,0,0,0,0,0,3.0,1,47,False,0,2
0,0,12,0,25.3,1,0,5.7,14.0,90,20,0,0,0,0,0,18.0,1,47,True,1,2
0,0,19,0,42.5,4,0,6.9,24.2,90,13,0,0,0,0,0,2.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,47,False,0,2
0,1,33,1,17.3,0,0,4.7,19.0,90,15,0,0,0,0,0,11.0,7,46,True,0,2
0,0,29,1,1.6,0,0,3.8,28.4,90,19,0,0,0,0,0,8.0,6,46,True,0,2
0,0,16,0,26.5,4,0,6.6,30.2,90,17,0,0,0,0,0,9.0,0,46,False,0,2
0,2,29,1,19.8,0,0,4.2,14.2,90,16,0,0,0,0,0,8.0,8,46,True,0,2
0,0,22,0,54.0,2,0,8.4,22.4,86,7,0,0,0,0,0,8.0,1,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,46,False,0,2
