assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,15,0,8.3,2,0,1.8,8.6,84,8,0,0,0,0,0,1.0,2,55,True,0,3
0,0,11,0,28.9,2,0,5.3,22.8,90,11,0,0,0,0,0,1.0,2,55,False,0,3
1,1,26,0,25.8,1,0,5.5,29.2,90,13,0,0,0,0,0,0.0,6,54,True,0,3
0,0,26,1,42.3,0,0,7.4,29.2,90,19,0,0,0,0,0,2.0,3,54,False,0,3
0,0,13,1,21.3,0,0,3.3,10.2,90,4,0,0,0,0,0,1.0,3,54,True,0,3
0,3,32,0,31.2,1,1,8.1,43.2,79,14,0,0,0,0,0,7.0,10,54,False,0,3
0,0,11,1,45.8,0,0,7.8,23.2,90,16,0,0,0,0,0,9.0,3,54,True,0,3
0,0,9,1,5.8,0,0,1.7,11.4,90,7,0,0,0,0,0,0.0,2,55,False,1,3
0,0,12,0,47.8,2,0,7.1,22.6,90,18,0,0,0,0,0,1.0,2,55,True,0,3
0,0,19,0,72.3,1,0,10.8,28.8,90,3,0,0,0,0,0,7.0,2,55,False,0,3
0,0,16,0,26.1,3,0,5.1,16.8,61,17,0,0,0,0,0,8.0,2,55,True,0,3
0,0,10,0,26.3,1,0,4.6,15.4,90,1,0,0,0,0,0,4.0,2,55,False,0,3
0,0,1,0,25.1,1,0,3.0,4.4,45,10,0,0,0,0,0,0.0,1,54,True,0,3
0,0,15,0,26.3,2,0,4.2,15.0,90,5,0,0,0,0,0,1.0,2,54,False,0,3
0,0,10,0,15.4,1,0,3.3,17.4,90,6,0,0,0,0,0,0.0,1,54,True,1,3
0,0,9,0,25.6,0,0,3.5,9.6,14,15,0,0,0,0,0,0.0,1,53,False,0,3
0,0,12,1,14.9,0,0,2.9,14.4,90,2,0,0,0,0,0,0.0,3,53,True,0,3
0,0,8,0,13.9,1,0,2.4,10.2,62,12,0,0,0,0,0,0.0,2,52,True,0,3
0,2,22,0,28.3,1,0,6.1,32.6,90,9,0,0,0,0,0,0.0,4,52,False,0,3
1,0,16,0,16.0,0,0,3.4,18.4,22,17,0,0,0,0,0,0.0,4,52,False,0,3
0,0,12,0,2.9,2,0,2.2,19.0,90,7,0,0,0,0,0,0.0,2,52,True,0,3
0,0,10,0,0.3,2,0,1.5,14.2,72,13,0,0,0,0,0,0.0,2,51,False,0,3
2,2,34,0,32.3,2,0,8.1,44.4,80,11,0,0,0,0,0,4.0,10,51,True,0,3
2,2,39,1,67.3,0,0,12.5,57.2,88,19,0,0,0,0,0,0.0,11,51,True,0,3
1,1,27,0,22.5,1,0,6.0,37.4,90,8,0,0,0,0,0,0.0,6,52,False,0,3
0,0,12,0,56.9,1,0,9.6,26.6,90,15,0,0,0,0,0,12.0,2,53,True,0,3
0,0,8,0,53.9,1,0,6.5,11.2,90,2,0,0,0,0,0,0.0,2,54,False,0,3
0,0,16,1,50.8,0,0,6.6,13.6,65,10,0,0,0,0,0,2.0,3,54,False,0,3
0,0,5,0,15.9,0,0,2.2,5.8,26,5,0,0,0,0,0,0.0,1,54,True,0,3
0,0,12,0,11.1,1,0,3.5,24.2,90,6,0,0,0,0,0,0.0,2,54,False,0,3
0,0,17,0,44.3,2,0,6.3,16.4,90,4,0,0,0,0,0,2.0,2,53,False,0,3
0,0,18,0,31.9,1,0,5.6,23.6,90,14,0,0,0,0,0,0.0,2,53,True,0,3
1,0,23,0,58.3,3,0,8.7,26.6,90,16,0,0,0,0,0,2.0,4,52,False,1,3
0,0,25,1,105.2,0,0,14.8,33.2,90,3,0,0,0,0,0,10.0,3,52,True,0,3
0,0,21,0,31.9,1,0,6.0,27.0,89,1,0,0,0,0,0,1.0,2,52,True,0,3
0,0,14,0,22.1,1,0,4.6,15.4,90,18,0,0,0,0,0,8.0,1,52,False,1,3
0,2,29,1,87.8,0,0,13.6,28.8,90,9,0,0,0,0,0,19.0,5,52,True,0,3
0,0,13,0,3.0,2,0,0.8,4.6,83,12,0,0,0,0,0,0.0,2,51,False,0,3
0,0,11,1,29.8,0,0,5.2,21.8,90,9,0,0,0,0,0,0.0,3,55,False,0,3
1,3,27,0,38.8,1,0,7.5,36.0,90,12,0,0,0,0,0,0.0,8,55,True,0,3
0,0,11,0,36.2,1,0,4.9,12.4,58,5,0,0,0,0,0,0.0,1,55,True,0,3
0,0,7,0,0.9,1,0,1.5,14.4,31,8,0,0,0,0,0,0.0,1,55,False,0,3
0,0,24,0,58.0,5,0,8.8,29.8,90,6,0,0,0,0,0,0.0,2,55,True,0,3
0,0,8,0,17.3,1,0,3.7,19.2,90,7,0,0,0,0,0,0.0,2,55,False,0,3
0,0,15,1,7.3,0,0,1.5,8.0,90,18,0,0,0,0,0,0.0,3,54,True,0,3
0,0,12,1,16.0,0,0,3.2,15.6,90,11,0,0,0,0,0,0.0,2,54,False,1,3
0,0,9,0,4.6,1,0,1.5,9.0,90,16,0,0,0,0,0,1.0,2,53,True,0,3
0,0,11,0,31.4,1,0,6.2,23.8,90,13,0,0,0,0,0,7.0,2,53,False,0,3
1,1,26,0,56.1,1,0,12.3,40.2,90,1,0,0,0,0,0,27.0,6,53,False,0,3
1,0,19,0,30.3,1,0,7.0,35.2,90,2,0,0,0,0,0,4.0,4,53,True,1,3
0,3,35,0,43.8,1,1,10.0,48.6,90,3,0,0,0,0,0,8.0,10,53,False,0,3
0,0,18,0,48.4,1,0,7.0,20.4,90,15,0,0,0,0,0,1.0,2,53,True,0,3
1,2,31,1,54.6,0,0,8.3,27.2,90,19,0,0,0,0,0,1.0,8,53,True,0,3
0,0,15,0,22.8,2,0,3.3,10.4,90,4,0,0,0,0,0,0.0,2,54,False,0,3
0,0,23,0,68.8,2,0,10.0,23.0,90,17,0,0,0,0,0,8.0,1,54,True,1,3
1,0,22,0,30.0,1,0,7.1,22.6,90,14,0,0,0,0,0,18.0,4,54,False,1,3
0,0,24,0,76.2,2,0,10.6,22.4,90,11,0,0,0,0,0,7.0,2,54,True,0,3
0,0,7,0,20.9,1,0,4.9,20.2,90,10,0,0,0,0,0,8.0,2,54,False,0,3
