assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,55,True,0,2
0,0,2,0,0.0,0,0,0.0,0.2,1,3,0,0,0,0,0,0.0,1,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,54,False,0,2
0,0,10,0,3.1,0,0,0.9,5.6,36,18,0,0,0,0,0,0.0,1,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,53,False,0,2
0,0,18,0,29.8,2,0,7.1,24.2,90,20,0,0,0,0,0,17.0,0,53,True,1,2
0,3,35,1,55.2,0,0,11.4,30.2,90,7,0,0,0,0,0,29.0,9,53,False,0,2
0,0,29,1,6.0,0,0,3.3,18.0,90,2,0,0,0,0,0,9.0,6,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,False,0,2
0,0,11,0,2.8,1,0,2.1,11.8,90,6,0,0,0,0,0,6.0,2,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,53,True,0,2
0,0,15,0,28.3,1,0,3.9,10.4,90,8,0,0,0,0,0,0.0,2,52,True,0,2
0,0,23,0,16.3,1,0,5.6,25.6,90,2,0,0,0,0,0,14.0,2,52,False,0,2
0,0,15,0,15.4,2,0,3.6,17.0,90,7,0,0,0,0,0,4.0,1,52,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,52,False,0,2
0,0,4,0,1.6,1,0,0.5,1.6,26,17,0,0,0,0,0,2.0,1,52,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,52,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,52,False,0,2
0,0,18,0,15.0,2,0,3.9,24.0,90,12,0,0,0,0,0,0.0,0,52,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,51,True,0,2
0,0,22,1,5.9,0,0,2.3,14.2,90,5,0,0,0,0,0,3.0,5,51,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,51,False,0,2
0,0,3,0,0.1,0,0,0.6,5.6,17,10,0,0,0,0,0,0.0,1,51,True,0,2
0,0,28,0,41.8,1,0,8.7,35.6,90,16,0,0,0,0,0,10.0,2,51,False,0,2
0,0,9,0,12.9,0,0,2.3,5.0,45,13,0,0,0,0,0,5.0,1,51,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,51,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,51,True,0,2
0,0,33,1,29.8,0,0,8.5,27.6,90,18,0,0,0,0,0,28.0,6,51,False,0,2
0,0,24,1,23.6,0,0,4.6,8.4,90,14,0,0,0,0,0,14.0,5,51,True,1,2
