assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,0,11,0,0,0,0,1,0,0,True,0
0,0,0,0,0,0,20,0,0,0,0,2,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,3,0,0,False,0
0,0,1,0,0,73,19,0,0,0,0,4,0,3,True,0
0,0,0,4,0,73,10,0,0,0,0,5,0,2,False,0
0,3,1,0,1,90,6,0,0,0,0,6,0,11,True,0
1,0,0,2,0,90,18,0,0,0,0,7,0,4,False,1
2,3,0,1,2,90,7,0,0,0,0,8,0,21,True,0
0,0,0,0,0,0,17,0,0,0,0,9,0,0,True,0
0,0,0,0,0,0,12,0,0,0,0,10,0,0,False,0
0,0,0,2,0,81,15,0,0,0,0,11,0,2,True,0
1,0,1,0,0,90,14,0,0,0,0,12,0,6,False,0
0,0,0,2,0,70,1,0,0,0,0,13,0,2,False,0
0,0,0,2,0,54,9,0,0,0,0,14,0,1,True,0
0,0,0,0,0,0,3,0,0,0,0,15,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,16,0,0,True,0
0,0,0,0,0,0,13,0,0,0,0,17,0,0,True,0
0,0,0,1,0,25,4,0,0,0,0,18,0,1,False,0
1,0,1,0,0,72,16,0,0,0,0,19,0,6,False,0
1,0,0,3,0,90,1,0,0,0,0,20,0,5,True,0
0,0,0,3,1,68,7,0,0,0,0,21,0,7,False,0
0,0,0,2,0,73,18,0,0,0,0,22,0,2,True,0
0,0,0,1,0,60,5,0,0,0,0,23,0,2,True,0
0,0,0,0,0,0,6,0,0,0,0,24,0,0,False,0
0,0,0,0,0,0,10,0,0,0,0,25,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,26,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,27,0,0,False,0
0,0,0,0,0,0,20,0,0,0,0,28,0,0,True,0
0,0,0,0,0,0,16,0,0,0,0,29,0,0,True,0
0,0,0,0,0,0,13,0,0,0,0,30,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,31,0,0,False,0
0,0,0,0,0,0,4,0,0,0,0,32,0,0,True,0
0,0,0,3,0,68,17,0,0,0,0,33,0,2,False,0
0,0,0,0,0,19,12,0,0,0,0,34,0,1,True,0
0,0,0,0,0,34,15,0,0,0,0,35,0,1,False,0
0,2,0,1,1,71,14,0,0,0,0,36,0,9,True,0
0,3,0,1,1,86,3,0,0,0,0,37,0,10,True,0
0,2,0,1,1,90,8,0,0,0,0,38,0,9,False,00,0,0,0,0,0,19,0,0,0,0,1,0,0,False,0
0,0,0,0,0,0,18,0,0,0,0,2,0,0,True,0
0,0,0,0,0,0,11,0,0,0,0,3,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,5,0,0,True,0
0,0,0,2,0,90,7,0,0,0,0,6,0,1,False,1
0,0,1,0,0,87,9,0,0,0,0,7,0,3,True,0
0,0,0,1,0,74,17,0,0,0,0,8,0,2,False,0
1,3,0,1,1,90,15,0,0,0,0,9,0,13,False,0
0,0,0,1,0,62,5,0,0,0,0,10,0,2,True,0
0,0,0,0,0,0,13,0,0,0,0,11,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,12,0,0,True,0
0,0,0,0,0,0,16,0,0,0,0,13,0,0,False,0
0,0,0,0,0,0,4,0,0,0,0,14,0,0,True,0
0,0,0,1,0,68,14,0,0,0,0,15,0,2,True,0
0,0,0,2,0,64,6,0,0,0,0,16,0,2,False,0
0,0,0,1,0,70,12,0,0,0,0,17,0,2,False,0
0,0,0,2,0,59,10,0,0,0,0,18,0,1,True,0
0,0,0,0,0,11,11,0,0,0,0,19,0,1,False,0
0,0,0,0,0,0,20,0,0,0,0,20,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,21,0,0,True,0
0,0,0,0,0,0,3,0,0,0,0,22,0,0,False,0
0,0,0,0,0,0,1,0,0,0,0,23,0,0,True,0
1,0,0,1,0,28,20,0,0,0,0,24,0,4,False,0
1,1,1,0,1,70,5,0,0,0,0,25,0,12,False,0
0,0,0,1,0,58,15,0,0,0,0,26,0,1,True,0
0,0,0,2,1,64,8,0,0,0,0,27,0,7,False,0
0,0,0,2,0,90,13,0,0,0,0,28,0,2,True,0
0,0,0,1,0,90,9,0,0,0,0,29,0,2,False,0
0,0,0,2,1,75,17,0,0,0,0,30,0,7,True,0
0,3,0,1,1,90,19,0,0,0,0,31,0,10,True,0
0,0,0,1,0,45,18,0,0,0,0,32,0,1,False,0
0,0,0,0,0,0,6,0,0,0,0,33,0,0,True,0
0,0,0,0,0,0,10,0,0,0,0,34,0,0,False,0
0,0,0,0,0,0,12,0,0,0,0,34,0,0,True,0
0,0,0,0,0,0,14,0,0,0,0,36,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,38,0,0,False,00,0,0,0,0,0,5,0,0,0,0,1,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,2,0,0,False,0
0,0,0,0,0,0,8,0,0,0,0,3,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,5,0,0,True,0
0,0,0,2,0,22,4,0,0,0,0,6,0,1,False,0
0,3,0,0,1,6,7,0,0,0,0,7,0,9,True,0
0,0,0,0,0,24,18,0,0,0,0,8,0,1,False,0
