assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,60,False,0,4
0,2,27,0,1.1,1,1,7.1,33.0,8,16,0,0,0,0,0,37.0,7,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,60,True,0,4
0,0,2,0,0.3,1,0,2.0,0.2,21,7,0,0,0,0,0,19.0,1,60,False,0,4
0,0,2,1,8.3,0,0,3.7,1.0,74,9,0,0,0,0,0,28.0,2,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,60,True,0,4
1,0,14,0,10.8,3,0,2.9,16.2,45,6,0,0,0,0,0,2.0,4,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,60,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,60,True,0,4
0,0,1,0,0.3,0,0,0.0,0.0,17,11,0,0,0,0,0,1.0,1,60,False,0,4
0,0,1,0,3.8,3,0,0.1,0.0,56,10,0,0,0,0,0,2.0,1,60,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,False,0,4
0,0,3,0,0.0,1,0,0.0,0.0,1,14,0,0,0,0,0,0.0,1,55,True,0,4
0,0,3,0,0.2,0,0,0.1,0.4,15,12,0,0,0,0,0,0.0,1,55,False,0,4
0,0,1,0,1.6,0,0,2.2,3.0,16,9,0,0,0,0,0,17.0,1,54,True,0,4
0,0,-3,0,10.3,0,0,4.8,3.0,14,16,0,0,0,0,0,35.0,0,54,False,1,4
0,0,2,0,1.3,0,0,0.6,0.2,11,17,0,0,0,0,0,4.0,1,54,True,0,4
0,0,1,0,0.6,2,0,0.0,0.0,72,13,0,0,0,0,0,4.0,2,54,False,0,4
0,0,2,0,0.1,0,0,0.0,0.0,4,19,0,0,0,0,0,0.0,1,54,True,0,4
0,0,8,1,23.5,0,0,4.8,2.4,74,15,0,0,0,0,0,22.0,2,53,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,53,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,53,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,53,False,0,4
0,0,7,0,24.6,0,0,3.5,8.0,1,11,0,0,0,0,0,2.0,1,53,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,53,True,0,4
0,0,-3,0,12.0,0,0,2.0,0.0,27,4,0,0,0,0,0,10.0,1,53,False,0,4
0,0,3,0,0.1,0,0,0.0,0.0,7,6,0,0,0,0,0,0.0,1,53,True,0,4
0,0,5,0,1.0,1,0,1.9,4.8,69,2,0,0,0,0,0,13.0,2,53,False,0,4
0,3,37,0,13.3,1,1,8.3,40.6,85,1,0,0,0,0,0,29.0,9,53,True,0,4
0,3,34,1,17.0,0,1,11.4,40.2,90,8,0,0,0,0,0,57.0,9,53,True,0,4
0,0,6,0,6.8,2,0,3.3,7.8,90,19,0,0,0,0,0,18.0,2,53,False,0,4
0,0,3,0,12.5,1,0,4.0,4.0,90,12,0,0,0,0,0,23.0,2,53,True,0,4
0,0,5,0,15.9,2,0,3.6,8.8,90,14,0,0,0,0,0,11.0,2,53,False,0,4
0,0,4,0,4.3,2,0,3.6,1.2,71,9,0,0,0,0,0,30.0,2,53,False,0,4
0,0,4,1,14.2,0,0,7.4,14.6,90,18,0,0,0,0,0,45.0,2,53,True,0,4
0,0,9,0,11.2,2,0,2.1,5.6,65,4,0,0,0,0,0,4.0,2,53,True,0,4
0,0,3,0,0.1,0,0,0.8,0.0,23,11,0,0,0,0,0,8.0,1,53,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,1,7,0,0,0,0,0,0.0,1,53,False,0,4
0,0,3,0,1.1,0,0,1.1,3.2,16,16,0,0,0,0,0,7.0,1,53,True,0,4
