assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,14,0,0.0,2,0,2.5,24.6,90,7,0,0,0,0,3,0.0,2,50,False,0,1
0,1,30,1,0.0,0,0,2.6,26.4,90,1,0,0,0,0,4,0.0,8,50,True,0,1
0,0,10,0,0.0,0,0,1.7,16.8,56,16,0,0,0,0,2,0.0,1,50,True,0,1
0,0,22,0,0.0,4,0,4.4,43.6,90,9,0,0,0,0,7,0.0,2,50,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,50,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,50,False,0,1
0,2,31,1,0.0,0,0,3.8,38.0,90,13,0,0,0,0,5,0.0,9,50,True,0,1
0,0,18,0,0.0,3,0,1.8,18.4,90,4,0,0,0,0,4,0.0,2,50,False,0,1
0,0,18,0,0.0,1,0,3.5,34.6,90,5,0,0,0,0,5,0.0,3,50,True,0,1
0,0,21,0,0.0,1,0,1.9,18.8,90,17,0,0,0,0,5,0.0,3,50,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,50,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,50,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,49,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,49,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,False,0,1
0,0,19,0,0.0,2,0,3.5,34.8,90,14,0,0,0,0,5,0.0,2,49,False,0,1
0,0,12,0,0.0,2,0,0.7,6.6,90,6,0,0,0,0,1,0.0,1,49,True,0,1
0,2,29,1,0.0,0,0,3.0,30.0,90,20,0,0,0,0,5,0.0,8,49,True,1,1
0,0,23,1,0.0,0,0,0.6,5.8,90,12,0,0,0,0,1,0.0,6,49,False,0,1
0,0,8,0,0.0,3,0,0.2,2.0,90,4,0,0,0,0,0,0.0,1,49,True,0,1
0,0,16,0,0.0,3,0,2.6,26.0,90,13,0,0,0,0,4,0.0,2,49,False,0,1
0,0,12,0,0.0,1,0,1.7,16.6,90,3,0,0,0,0,2,0.0,2,49,False,0,1
0,0,21,0,0.0,3,0,4.5,45.2,90,11,0,0,0,0,6,0.0,3,49,True,0,1
0,0,12,0,0.0,2,0,1.3,13.4,90,16,0,0,0,0,2,0.0,1,49,False,0,1
0,0,21,0,0.0,1,0,4.2,41.6,90,9,0,0,0,0,6,0.0,4,49,True,0,1
0,0,13,0,0.0,1,0,2.2,22.0,90,7,0,0,0,0,3,0.0,3,49,True,0,1
0,0,18,0,0.0,2,0,2.9,29.0,90,20,0,0,0,0,4,0.0,2,49,False,0,1
0,0,26,1,0.0,0,0,1.9,19.0,90,14,0,0,0,0,2,0.0,6,49,True,0,1
0,0,28,1,0.0,0,0,3.0,30.0,90,15,0,0,0,0,4,0.0,7,49,True,0,1
0,0,15,0,0.0,4,0,1.6,16.4,90,6,0,0,0,0,3,0.0,1,49,False,0,1
0,0,12,0,0.0,2,0,1.7,17.4,90,5,0,0,0,0,2,0.0,1,49,False,0,1
0,0,17,0,0.0,1,0,2.9,29.2,90,1,0,0,0,0,5,0.0,3,49,False,0,1
0,2,30,1,0.0,0,0,3.0,30.2,90,19,0,0,0,0,4,0.0,9,49,False,0,1
0,3,36,1,0.0,0,0,4.3,42.8,90,18,0,0,0,0,7,0.0,11,49,True,0,1
0,0,17,0,0.0,2,0,2.4,24.4,90,10,0,0,0,0,3,0.0,2,49,False,0,1
0,0,22,0,0.0,6,0,4.0,39.8,90,17,0,0,0,0,6,0.0,1,49,True,0,1
0,0,14,0,0.0,1,0,1.4,14.0,90,2,0,0,0,0,3,0.0,3,49,True,0,1
