assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,23,1,0.0,0,0,0.9,9.2,90,10,0,0,0,0,1,0.0,6,55,False,0,1
0,0,17,0,0.0,2,0,2.8,28.2,90,1,0,0,0,0,4,0.0,2,55,True,0,1
0,0,9,0,0.0,1,0,0.7,6.6,90,15,0,0,0,0,1,0.0,2,55,False,0,1
0,0,21,1,0.0,0,0,1.2,12.2,90,2,0,0,0,0,1,0.0,6,55,True,0,1
0,0,10,0,0.1,1,0,1.3,12.4,90,5,0,0,0,0,1,0.0,2,55,True,0,1
0,0,21,1,0.0,0,0,1.2,12.2,90,19,0,0,0,0,1,0.0,6,55,False,0,1
0,0,19,0,0.0,1,0,2.2,21.6,90,12,0,0,0,0,3,0.0,3,55,True,0,1
0,1,36,1,0.0,0,0,3.3,33.4,90,16,0,0,0,0,6,0.0,9,55,False,0,1
0,0,13,0,0.0,2,0,2.0,20.4,90,14,0,0,0,0,2,0.0,1,55,True,0,1
0,0,25,1,0.0,0,0,1.4,13.8,90,4,0,0,0,0,1,0.0,6,55,False,0,1
0,0,11,0,0.0,1,0,1.3,13.0,90,7,0,0,0,0,1,0.0,2,55,True,0,1
0,0,21,1,0.0,0,0,1.0,10.4,90,8,0,0,0,0,1,0.0,6,55,True,0,1
0,0,20,0,0.0,3,0,4.8,48.4,90,17,0,0,0,0,6,0.0,3,55,False,0,1
0,2,33,1,0.0,0,0,3.1,31.4,90,9,0,0,0,0,4,0.0,9,55,True,0,1
0,0,13,0,0.0,2,0,0.5,5.4,90,20,0,0,0,0,0,0.0,1,55,False,0,1
0,0,26,1,0.0,0,0,2.4,24.2,90,13,0,0,0,0,4,0.0,7,55,True,0,1
0,0,13,0,0.0,1,0,0.8,8.0,90,3,0,0,0,0,1,0.0,1,56,False,1,1
0,0,13,0,0.0,1,0,1.0,10.4,90,11,0,0,0,0,2,0.0,2,56,True,0,1
0,0,11,0,0.0,1,0,1.2,11.6,90,18,0,0,0,0,1,0.0,2,56,False,0,1
0,0,19,1,0.0,0,0,0.3,3.4,90,7,0,0,0,0,0,0.0,6,56,False,0,1
0,1,29,1,0.0,0,0,1.4,14.4,90,16,0,0,0,0,2,0.0,7,56,True,0,1
0,0,11,0,0.0,1,0,0.7,7.4,90,15,0,0,0,0,1,0.0,2,56,True,0,1
0,0,18,0,0.0,2,0,2.6,25.8,90,1,0,0,0,0,3,0.0,2,56,False,0,1
0,0,20,0,0.0,4,0,2.5,24.6,90,2,0,0,0,0,3,0.0,1,56,False,0,1
0,0,24,1,0.0,0,0,1.7,17.4,90,10,0,0,0,0,2,0.0,6,56,True,0,1
0,0,17,0,0.0,6,0,2.2,21.6,90,13,0,0,0,0,3,0.0,0,56,False,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,55,True,0,1
0,0,22,0,0.0,1,0,3.0,29.6,90,9,0,0,0,0,4,0.0,3,55,False,0,1
0,0,7,0,0.0,1,0,0.5,4.8,90,20,0,0,0,0,0,0.0,2,54,True,0,1
0,3,35,0,0.0,2,0,6.3,63.2,90,8,0,0,1,0,6,0.0,11,54,False,0,1
0,0,13,0,0.0,1,0,1.3,12.6,90,5,0,0,0,0,2,0.0,2,54,False,0,1
0,0,21,1,0.0,0,0,0.7,6.8,90,3,0,0,0,0,1,0.0,6,54,True,0,1
0,0,21,1,0.0,0,0,1.5,15.0,90,19,0,0,0,0,2,0.0,5,54,True,1,1
0,0,21,0,0.0,2,0,4.4,43.6,90,12,0,0,0,0,5,0.0,2,54,False,0,1
0,0,11,0,0.0,2,0,1.3,12.8,90,4,0,0,0,0,1,0.0,1,54,True,0,1
0,0,15,0,0.0,1,0,2.2,22.4,90,14,0,0,0,0,3,0.0,3,54,False,0,1
0,0,26,1,0.0,0,0,2.3,22.8,90,18,0,0,0,0,3,0.0,7,54,True,0,1
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,54,False,0,1
0,0,9,0,0.0,4,0,0.7,7.0,90,12,0,0,0,0,1,0.0,0,55,False,0,1
0,0,18,0,0.0,1,0,2.3,23.0,90,9,0,0,0,0,2,0.0,2,55,True,0,1
