assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,54,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,54,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,53,False,0,2
0,0,7,0,0.3,1,0,0.7,6.4,3,1,0,0,0,0,0,0.0,1,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,53,False,0,2
0,0,3,0,0.1,0,0,0.0,0.2,6,16,0,0,0,0,0,0.0,1,53,True,0,2
0,0,3,0,0.0,1,0,0.2,2.2,15,20,0,0,0,0,0,0.0,1,53,False,0,2
0,0,3,0,0.0,0,0,0.0,0.2,3,14,0,0,0,0,0,0.0,1,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,53,True,0,2
0,0,6,0,0.2,1,0,0.9,8.4,45,10,0,0,0,0,0,0.0,1,53,True,0,2
0,0,3,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,0.0,1,53,False,0,2
0,0,8,0,1.0,2,0,0.8,6.6,82,11,0,0,0,0,0,0.0,1,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,53,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,53,True,0,2
0,0,3,0,0.1,0,0,0.0,0.2,5,19,0,0,0,0,0,0.0,1,53,False,0,2
1,3,33,0,11.8,3,0,5.2,36.4,90,18,0,0,0,0,0,4.0,7,53,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,53,True,0,2
0,0,11,0,1.7,1,0,2.5,23.0,90,7,0,0,0,0,0,0.0,2,55,False,0,2
0,1,29,1,0.5,0,0,2.1,20.4,90,1,0,0,0,0,0,0.0,7,55,True,0,2
0,0,17,0,3.6,1,0,3.8,20.4,90,19,0,0,0,0,0,14.0,2,55,False,0,2
0,0,12,0,0.8,2,0,3.2,31.4,90,12,0,0,0,0,0,0.0,1,55,True,0,2
0,0,19,0,1.4,2,0,2.9,26.0,90,13,0,0,0,0,0,2.0,1,55,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,True,0,2
0,0,16,0,0.0,1,0,4.5,37.2,90,14,0,0,0,0,0,8.0,2,55,True,0,2
0,0,17,0,0.2,7,0,2.4,22.6,90,11,0,0,0,0,0,1.0,-1,55,False,0,2
0,0,13,0,1.2,2,0,1.5,13.8,90,2,0,0,0,0,0,0.0,1,55,True,0,2
0,2,29,1,0.3,0,0,4.3,42.4,90,18,0,0,0,0,0,0.0,8,55,False,0,2
