assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,1,25,0,41.8,1,0,8.8,38.4,90,6,0,0,0,0,0,8.0,6,55,False,0,2
0,2,28,1,2.7,0,0,2.5,19.8,90,5,0,0,0,0,0,2.0,7,55,True,1,2
0,0,3,0,0.1,0,0,0.7,7.2,27,9,0,0,0,0,0,0.0,1,56,True,0,2
1,2,35,1,13.0,0,0,4.1,23.6,90,14,0,0,0,0,0,4.0,11,56,False,0,2
0,2,33,1,19.4,0,0,5.1,22.0,90,15,0,0,0,0,0,10.0,8,57,True,0,2
0,0,12,0,13.3,1,0,2.4,10.2,90,12,0,0,0,0,0,0.0,1,58,False,1,2
0,0,29,1,11.8,0,0,2.8,16.2,90,10,0,0,0,0,0,0.0,6,59,True,0,2
0,0,18,0,18.1,1,0,4.5,22.6,90,19,0,0,0,0,0,4.0,2,60,False,0,2
0,0,28,1,4.3,0,0,2.4,14.0,90,2,0,0,0,0,0,6.0,6,61,False,0,2
0,1,23,0,37.8,1,0,7.2,32.6,90,8,0,0,0,0,0,2.0,3,61,True,0,2
0,0,3,0,12.4,1,0,3.0,11.8,79,1,0,0,0,0,0,6.0,2,61,False,0,2
0,0,7,0,9.3,2,0,3.3,13.4,88,20,0,0,0,0,0,10.0,0,61,True,1,2
0,0,19,0,12.9,2,0,5.5,22.8,90,4,0,0,0,0,0,19.0,1,61,False,0,2
0,1,33,1,17.1,0,0,7.0,27.8,90,16,0,0,0,0,0,25.0,7,61,True,0,2
0,0,20,0,24.0,1,0,5.5,31.2,90,11,0,0,0,0,0,0.0,1,61,False,1,2
1,2,43,1,56.3,0,0,11.3,43.2,90,7,0,0,0,0,0,13.0,11,61,True,0,2
1,1,27,0,59.6,1,0,10.8,44.2,90,3,0,0,0,0,0,4.0,6,62,True,0,2
0,0,6,0,20.7,1,0,5.8,15.6,90,13,0,0,0,0,0,22.0,1,62,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,62,False,0,2
0,0,18,1,15.2,0,0,2.3,4.6,90,4,0,0,0,0,0,3.0,6,61,True,0,2
1,2,45,1,29.3,0,0,8.7,33.4,90,19,0,0,0,0,0,24.0,11,61,True,0,2
1,2,23,0,1.6,2,0,1.6,10.2,90,10,0,0,0,0,0,4.0,6,61,False,0,2
0,0,24,1,18.0,0,0,5.5,14.6,90,15,0,0,0,0,0,22.0,6,62,False,0,2
0,2,27,1,8.3,0,0,1.9,8.2,90,12,0,0,0,0,0,2.0,8,63,True,0,2
0,0,11,0,12.9,2,0,3.3,19.8,90,9,0,0,0,0,0,0.0,1,63,False,0,2
0,0,15,1,2.7,0,0,4.7,7.8,90,14,0,0,0,0,0,36.0,6,64,True,0,2
0,0,10,0,23.8,2,0,3.5,9.4,90,6,0,0,0,0,0,2.0,1,64,True,0,2
0,0,1,0,12.5,1,0,1.8,1.0,77,13,0,0,0,0,0,4.0,1,64,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,65,False,0,2
0,0,7,0,14.6,1,0,3.5,5.0,90,16,0,0,0,0,0,15.0,2,65,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,65,True,0,2
0,0,23,1,17.5,0,0,3.6,10.8,90,2,0,0,0,0,0,8.0,6,64,True,0,2
0,0,27,1,33.6,0,0,5.3,10.2,90,5,0,0,0,0,0,9.0,5,64,False,1,2
0,0,3,0,0.3,0,0,0.0,0.0,3,1,0,0,0,0,0,0.0,1,64,True,0,2
0,0,6,0,5.3,1,0,1.0,4.8,79,20,0,0,0,0,0,0.0,1,63,False,1,2
0,0,8,0,0.3,0,0,0.8,7.6,8,11,0,0,0,0,0,0.0,1,63,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,63,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,62,False,0,2
0,0,23,1,27.3,0,0,4.4,12.4,90,3,0,0,0,0,0,4.0,6,65,False,0,2
0,0,-6,0,1.3,1,0,0.0,0.0,43,7,0,0,0,1,0,0.0,-2,65,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,65,False,0,2
1,0,37,1,15.3,0,0,4.1,24.0,90,10,0,0,0,0,0,2.0,9,65,True,0,2
1,1,38,1,15.8,0,0,5.7,37.0,90,18,0,0,0,0,0,4.0,10,65,False,0,2
0,0,27,1,6.7,0,0,2.3,6.6,90,6,0,0,0,0,0,10.0,6,65,True,0,2
0,0,27,1,12.6,0,0,3.2,19.2,90,5,0,0,0,0,0,0.0,6,65,False,0,2
1,0,18,0,15.3,2,0,3.6,19.0,90,15,1,0,0,0,0,2.0,2,66,True,0,2
0,0,26,1,11.8,0,0,2.9,17.4,90,4,0,0,0,0,0,0.0,6,66,True,0,2
1,0,28,0,20.1,2,0,5.9,33.0,90,19,0,0,0,0,0,6.0,3,66,False,1,2
0,0,16,0,1.9,1,0,1.6,11.6,90,1,0,0,0,0,0,2.0,2,66,True,0,2
0,3,35,1,25.6,0,0,4.5,17.6,90,9,0,0,0,0,0,2.0,9,66,False,0,2
0,0,14,0,18.0,1,0,3.6,17.6,90,8,0,0,0,0,0,0.0,2,66,False,0,2
0,0,13,0,10.8,1,0,2.7,11.8,90,14,0,0,0,0,0,4.0,2,67,True,0,2
0,0,23,0,41.4,1,0,6.8,26.0,90,20,0,0,0,0,0,1.0,2,67,True,0,2
0,0,6,0,2.7,1,0,0.8,5.2,90,12,0,0,0,0,0,0.0,1,67,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,67,False,0,2
0,0,17,0,2.2,1,0,1.5,12.6,90,17,0,0,0,0,0,0.0,2,66,True,0,2
0,0,26,1,9.1,0,0,3.1,9.4,90,2,0,0,0,0,0,12.0,6,66,True,0,2
0,0,26,1,7.1,0,0,2.2,10.8,90,13,0,0,0,0,0,4.0,6,66,False,0,2
0,1,33,1,18.1,0,0,3.9,19.0,90,6,0,0,0,0,0,2.0,7,66,False,0,2
0,0,17,0,4.3,1,0,1.6,11.8,90,18,0,0,0,0,0,0.0,2,66,True,0,2
1,0,20,0,22.5,4,0,6.5,42.4,90,10,0,0,0,0,0,0.0,3,66,False,0,2
0,0,14,0,10.3,1,0,3.6,21.0,90,13,0,0,0,0,0,5.0,2,66,True,0,2
0,0,29,1,32.3,0,0,6.8,20.4,90,19,0,0,0,0,0,15.0,6,66,True,0,2
0,0,17,0,26.3,1,0,4.4,13.2,90,4,0,0,0,0,0,4.0,2,66,False,0,2
0,0,18,0,27.9,1,0,5.2,19.8,90,9,0,0,0,0,0,4.0,2,66,True,0,2
1,1,37,1,11.3,0,0,4.6,30.6,71,1,0,0,0,0,0,4.0,10,66,False,0,2
0,0,24,1,7.8,0,0,1.7,9.2,90,5,0,0,0,0,0,0.0,6,66,True,0,2
