assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,8,0,10.3,2,0,9.1,26.8,90,11,1,0,0,0,0,54.0,-1,45,True,0,2
0,0,13,0,0.1,2,0,2.4,22.2,90,9,0,0,0,0,0,2.0,1,45,False,0,2
0,0,25,1,1.5,0,0,4.6,17.0,90,18,0,0,0,0,0,27.0,6,45,False,0,2
0,0,22,0,12.1,1,0,4.1,26.6,90,19,0,0,0,0,0,2.0,2,45,True,0,2
0,0,10,0,0.3,2,0,3.1,30.8,90,2,0,0,0,0,0,0.0,1,45,False,0,2
0,0,26,1,3.4,0,0,2.8,24.6,90,13,0,0,0,0,0,0.0,6,45,True,0,2
0,0,12,0,0.3,2,0,3.1,23.6,90,1,0,0,0,0,0,7.0,1,44,False,0,2
0,0,9,0,1.0,1,0,7.8,22.8,90,7,0,0,0,0,0,54.0,1,44,True,1,2
0,0,24,1,0.1,0,0,2.7,27.2,90,20,0,0,0,0,0,0.0,6,44,False,0,2
0,0,15,0,1.7,1,0,2.9,27.6,90,14,0,0,0,0,0,0.0,2,44,True,0,2
0,0,21,1,0.1,0,0,4.2,24.6,90,16,0,0,0,0,0,17.0,5,44,False,1,2
0,0,13,0,11.8,2,0,3.9,25.0,90,15,0,0,0,0,0,2.0,1,44,True,0,2
0,0,10,0,0.3,1,0,3.3,12.8,90,12,1,0,0,0,0,20.0,0,44,False,0,2
0,0,17,1,0.4,0,0,4.0,15.4,90,6,0,0,0,0,0,24.0,5,44,True,1,2
0,0,7,0,0.5,5,0,2.5,24.8,90,10,1,0,0,0,0,0.0,-2,44,True,0,2
0,0,18,0,0.1,2,0,2.3,20.8,90,8,0,0,0,0,0,2.0,1,44,False,0,2
0,0,14,0,0.3,2,0,3.6,36.0,90,17,0,0,0,0,0,0.0,1,44,False,0,2
0,3,33,1,11.4,0,0,8.8,40.2,90,4,0,0,0,0,0,36.0,8,44,True,1,2
0,1,26,1,10.1,0,0,4.0,20.8,90,18,0,0,0,0,0,9.0,7,44,True,0,2
0,0,17,0,10.4,2,0,3.8,27.2,90,5,0,0,0,0,0,0.0,1,45,False,0,2
0,1,31,1,0.2,0,0,6.3,45.8,90,13,0,0,0,0,0,17.0,6,45,False,1,2
0,0,15,0,0.4,2,0,5.0,47.8,90,2,0,0,0,0,0,2.0,1,45,True,0,2
0,0,17,0,0.2,2,0,6.2,42.2,90,19,0,0,0,0,0,20.0,1,45,False,0,2
0,0,11,0,3.9,4,0,1.9,15.0,90,5,0,0,0,0,0,0.0,0,45,True,0,2
0,0,13,0,0.8,1,0,2.6,25.0,90,14,0,0,0,0,0,0.0,2,45,False,0,2
0,0,12,0,0.6,1,0,1.8,10.4,90,20,0,0,0,0,0,7.0,1,45,True,1,2
0,0,12,0,0.0,1,0,3.9,31.6,90,15,0,0,0,0,0,7.0,2,45,False,0,2
0,0,5,0,13.1,1,0,2.2,8.8,90,16,1,0,0,0,0,0.0,0,45,True,0,2
0,0,22,0,0.0,1,1,8.4,46.6,90,1,0,0,0,0,0,37.0,8,45,True,0,2
0,0,19,0,14.6,2,0,4.1,22.6,90,7,0,0,0,0,0,4.0,1,45,False,0,2
0,0,18,0,21.0,2,0,4.3,17.8,90,9,0,0,0,0,0,4.0,1,45,True,0,2
0,0,12,0,0.2,1,0,6.3,33.6,90,8,0,0,0,0,0,29.0,2,45,True,0,2
1,0,26,0,15.3,3,0,6.7,31.2,90,6,0,0,0,0,0,20.0,4,45,False,0,2
0,0,9,0,0.3,1,0,4.5,26.2,90,17,0,0,0,0,0,18.0,1,45,True,1,2
0,0,20,1,0.3,0,0,1.9,16.2,90,4,0,0,0,0,0,2.0,6,45,False,0,2
0,2,28,1,0.3,0,0,3.6,33.2,90,12,0,0,0,0,0,2.0,8,45,True,0,2
0,0,13,0,0.1,3,0,1.9,19.0,90,11,0,0,0,0,0,0.0,1,45,False,0,2
0,0,14,0,0.3,4,0,3.3,33.0,90,10,0,0,0,0,0,0.0,0,45,False,0,2
1,3,41,1,13.3,0,0,5.1,35.6,90,18,0,0,0,0,0,2.0,11,45,False,1,2
0,1,21,0,0.5,1,0,2.2,17.8,90,19,0,0,0,0,0,4.0,3,45,True,0,2
0,0,14,0,0.8,2,0,2.9,25.8,90,16,0,0,0,0,0,2.0,1,46,True,0,2
0,0,10,0,0.7,4,0,1.5,12.4,90,11,0,0,0,0,0,2.0,-1,46,False,1,2
0,0,12,0,0.9,1,0,2.0,16.6,90,5,0,0,0,0,0,2.0,2,46,True,0,2
0,1,26,1,0.6,0,0,5.8,21.0,90,13,0,0,0,0,0,36.0,6,46,False,1,2
0,0,12,0,0.3,2,0,0.9,8.8,90,6,0,0,0,0,0,0.0,1,46,False,0,2
1,2,37,1,10.6,0,0,4.9,38.8,90,17,0,0,0,0,0,0.0,10,46,True,1,2
0,0,15,0,10.7,2,0,2.9,16.4,90,2,0,0,0,0,0,2.0,1,46,False,0,2
0,0,15,0,10.3,2,0,3.7,19.6,90,8,0,0,0,0,0,7.0,1,46,True,0,2
0,1,34,1,1.6,0,0,3.6,30.8,90,14,0,0,0,0,0,4.0,7,46,True,0,2
0,0,23,0,10.8,3,1,9.6,46.2,90,12,0,0,0,0,0,39.0,6,46,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,46,True,0,2
0,1,27,0,2.3,2,1,7.2,52.0,90,10,0,0,0,0,0,18.0,8,46,False,0,2
0,0,14,0,11.8,1,0,3.0,9.6,90,1,0,0,0,0,0,9.0,2,46,False,0,2
0,0,10,0,0.5,2,0,2.8,21.8,90,20,0,0,0,0,0,6.0,0,47,True,1,2
0,0,12,0,10.4,1,0,4.7,15.2,90,7,0,0,0,0,0,21.0,2,47,False,0,2
0,0,15,0,1.0,1,0,2.2,16.2,90,15,0,0,0,0,0,5.0,2,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,47,False,0,2
0,2,31,1,0.8,0,0,2.6,19.0,90,3,0,0,0,0,0,6.0,8,47,True,0,2
1,0,21,0,10.5,1,0,5.2,32.8,90,6,0,0,0,0,0,9.0,4,47,True,1,2
0,0,8,0,0.9,1,0,6.6,25.4,90,8,0,0,0,0,0,40.0,2,48,False,0,2
0,0,12,0,10.7,1,0,4.6,13.0,90,2,0,0,0,0,0,22.0,1,48,True,1,2
0,0,16,0,2.3,3,0,7.3,28.6,90,3,0,0,0,0,0,42.0,1,48,False,0,2
0,0,16,0,0.4,3,0,1.2,10.4,90,19,0,0,0,0,0,1.0,1,48,False,0,2
0,0,16,0,13.0,1,0,3.5,16.0,90,18,0,0,0,0,0,6.0,2,48,True,0,2
0,0,11,0,10.5,1,0,4.5,28.0,90,15,0,0,0,0,0,6.0,2,48,False,0,2
0,0,18,0,10.9,1,0,10.9,17.0,90,7,0,0,0,0,0,81.0,2,48,True,0,2
0,0,23,1,0.8,0,0,1.9,18.0,90,20,0,0,0,0,0,0.0,5,48,False,1,2
0,2,28,0,0.8,1,1,8.2,47.8,90,1,0,0,0,0,0,33.0,10,47,True,0,2
0,0,23,1,0.2,0,0,5.8,24.0,90,9,0,0,0,0,0,34.0,6,47,False,0,2
