assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,80,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,80,True,0,3
0,0,3,0,1.8,0,0,0.6,4.0,24,6,0,0,0,0,0,0.0,1,80,False,0,3
0,0,2,0,12.3,0,0,1.5,2.6,7,8,0,0,0,0,0,0.0,1,80,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,80,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,79,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,78,False,0,3
0,0,9,0,12.2,0,0,3.6,12.4,17,11,0,0,0,0,0,11.0,1,78,True,0,3
0,0,8,0,19.2,1,0,4.2,11.6,73,3,0,0,0,0,0,11.0,2,78,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,77,True,0,3
0,0,0,0,0.3,1,0,0.7,0.2,12,19,0,0,0,0,0,6.0,1,77,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,77,True,0,3
1,0,14,0,37.4,4,0,6.9,18.2,73,9,0,0,0,0,0,13.0,5,77,True,0,3
1,0,19,0,39.4,1,0,9.6,24.4,90,2,0,0,0,0,0,32.0,5,75,True,0,3
0,0,23,0,0.1,0,1,10.1,35.2,34,11,0,0,0,0,0,66.0,6,75,False,0,3
0,0,3,0,5.8,1,0,2.7,0.0,90,13,0,0,0,0,0,25.0,2,75,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,75,False,0,3
0,0,2,0,0.1,0,0,0.0,0.0,5,7,0,0,0,0,0,0.0,1,74,True,0,3
0,0,2,0,1.7,0,0,0.6,2.2,4,9,0,0,0,0,0,2.0,1,73,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,72,True,0,3
0,0,5,0,11.4,0,0,4.8,10.4,17,4,0,0,0,0,0,26.0,1,72,False,0,3
0,0,7,0,14.6,1,0,4.2,3.8,62,18,0,0,0,0,0,24.0,2,71,True,0,3
0,0,3,0,0.3,0,0,0.2,2.0,6,10,0,0,0,0,0,0.0,1,71,False,0,3
0,0,3,0,3.1,1,0,2.8,13.6,90,8,0,0,0,0,0,11.0,2,71,False,0,3
0,0,6,0,0.6,0,0,2.2,6.2,4,15,0,0,0,0,0,15.0,1,70,True,0,3
0,0,17,0,14.3,1,1,9.5,39.4,81,19,0,0,0,0,0,41.0,7,70,False,0,3
0,0,4,0,0.1,1,0,1.0,9.4,16,3,0,0,0,0,0,0.0,1,70,True,0,3
0,0,6,0,15.2,2,0,2.3,8.0,63,12,0,0,0,0,0,0.0,2,70,False,0,3
0,0,32,1,15.5,0,1,9.5,46.4,74,5,0,0,0,0,0,33.0,8,70,True,0,3
0,1,24,0,47.3,1,1,14.2,51.2,88,20,0,0,0,0,0,43.0,8,70,False,0,3
0,0,2,0,1.1,2,0,0.9,6.0,73,6,0,0,0,0,0,2.0,2,71,True,0,3
0,0,2,0,7.8,1,0,4.0,11.6,75,4,0,0,0,0,0,21.0,1,71,True,1,3
1,0,7,0,14.3,1,0,2.9,4.4,45,14,0,0,0,0,0,10.0,3,71,False,1,3
0,0,4,0,2.7,1,0,6.0,16.2,90,16,0,0,0,0,0,41.0,2,72,False,0,3
0,0,4,0,31.9,1,0,7.2,8.0,90,10,0,0,0,0,0,32.0,2,71,True,0,3
0,0,10,1,23.4,0,0,7.9,13.0,90,18,0,0,0,0,0,43.0,3,71,False,0,3
0,0,3,0,26.8,1,0,5.0,3.0,90,14,0,0,0,0,0,20.0,2,71,True,0,3
1,0,17,1,11.0,0,0,3.6,22.6,83,11,0,0,0,0,0,2.0,6,71,True,0,3
0,0,20,0,40.8,2,0,10.0,16.8,90,2,0,0,0,0,0,42.0,2,71,False,0,3
0,0,4,0,4.8,2,0,4.1,6.8,90,6,0,0,0,0,0,29.0,2,71,False,0,3
0,0,7,0,3.8,3,0,5.7,10.0,90,20,0,0,0,0,0,43.0,2,71,True,0,3
0,0,7,0,21.3,0,0,4.2,9.0,45,5,0,0,0,0,0,12.0,1,71,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,71,True,0,3
0,0,12,1,4.9,0,0,2.4,5.8,71,19,0,0,0,0,0,13.0,3,71,True,0,3
0,0,5,0,17.3,3,0,3.4,4.8,90,15,0,0,0,0,0,12.0,2,71,False,0,3
0,0,3,1,1.1,0,0,0.9,2.6,81,8,0,0,0,0,0,5.0,3,71,True,0,3
0,0,3,0,12.4,0,0,4.1,2.6,15,3,0,0,0,0,0,26.0,1,71,False,0,3
0,0,25,0,26.1,1,0,9.1,30.0,81,1,0,0,0,0,0,35.0,2,70,True,0,3
0,0,2,0,17.3,1,0,6.3,10.4,56,13,0,0,0,0,0,35.0,1,70,False,0,3
2,2,32,1,34.4,0,0,8.4,48.0,76,9,0,0,0,0,0,2.0,10,70,True,1,3
