assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,True,0,3
0,0,12,0,2.7,1,0,1.3,9.8,90,14,0,0,0,0,0,0.0,2,50,False,0,3
0,0,15,1,1.4,0,0,1.4,10.6,90,12,0,0,0,0,0,2.0,3,50,True,0,3
0,0,11,1,16.8,0,0,2.9,10.6,90,19,0,0,0,0,0,2.0,3,50,False,0,3
0,0,8,1,10.5,0,0,2.4,11.4,90,18,0,0,0,0,0,2.0,3,50,True,0,3
0,0,0,0,2.4,1,0,0.6,3.6,90,4,0,0,0,0,0,0.0,1,50,False,1,3
0,0,11,0,20.9,3,0,5.4,12.4,87,13,0,0,0,0,0,21.0,2,50,False,0,3
0,1,30,1,1.8,0,1,6.0,36.0,81,1,0,0,0,0,0,22.0,9,50,True,0,3
0,0,12,0,5.9,2,0,2.6,8.8,90,8,0,0,0,0,0,11.0,2,50,True,0,3
0,0,7,0,2.6,1,0,1.1,8.4,90,9,0,0,0,0,0,0.0,1,50,False,1,3
0,0,12,0,3.3,1,0,2.4,21.0,90,17,0,0,0,0,0,0.0,1,50,True,1,3
0,0,4,0,13.4,2,0,4.3,6.8,90,3,0,0,0,0,0,23.0,2,50,True,0,3
0,0,7,0,2.3,3,0,1.6,4.0,66,10,0,0,0,0,0,10.0,1,50,False,1,3
0,2,29,1,5.0,0,1,6.9,43.4,90,7,0,0,0,0,0,21.0,10,50,True,0,3
0,0,11,0,7.5,2,0,2.9,5.6,90,11,0,0,0,0,0,16.0,2,50,False,0,3
0,0,4,0,3.5,2,0,0.7,3.8,45,8,0,0,0,0,0,0.0,1,50,True,0,3
0,0,8,0,1.0,1,0,1.5,6.0,76,10,0,0,0,0,0,8.0,2,50,False,0,3
0,0,13,0,25.8,2,0,3.6,9.8,57,16,0,0,0,0,0,0.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,48,False,0,3
0,0,6,0,1.6,0,0,0.8,6.0,21,14,0,0,0,0,0,0.0,1,48,True,0,3
0,0,13,0,0.8,5,0,2.1,20.6,90,11,0,0,0,0,0,0.0,2,47,False,0,3
0,0,19,0,13.5,4,0,3.0,16.4,90,12,0,0,0,0,0,0.0,2,47,False,0,3
0,0,10,0,29.3,1,0,6.1,25.0,90,5,0,0,0,0,0,7.0,1,46,True,1,3
0,0,12,0,0.8,1,0,4.6,13.4,90,13,0,0,0,0,0,32.0,2,46,False,0,3
0,2,26,0,2.8,2,1,5.9,37.8,90,20,0,0,0,0,0,18.0,9,46,True,0,3
0,0,6,0,2.7,1,0,5.0,14.6,90,17,0,0,0,0,0,33.0,2,46,False,0,3
0,0,14,0,8.6,2,0,3.9,15.8,90,7,0,0,0,0,0,15.0,1,46,True,1,3
0,0,13,0,6.9,1,0,2.0,11.8,90,15,0,0,0,0,0,1.0,2,46,True,0,3
0,0,8,1,1.5,0,0,0.9,2.6,90,3,0,0,0,0,0,5.0,3,46,False,0,3
0,0,16,1,14.8,0,0,3.2,15.0,90,19,0,0,0,0,0,2.0,3,46,False,0,3
0,2,31,0,14.1,2,1,12.2,50.0,90,2,0,0,0,0,0,58.0,8,46,True,1,3
0,0,11,0,12.4,1,0,6.8,14.0,90,18,0,0,0,0,0,42.0,1,46,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,46,False,0,3
0,1,24,0,6.1,1,1,7.3,48.2,90,16,0,0,0,0,0,19.0,7,46,False,1,3
0,0,12,0,36.4,3,0,6.3,26.2,90,1,0,0,0,0,0,0.0,2,46,True,0,3
0,0,-3,1,1.4,0,0,4.9,30.4,90,11,0,1,0,0,0,17.0,1,46,True,0,3
0,3,33,0,2.3,1,1,5.9,43.6,90,14,0,0,0,0,0,13.0,10,46,False,0,3
0,0,14,1,37.3,0,0,6.2,16.2,90,4,0,0,0,0,0,8.0,3,46,True,0,3
0,0,28,0,3.5,4,1,6.1,40.6,90,1,0,0,0,0,0,17.0,7,46,False,0,3
0,0,10,0,4.6,1,0,1.1,4.8,90,20,0,0,0,0,0,2.0,1,47,False,1,3
0,3,31,0,17.9,1,1,8.6,48.0,90,13,0,0,0,0,0,20.0,10,47,True,0,3
0,1,31,0,13.3,3,1,9.1,53.0,90,7,0,0,0,0,0,25.0,8,48,False,0,3
0,0,22,0,15.0,1,0,3.4,18.8,90,17,0,0,0,0,0,0.0,2,49,True,0,3
0,0,15,0,5.1,3,0,1.9,14.2,90,12,0,0,0,0,0,0.0,2,49,True,0,3
0,0,13,0,10.6,2,0,3.5,14.4,90,5,0,0,0,0,0,10.0,2,49,False,0,3
0,2,31,1,6.6,0,1,7.6,51.0,90,8,0,0,0,0,0,18.0,10,49,False,0,3
0,2,32,0,0.6,2,1,7.3,55.0,90,10,0,0,0,0,0,17.0,9,49,True,0,3
0,3,38,0,2.7,2,1,6.0,50.2,90,2,0,0,0,0,0,7.0,10,50,False,0,3
2,2,37,0,44.0,2,0,11.1,39.6,90,3,0,0,0,0,0,27.0,9,51,True,1,3
0,0,12,1,2.5,0,0,1.5,11.6,90,18,0,0,0,0,0,1.0,3,52,False,0,3
0,0,13,1,3.1,0,0,1.5,11.8,90,9,0,0,0,0,0,0.0,3,53,True,0,3
0,0,12,0,18.2,1,0,4.8,20.4,90,15,0,0,0,0,0,9.0,1,53,False,1,3
0,0,15,1,7.7,0,0,2.2,13.2,90,19,0,0,0,0,0,1.0,3,52,True,0,3
0,0,16,1,34.6,0,0,5.1,16.8,90,9,0,0,0,0,0,0.0,3,65,False,0,3
0,0,13,0,5.3,2,0,3.2,19.6,90,12,0,0,0,0,0,7.0,2,65,True,0,3
0,0,15,0,29.8,2,0,4.4,14.6,90,18,0,0,0,0,0,0.0,2,64,False,0,3
0,0,10,0,34.1,2,0,7.1,30.2,90,16,0,0,0,0,0,7.0,2,64,True,0,3
0,0,9,1,6.8,0,0,1.2,5.4,90,10,0,0,0,0,0,0.0,3,63,False,0,3
0,0,24,1,19.8,0,0,7.1,29.4,90,15,0,0,0,0,0,22.0,3,63,True,0,3
0,0,16,0,13.9,2,0,5.0,16.0,90,2,0,0,0,0,0,20.0,2,62,False,0,3
0,0,18,0,18.3,1,0,5.5,21.4,90,20,0,0,0,0,0,15.0,2,62,True,0,3
0,0,-7,0,1.7,2,0,5.1,24.0,90,8,0,1,0,0,0,25.0,-1,61,False,1,3
0,3,45,0,28.3,2,2,14.1,74.6,90,1,0,0,0,0,0,38.0,15,61,True,0,3
0,0,13,0,11.6,3,0,3.0,18.6,90,6,0,0,0,0,0,0.0,1,61,False,1,3
0,0,19,0,32.6,1,0,6.5,24.0,90,17,0,0,0,0,0,8.0,2,60,True,0,3
0,0,10,1,23.8,0,0,5.5,29.2,90,14,0,0,0,0,0,2.0,2,60,False,1,3
0,0,8,1,12.6,0,0,4.6,5.2,90,4,0,0,0,0,0,28.0,3,60,True,0,3
0,3,30,0,6.5,3,1,10.3,50.6,90,3,0,0,0,0,0,46.0,9,60,False,1,3
0,0,12,0,13.1,3,0,3.7,15.0,90,19,0,0,0,0,0,9.0,2,60,False,0,3
0,3,39,1,13.2,0,1,7.1,49.4,90,11,0,0,0,0,0,8.0,11,60,True,0,3
0,3,35,0,0.9,2,1,6.7,48.6,90,13,0,0,0,0,0,17.0,10,60,False,0,3
0,0,9,1,28.7,0,0,5.5,8.2,90,5,0,0,0,0,0,18.0,3,60,True,0,3
0,0,15,0,3.7,1,0,2.2,14.6,90,6,0,0,0,0,0,4.0,2,61,True,0,3
0,0,24,1,3.9,0,1,6.8,39.4,90,20,0,0,0,0,0,25.0,7,61,False,1,3
0,0,15,0,53.7,2,0,10.6,30.0,90,18,0,0,0,0,0,22.0,1,61,True,1,3
1,0,24,0,15.8,4,0,4.7,31.2,90,12,0,0,0,0,0,0.0,5,61,False,0,3
0,0,8,0,33.2,1,0,5.2,10.4,90,16,0,0,0,0,0,8.0,1,61,False,1,3
0,3,32,1,51.7,0,1,12.8,51.0,90,9,0,0,0,0,0,25.0,11,61,True,0,3
0,0,16,0,50.0,1,0,7.8,19.6,90,19,0,0,0,0,0,8.0,1,62,True,1,3
0,2,32,0,10.8,1,1,8.5,57.6,90,11,0,0,0,0,0,17.0,9,62,False,0,3
0,0,17,0,62.9,3,0,9.0,26.2,90,14,0,0,0,0,0,1.0,2,62,True,0,3
0,0,9,0,6.6,1,0,1.8,9.6,90,4,0,0,0,0,0,2.0,2,63,False,0,3
0,3,36,0,37.3,2,1,10.4,48.2,90,3,0,0,0,0,0,18.0,10,63,True,0,3
0,1,30,1,21.5,0,1,8.8,49.6,90,10,0,0,0,0,0,17.0,9,63,True,0,3
0,0,13,0,11.0,2,0,2.2,11.0,90,17,0,0,0,0,0,0.0,2,63,False,0,3
0,2,30,1,9.9,0,1,7.0,43.4,90,15,0,0,0,0,0,17.0,10,64,False,0,3
0,1,31,0,29.1,3,1,8.5,45.6,90,13,0,0,0,0,0,10.0,8,64,True,0,3
1,0,27,0,78.3,2,0,11.8,39.4,90,1,0,0,0,0,0,0.0,5,64,False,0,3
0,0,14,1,25.0,0,0,4.3,16.6,90,8,0,0,0,0,0,1.0,2,64,True,1,3
0,0,19,0,37.8,2,0,8.8,24.2,90,5,0,0,0,0,0,26.0,2,64,False,0,3
0,0,15,0,32.3,3,0,4.4,9.8,90,2,0,0,0,0,0,2.0,1,65,True,1,3
0,0,-2,1,14.8,0,0,1.6,1.6,90,8,0,0,0,0,0,0.0,2,70,True,1,3
0,0,7,0,21.8,1,0,3.9,9.6,90,15,0,0,0,0,0,8.0,2,70,False,0,3
0,0,3,0,10.9,1,0,2.2,10.6,90,12,0,0,0,0,0,0.0,1,69,False,1,3
0,0,12,1,101.3,0,0,13.9,21.6,90,2,0,0,0,0,0,16.0,2,69,True,1,3
