assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,14.4,0,0,6.6,16.4,58,17,0,0,0,0,0,35.0,1,55,False,0,3
0,0,0,0,7.6,2,0,7.5,6.4,86,3,0,0,0,0,0,61.0,2,55,True,0,3
0,0,-2,1,11.5,0,0,2.0,4.2,85,8,0,0,0,0,0,4.0,2,55,True,1,3
0,0,-8,0,1.2,1,0,2.6,0.0,53,7,0,0,0,1,0,28.0,-2,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,53,True,0,3
0,0,6,0,24.0,1,0,8.3,20.0,67,1,0,0,0,0,0,39.0,2,53,False,0,3
1,0,10,0,14.3,1,0,3.9,22.2,20,5,0,0,0,0,0,2.0,3,53,True,1,3
0,0,0,0,0.3,1,0,0.3,0.0,26,14,0,0,0,0,0,3.0,1,53,False,0,3
0,0,8,0,17.0,0,0,3.5,7.6,27,4,0,0,0,0,0,10.0,1,53,True,0,3
0,0,12,0,12.0,3,0,9.4,18.6,90,11,0,0,0,0,0,63.0,2,53,False,0,3
0,0,18,0,2.3,2,1,8.4,42.4,90,10,0,0,0,0,0,39.0,7,52,True,0,3
0,1,28,0,15.6,2,1,9.9,46.0,90,20,0,0,0,0,0,37.0,8,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,52,True,0,3
0,0,6,0,1.3,2,0,3.1,3.6,72,12,0,0,0,0,0,26.0,2,52,False,0,3
0,1,26,0,0.9,2,1,10.7,43.0,75,6,0,0,0,0,0,63.0,8,52,False,0,3
0,0,-2,0,1.4,1,0,2.5,0.0,31,9,0,0,0,0,0,26.0,1,52,True,0,3
0,0,3,0,0.0,0,0,0.0,0.2,10,15,0,0,0,0,0,0.0,1,52,False,0,3
0,0,4,0,18.5,0,0,6.2,8.0,22,16,0,0,0,0,0,35.0,1,52,True,0,3
0,0,11,1,27.9,0,0,6.9,10.8,83,14,0,0,0,0,0,30.0,3,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,52,False,0,3
0,0,10,1,26.4,0,0,3.6,7.8,77,5,0,0,0,0,0,2.0,3,52,False,0,3
1,0,11,0,15.1,1,0,4.9,4.2,19,11,0,0,0,0,0,30.0,4,52,True,0,3
0,0,4,0,11.8,1,0,1.6,2.0,66,4,0,0,0,0,0,2.0,2,52,False,0,3
0,0,9,0,25.3,1,0,5.3,6.2,76,18,0,0,0,0,0,21.0,2,52,True,0,3
0,0,2,0,0.0,0,0,0.0,0.0,10,3,0,0,0,0,0,0.0,1,52,False,0,3
0,0,3,0,0.0,1,0,1.2,0.0,20,17,0,0,0,0,0,12.0,1,52,True,0,3
0,0,7,0,12.3,1,0,4.0,6.2,62,16,0,0,0,0,0,21.0,2,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,52,False,0,3
0,0,4,0,0.8,0,0,0.3,2.2,21,15,0,0,0,0,0,0.0,1,52,True,0,3
0,0,4,0,0.6,0,0,1.7,9.2,20,6,0,0,0,0,0,7.0,1,52,True,0,3
0,0,0,0,1.9,1,0,0.8,0.0,69,13,0,0,0,0,0,8.0,2,52,False,0,3
0,0,1,0,0.0,0,0,0.1,0.0,8,20,0,0,0,0,0,4.0,1,52,True,0,3
0,0,8,0,10.6,1,0,1.8,5.6,84,10,0,0,0,0,0,2.0,2,52,False,0,3
0,0,3,0,12.3,3,0,2.0,4.6,90,12,0,0,0,0,0,3.0,2,52,True,0,3
0,3,41,1,2.3,0,2,14.9,75.4,87,7,0,0,0,0,0,71.0,16,52,True,0,3
0,0,1,1,0.9,0,0,0.9,0.0,63,8,0,0,0,0,0,12.0,3,52,False,0,3
0,2,32,1,11.7,0,1,9.2,46.6,90,1,0,0,0,0,0,34.0,10,52,True,0,3
