assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,65,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,65,True,0,3
0,0,3,0,10.8,1,0,1.5,4.6,31,10,0,0,0,0,0,0.0,1,64,False,0,3
0,0,9,0,30.5,4,0,4.3,5.2,90,18,0,0,0,0,0,7.0,2,64,True,0,3
0,0,32,0,16.6,4,1,10.7,41.2,90,19,0,0,0,0,0,49.0,7,64,False,0,3
0,0,4,0,1.0,1,0,0.8,2.6,45,13,0,0,0,0,0,4.0,1,64,True,0,3
0,0,1,0,10.8,0,0,1.5,0.8,18,12,0,0,0,0,0,3.0,1,64,True,0,3
0,3,46,1,38.1,0,1,14.7,52.0,87,5,0,0,0,0,0,57.0,11,64,False,0,3
0,0,17,1,52.8,0,0,7.3,12.0,83,15,0,0,0,0,0,8.0,3,64,True,0,3
0,0,14,0,24.9,2,0,5.2,0.8,77,6,0,0,0,0,0,26.0,2,64,False,0,3
0,0,8,1,7.0,0,0,0.8,0.0,61,14,0,0,0,0,0,1.0,3,64,True,0,3
0,2,39,0,14.3,3,1,9.2,48.8,90,17,0,0,0,0,0,29.0,8,64,False,1,3
0,0,9,0,3.8,1,0,0.7,0.8,73,11,0,0,0,0,0,2.0,2,64,False,0,3
0,0,15,0,34.4,5,0,7.2,14.4,90,1,0,0,0,0,0,23.0,2,64,True,0,3
0,0,16,0,12.9,2,0,2.4,9.8,77,9,0,0,0,0,0,1.0,2,64,False,0,3
0,0,12,1,15.5,0,0,3.4,6.4,68,3,0,0,0,0,0,12.0,3,64,True,0,3
0,0,2,0,4.3,0,0,1.7,0.2,45,7,0,0,0,0,0,12.0,1,64,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,64,False,0,3
0,0,4,0,12.3,0,0,1.3,0.8,34,8,0,0,0,0,0,0.0,0,64,False,1,3
0,0,15,0,16.3,2,0,3.9,8.4,88,11,0,0,0,0,0,14.0,2,64,True,0,3
0,2,36,1,24.3,0,1,9.5,44.6,86,5,0,0,0,0,0,26.0,9,63,True,1,3
2,2,37,0,63.8,1,0,15.5,50.2,90,12,0,0,0,0,0,41.0,9,63,False,1,3
0,0,1,0,4.3,4,0,1.7,2.4,90,10,0,0,0,0,0,10.0,1,63,True,1,3
0,0,2,0,0.6,0,0,0.2,1.6,35,13,0,0,0,0,0,0.0,1,63,False,0,3
1,3,42,0,15.2,2,1,11.7,43.8,90,19,0,0,0,0,0,58.0,13,63,True,0,3
0,0,19,0,17.1,1,0,5.3,10.0,90,18,0,0,0,0,0,26.0,2,63,False,0,3
0,3,32,0,10.0,2,1,7.8,40.6,90,4,0,0,0,0,0,27.0,10,63,True,0,3
0,0,19,0,26.3,3,0,4.9,17.2,90,2,0,0,0,0,0,5.0,2,64,False,0,3
0,3,41,0,49.6,3,1,12.2,55.4,90,8,0,0,0,0,0,17.0,10,64,True,0,3
0,0,16,0,50.0,2,0,8.2,22.8,90,7,0,0,0,0,0,9.0,2,65,False,0,3
0,0,16,0,19.3,3,0,4.0,11.6,90,1,0,0,0,0,0,9.0,1,65,False,1,3
0,0,16,1,45.2,0,0,7.0,10.0,90,16,0,0,0,0,0,15.0,2,64,True,1,3
0,0,17,0,31.0,2,0,5.5,15.2,90,15,0,0,0,0,0,9.0,2,63,False,0,3
0,0,25,1,73.8,0,0,12.9,26.4,90,6,0,0,0,0,0,29.0,3,61,True,0,3
0,0,17,1,32.5,0,0,10.4,19.4,90,14,0,0,0,0,0,52.0,3,60,False,0,3
0,2,29,1,50.0,0,1,14.0,44.4,90,17,0,0,0,0,0,46.0,9,59,True,1,3
0,0,8,0,26.7,4,0,3.5,7.2,90,9,0,0,0,0,0,1.0,2,59,True,0,3
0,0,16,0,17.3,1,0,2.6,7.4,90,3,0,0,0,0,0,1.0,1,59,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,70,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,70,False,0,3
