assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,1,0,0.4,4,0,2.1,1.6,57,10,0,0,0,0,0,19.0,1,55,False,0,3
0,0,12,1,18.8,0,0,5.3,11.6,83,13,0,0,0,0,0,23.0,3,55,True,0,3
0,0,1,0,1.6,3,0,0.1,0.0,80,6,0,0,0,0,0,0.0,1,55,True,1,3
0,0,6,0,5.5,2,0,5.1,10.2,76,19,0,0,0,0,0,35.0,2,55,False,0,3
0,0,8,0,14.6,2,0,2.8,7.6,88,11,0,0,0,0,0,6.0,2,55,True,0,3
0,0,8,0,17.9,2,0,3.2,9.6,74,5,0,0,0,0,0,4.0,2,54,False,0,3
0,0,5,0,12.1,1,0,3.8,2.8,65,7,0,0,0,0,0,23.0,1,54,False,1,3
0,0,10,0,11.6,4,0,11.2,11.0,75,2,0,0,0,0,0,89.0,2,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,54,False,0,3
0,0,1,0,13.9,1,0,2.2,4.4,45,12,0,0,0,0,0,4.0,1,53,True,0,3
0,0,6,0,24.8,1,0,3.0,4.0,74,4,0,0,0,0,0,1.0,1,53,False,1,3
0,0,9,0,13.3,2,0,2.8,11.0,61,18,0,0,0,0,0,4.0,2,53,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,52,True,0,3
0,0,-1,0,14.8,0,0,1.7,0.8,45,16,0,0,0,0,0,1.0,1,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,52,True,0,3
0,0,3,0,0.7,0,0,1.5,5.4,4,9,0,0,0,0,0,9.0,1,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,51,True,0,3
0,0,3,0,0.3,0,0,1.9,0.2,15,2,0,0,0,0,0,18.0,1,51,False,0,3
0,0,3,0,4.1,1,0,3.2,8.4,69,17,0,0,0,0,0,19.0,2,51,True,0,3
0,0,-2,0,0.0,1,0,0.3,3.0,7,7,0,0,0,0,0,0.0,0,51,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,51,True,0,3
0,0,2,0,0.0,0,0,0.0,0.0,1,17,0,0,0,0,0,0.0,1,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,51,True,0,3
0,0,0,0,1.2,0,0,0.2,0.4,6,20,0,0,0,0,0,0.0,1,51,False,0,3
0,0,3,0,0.1,0,0,0.0,0.2,3,9,0,0,0,0,0,0.0,1,51,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,51,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,50,True,0,3
0,0,-1,0,0.0,1,0,0.0,0.0,15,1,0,0,0,0,0,2.0,0,50,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,50,True,0,3
0,0,7,0,5.8,2,0,1.3,7.2,75,18,0,0,0,0,0,0.0,2,50,False,0,3
0,0,5,0,23.2,3,0,5.2,8.8,68,19,0,0,0,0,0,20.0,1,50,True,1,3
0,0,3,0,2.5,0,0,0.3,0.2,11,6,0,0,0,0,0,0.0,1,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,True,0,3
0,0,4,0,0.9,2,0,1.3,11.8,76,11,0,0,0,0,0,0.0,2,50,False,0,3
