assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,65,False,0,3
0,0,3,0,10.2,1,0,3.1,2.4,6,13,0,0,0,0,0,18.0,1,64,True,0,3
0,0,2,0,0.8,0,0,0.3,0.4,9,6,0,0,0,0,0,2.0,1,64,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,63,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,63,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,63,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,62,False,0,3
0,0,3,0,11.8,0,0,2.3,3.2,9,18,0,0,0,0,0,8.0,0,62,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,62,False,0,3
0,0,9,0,25.6,2,0,5.1,7.2,80,15,0,0,0,0,0,18.0,2,62,True,0,3
0,0,3,0,0.1,0,0,0.0,0.2,1,9,0,0,0,0,0,0.0,1,62,False,0,3
0,0,3,0,0.2,0,0,0.1,0.4,4,20,0,0,0,0,0,0.0,1,62,True,0,3
0,0,2,0,1.1,0,0,0.5,3.4,15,2,0,0,0,0,0,0.0,1,62,False,0,3
0,1,27,0,14.6,1,1,6.5,43.0,74,17,0,0,0,0,0,7.0,7,62,True,1,3
0,0,14,0,12.6,1,0,3.6,16.0,90,7,0,0,0,0,0,7.0,2,62,True,0,3
0,0,10,0,5.0,3,0,1.9,6.2,64,12,0,0,0,0,0,8.0,2,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,62,False,0,3
0,0,2,0,0.3,0,0,0.0,0.0,1,13,0,0,0,0,0,0.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,62,True,0,3
0,0,11,0,10.8,0,0,5.9,12.8,24,15,0,0,0,0,0,35.0,1,62,False,0,3
0,0,1,0,0.6,1,0,0.4,3.6,28,16,0,0,0,0,0,0.0,1,62,True,0,3
0,0,4,0,1.8,0,0,0.6,4.2,11,8,0,0,0,0,0,0.0,1,62,True,0,3
0,0,1,0,1.1,1,0,0.3,1.6,15,1,0,0,0,0,0,0.0,0,62,False,1,3
0,0,2,0,0.1,0,0,0.1,1.0,12,4,0,0,0,0,0,0.0,1,62,True,0,3
0,0,10,0,8.7,2,0,3.8,17.4,90,18,0,0,0,0,0,12.0,2,62,False,0,3
0,0,3,0,2.3,4,0,0.7,0.0,77,19,0,0,0,0,0,6.0,2,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,62,False,0,3
0,0,3,0,0.2,0,0,0.0,0.0,1,5,0,0,0,0,0,0.0,1,62,True,0,3
