assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,9,0,4.8,2,0,0.7,1.4,90,4,0,0,0,0,0,1.0,2,65,False,0,3
0,0,17,1,38.7,0,0,5.5,13.8,90,2,0,0,0,0,0,2.0,3,65,True,0,3
0,0,6,0,13.5,3,0,1.8,0.0,90,10,0,0,0,0,0,5.0,1,65,False,1,3
0,0,14,0,13.2,4,0,1.9,5.0,68,18,0,0,0,0,0,1.0,2,65,True,0,3
0,0,12,0,25.4,3,0,3.5,8.0,45,19,0,0,0,0,0,2.0,1,65,False,0,3
0,0,10,0,14.4,2,0,3.2,9.8,81,13,0,0,0,0,0,8.0,1,64,True,1,3
0,0,11,0,3.8,1,0,1.1,2.4,72,12,0,0,0,0,0,5.0,2,64,True,0,3
0,0,14,1,2.7,0,0,1.7,14.0,90,5,0,0,0,0,0,0.0,2,63,False,1,3
0,0,21,1,30.9,0,0,7.8,24.6,90,15,0,0,0,0,0,22.0,3,63,True,0,3
0,0,15,0,2.9,2,0,2.3,12.6,90,6,0,0,0,0,0,7.0,2,63,False,0,3
0,0,8,0,3.4,1,0,0.6,1.6,90,14,0,0,0,0,0,1.0,1,62,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,62,False,0,3
0,0,8,0,6.6,1,0,0.8,0.0,90,11,0,0,0,0,0,2.0,2,62,False,0,3
0,0,8,0,6.4,2,0,1.0,0.0,72,1,0,0,0,0,0,4.0,2,62,True,0,3
0,0,9,0,2.2,2,0,1.7,12.8,90,9,0,0,0,0,0,2.0,2,62,False,0,3
0,0,26,1,23.6,0,1,11.8,39.0,88,3,0,1,0,0,0,55.0,6,62,True,0,3
0,3,33,1,29.2,0,1,9.8,52.0,90,7,0,0,0,0,0,17.0,10,62,True,1,3
0,0,15,0,13.3,1,0,4.2,8.6,90,16,0,0,0,0,0,20.0,2,62,False,0,3
0,0,8,0,11.3,1,0,1.8,6.6,56,8,0,0,0,0,0,0.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,62,True,0,3
0,0,9,1,32.8,0,0,4.6,11.8,90,5,0,0,0,0,0,1.0,2,62,True,1,3
0,0,10,0,1.5,1,0,1.1,3.8,53,12,0,0,0,0,0,6.0,1,62,False,0,3
0,0,15,0,6.3,4,0,1.7,11.0,90,10,0,0,0,0,0,0.0,2,62,True,0,3
0,2,29,0,2.3,1,1,7.0,35.0,90,13,0,0,0,0,0,33.0,9,62,False,0,3
0,0,14,0,15.0,2,0,3.4,10.6,90,19,0,0,0,0,0,8.0,1,62,True,1,3
0,0,16,0,24.1,1,0,3.8,14.2,90,18,0,0,0,0,0,0.0,2,62,False,0,3
0,0,17,0,25.0,2,0,4.7,12.2,76,4,0,0,0,0,0,10.0,2,62,True,0,3
0,0,1,0,1.5,2,0,0.9,7.0,57,2,0,0,0,0,0,0.0,0,62,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,62,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,62,False,0,3
0,0,16,0,3.3,2,0,1.6,9.2,79,1,0,0,0,0,0,3.0,2,62,False,0,3
0,0,9,1,17.4,0,0,3.5,10.8,90,16,0,0,0,0,0,7.0,2,62,True,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,62,True,0,3
0,0,2,0,1.0,0,0,0.5,2.2,22,14,0,0,0,0,0,2.0,1,62,False,0,3
0,0,7,1,8.3,0,0,1.9,2.0,90,17,0,0,0,0,0,9.0,2,62,True,1,3
