assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,False,0,2
0,0,10,0,0.4,2,0,0.9,8.8,90,14,0,0,0,0,0,0.0,1,45,True,0,2
0,0,11,0,14.8,1,0,4.3,20.0,90,12,0,0,0,0,0,8.0,2,45,False,0,2
0,0,16,0,33.8,2,0,6.4,24.0,90,9,0,0,0,0,0,6.0,1,45,True,0,2
0,0,14,0,29.8,2,0,5.3,21.4,90,16,0,0,0,0,0,2.0,1,45,False,0,2
0,0,8,0,5.1,2,0,2.4,12.0,90,17,0,0,0,0,0,7.0,1,45,True,0,2
0,0,8,0,0.2,2,0,2.6,25.8,90,13,0,0,0,0,0,0.0,0,45,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,44,False,0,2
0,0,8,0,0.3,2,0,1.2,11.6,90,5,0,0,0,0,0,0.0,1,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,43,False,0,2
0,0,18,0,1.4,1,0,2.1,19.2,90,7,0,0,0,0,0,0.0,2,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,43,False,0,2
0,0,14,0,0.7,2,0,1.6,12.0,90,6,0,0,0,0,0,3.0,1,43,True,0,2
0,0,16,0,12.8,2,0,3.6,23.2,90,2,0,0,0,0,0,0.0,1,43,False,0,2
0,0,14,0,35.7,1,0,5.6,17.0,90,1,0,0,0,0,0,3.0,1,43,True,1,2
0,1,28,1,7.0,0,0,3.2,21.0,90,8,0,0,0,0,0,4.0,7,43,True,0,2
0,0,14,0,11.8,2,0,2.7,14.8,90,19,0,0,0,0,0,0.0,1,43,False,0,2
0,0,10,0,15.0,1,0,2.8,13.0,90,12,0,0,0,0,0,0.0,2,43,True,0,2
0,0,12,0,1.8,2,0,1.7,15.6,90,14,0,0,0,0,0,0.0,1,43,False,0,2
1,0,27,0,30.2,4,0,8.1,51.2,90,9,0,0,0,0,0,0.0,3,43,False,0,2
0,0,26,1,30.8,0,0,5.1,18.2,90,18,0,0,0,0,0,2.0,6,43,True,0,2
0,0,16,0,26.8,3,0,4.6,15.2,90,4,0,0,0,0,0,4.0,1,43,True,0,2
0,0,13,0,7.0,2,0,3.6,21.2,90,11,0,0,0,0,0,8.0,0,43,False,1,2
0,0,23,1,1.8,0,0,3.1,21.2,90,10,0,0,0,0,0,8.0,6,43,True,0,2
0,0,12,0,1.0,1,0,2.0,18.6,90,7,0,0,0,0,0,0.0,1,43,False,1,2
0,0,15,0,7.9,1,0,2.5,13.8,90,16,0,0,0,0,0,3.0,2,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,43,False,0,2
0,0,9,0,2.7,5,0,1.1,8.2,90,2,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,43,False,0,2
0,0,7,0,10.3,1,0,2.1,10.6,90,17,0,0,0,0,0,0.0,2,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,False,0,2
0,0,2,0,0.1,0,0,0.0,0.0,6,13,0,0,0,0,0,0.0,1,43,True,0,2
0,0,21,1,12.6,0,0,2.8,13.0,90,18,0,0,0,0,0,2.0,6,45,False,0,2
0,0,11,0,26.0,1,0,4.7,19.4,90,19,0,0,0,0,0,2.0,2,45,True,0,2
0,0,8,0,1.8,2,0,2.0,8.0,90,16,0,0,0,0,0,10.0,0,45,True,1,2
0,0,12,0,17.4,4,0,4.0,20.2,90,11,0,0,0,0,0,2.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,2
0,0,20,1,4.1,0,0,2.1,15.2,90,13,0,0,0,0,0,2.0,6,45,False,0,2
0,0,14,0,25.3,2,0,4.4,18.4,90,6,0,0,0,0,0,0.0,1,45,False,0,2
0,0,15,1,4.1,0,0,2.3,8.4,90,17,0,0,0,0,0,10.0,6,45,True,0,2
0,0,10,0,18.8,1,0,5.0,11.0,69,2,0,0,0,0,0,20.0,1,45,False,1,2
0,0,5,0,2.5,1,0,0.9,4.6,65,8,0,0,0,0,0,2.0,2,45,True,0,2
1,3,50,1,29.1,0,0,7.3,39.6,90,14,0,0,0,0,0,4.0,12,45,True,0,2
0,0,-2,0,0.5,2,0,0.5,4.8,45,12,0,0,0,0,0,0.0,-1,45,False,1,2
0,0,10,0,2.7,1,0,4.6,8.2,76,9,0,0,0,0,0,35.0,2,45,True,0,2
0,0,9,0,16.7,2,0,3.2,15.4,68,10,0,0,0,0,0,0.0,1,45,False,0,2
0,0,3,0,0.2,0,0,0.2,1.4,14,1,0,0,0,0,0,0.0,1,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,2
0,0,9,0,19.1,1,0,10.3,21.4,90,7,0,0,0,0,0,62.0,2,45,False,0,2
