assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,10,1,0,0,0,0,30,0,1,False,0
0,0,0,0,0,0,18,0,0,0,0,32,0,0,True,0
0,0,0,0,0,0,20,0,0,0,0,32,0,0,False,0
0,0,0,0,0,15,19,0,0,0,0,34,0,1,True,0
0,0,0,0,0,0,8,0,0,0,0,35,0,0,False,0
0,0,0,0,0,0,13,0,0,0,0,35,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,36,0,0,True,0
0,0,0,0,0,0,10,0,0,0,0,37,0,0,False,0
0,0,0,2,0,90,5,0,0,0,0,38,0,2,True,0
0,0,0,0,0,4,6,0,0,0,0,1,0,1,True,0
0,0,0,0,0,1,20,0,0,0,0,2,0,1,False,0
0,0,0,1,0,34,7,0,0,0,0,3,0,1,True,0
0,0,0,0,0,8,16,0,0,0,0,4,0,1,False,0
0,0,0,0,0,0,9,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,19,0,0,0,0,6,0,0,False,0
0,0,0,0,0,16,1,0,0,0,0,7,0,1,True,0
0,0,0,1,0,24,13,0,0,0,0,8,0,1,False,0
0,0,0,0,0,0,10,0,0,0,0,9,0,0,True,0
0,0,0,1,0,15,14,0,0,0,0,10,0,1,False,0
0,0,0,0,0,10,3,0,0,0,0,11,0,1,False,0
0,0,0,0,0,1,4,0,0,0,0,12,0,1,True,0
0,0,0,1,1,17,15,0,0,0,0,13,0,5,False,0
0,0,0,0,0,8,2,0,0,0,0,14,0,1,True,0
0,0,0,1,0,79,17,0,0,0,0,15,0,2,True,0
0,0,0,0,0,0,11,0,0,0,0,16,0,0,False,0
0,3,0,0,1,25,8,0,0,0,0,17,0,8,True,0
0,0,0,0,0,32,18,0,0,0,0,18,0,1,False,0
0,2,0,1,1,90,13,0,0,0,0,19,0,8,True,0
0,0,0,0,0,0,5,0,0,0,0,20,0,0,False,0
0,0,0,0,0,32,1,0,0,0,0,21,0,1,False,0
0,0,0,0,1,19,14,0,0,0,0,22,0,5,True,0
0,0,0,1,0,16,10,0,0,0,0,23,0,1,False,0
0,0,0,1,0,45,5,0,0,0,0,24,0,1,True,0
0,0,0,0,0,18,20,0,0,0,0,25,0,1,True,0
0,0,0,0,0,0,6,0,0,0,0,26,0,0,False,0
0,2,1,0,1,79,18,0,0,0,0,27,0,8,True,0
0,0,0,1,0,71,8,0,0,0,0,28,0,2,False,0
0,0,0,0,0,0,11,0,0,0,0,29,0,0,True,0
