assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,18,0,0.3,1,0,2.4,23.2,90,17,0,0,0,0,0,0.0,2,45,True,0,2
1,2,28,0,12.4,1,0,6.1,26.8,90,19,0,0,0,0,0,22.0,7,45,False,0,2
0,1,32,1,13.2,0,0,3.8,20.4,90,14,0,0,0,0,0,4.0,7,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,46,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,46,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,41,False,0,2
0,0,12,0,14.2,0,0,4.9,18.2,24,11,0,0,0,0,0,17.0,1,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,40,True,0,2
0,0,22,1,0.5,0,0,1.5,14.4,90,8,0,0,0,0,0,0.0,6,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,40,True,0,2
0,0,20,1,0.3,0,0,0.9,8.6,90,10,0,0,0,0,0,0.0,5,40,True,1,2
0,0,22,1,12.5,0,0,3.6,19.8,90,5,0,0,0,0,0,4.0,5,41,False,1,2
0,0,6,0,0.4,1,0,1.1,10.2,45,14,0,0,0,0,0,0.0,1,41,False,0,2
0,0,3,0,0.3,1,0,0.0,0.0,11,2,0,0,0,0,0,0.0,1,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,40,True,0,2
0,0,13,0,5.8,3,0,3.2,11.4,90,9,0,0,0,0,0,15.0,1,40,False,0,2
0,0,16,0,1.3,1,0,1.6,14.8,90,11,0,0,0,0,0,0.0,2,40,False,0,2
0,0,8,0,3.8,2,0,1.2,4.0,90,8,0,0,0,0,0,4.0,1,40,True,0,2
0,0,17,0,16.7,1,0,6.2,28.4,90,3,0,0,0,0,0,17.0,2,41,True,0,2
0,2,35,1,8.4,0,0,3.6,27.6,90,20,0,0,0,0,0,0.0,8,41,False,0,2
0,0,14,0,1.5,3,0,2.1,19.2,90,4,0,0,0,0,0,0.0,1,41,True,0,2
0,0,11,0,6.7,1,0,1.9,12.0,77,16,0,0,0,0,0,0.0,2,41,False,0,2
0,0,7,0,12.3,0,0,1.7,4.8,45,18,0,0,0,0,0,0.0,1,41,True,0,2
0,0,19,0,41.6,3,0,6.5,23.0,90,1,0,0,0,0,0,0.0,1,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,45,True,0,2
0,0,7,0,11.9,1,0,2.5,11.0,90,11,0,0,0,0,0,2.0,2,45,False,0,2
0,0,11,0,11.4,2,0,2.3,11.2,90,5,0,0,0,0,0,0.0,1,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,44,False,0,2
0,0,13,0,10.6,1,0,8.2,20.8,90,2,0,0,0,0,0,51.0,2,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,44,True,0,2
0,0,9,0,6.3,1,0,6.2,36.4,90,3,0,0,0,0,0,19.0,2,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,42,False,0,2
0,0,26,1,0.2,0,0,2.0,19.8,90,20,0,0,0,0,0,0.0,6,42,True,0,2
0,0,23,1,0.1,0,0,2.9,21.4,90,8,0,0,0,0,0,7.0,6,42,True,0,2
0,0,12,0,0.2,1,0,2.7,27.0,90,10,0,0,0,0,0,0.0,2,42,False,0,2
0,0,23,1,0.1,0,0,4.3,42.4,90,13,0,0,0,0,0,0.0,5,42,False,1,2
0,0,12,0,20.2,1,0,3.7,17.2,90,16,0,0,0,0,0,0.0,1,42,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,42,True,0,2
0,0,25,1,0.4,0,0,1.8,17.6,90,19,0,0,0,0,0,0.0,6,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,43,False,0,2
0,0,14,0,31.8,2,0,6.7,13.2,90,12,0,0,0,0,0,22.0,0,43,True,1,2
0,0,18,0,0.0,4,0,2.6,25.8,90,17,0,0,0,0,0,0.0,0,43,False,0,2
0,0,15,0,0.5,1,0,2.6,21.8,90,19,0,0,0,0,0,4.0,2,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,43,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,42,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,42,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,41,False,0,2
0,0,3,0,0.2,0,0,0.0,0.0,12,3,0,0,0,0,0,0.0,1,41,True,0,2
0,0,3,0,0.0,0,0,0.0,0.2,1,15,0,0,0,0,0,0.0,1,41,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,41,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,40,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,40,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,False,0,2
0,0,6,0,0.1,0,0,0.8,7.4,17,18,0,0,0,0,0,0.0,1,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,45,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,44,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,False,0,2
0,0,3,0,0.0,0,0,0.0,0.2,1,19,0,0,0,0,0,0.0,1,44,True,0,2
1,0,21,0,13.3,3,0,3.8,25.0,90,4,0,0,0,0,0,0.0,3,44,False,1,2
0,0,12,0,0.6,1,0,1.5,14.6,90,17,0,0,0,0,0,0.0,2,44,True,0,2
1,1,27,0,10.4,1,0,4.8,26.6,90,16,0,0,0,0,0,11.0,6,44,False,0,2
