assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,12,0,12.4,2,0,2.4,11.6,90,17,0,0,0,0,0,0.0,1,60,True,1,2
0,0,5,0,20.3,1,0,5.7,9.8,90,8,0,0,0,0,0,27.0,1,60,False,1,2
1,0,26,1,27.3,0,0,10.3,29.6,87,20,0,0,0,0,0,46.0,6,60,True,0,2
1,0,23,1,34.2,0,0,7.6,26.2,90,16,0,0,0,0,0,16.0,5,59,False,1,2
2,3,34,0,49.2,1,0,10.4,47.2,90,15,0,0,0,0,0,8.0,11,59,True,0,2
0,0,18,0,47.1,1,0,8.3,19.8,90,3,0,0,0,0,0,16.0,2,60,False,0,2
0,0,13,0,18.3,1,0,4.5,17.2,90,10,0,0,0,0,0,9.0,2,60,True,0,2
0,0,16,0,36.4,2,0,7.4,16.8,90,14,0,0,0,0,0,21.0,2,60,False,0,2
1,0,17,1,7.5,0,0,3.4,6.0,90,6,0,0,0,0,0,20.0,6,60,True,0,2
0,0,11,0,3.7,1,0,1.4,1.8,78,4,0,0,0,0,0,8.0,2,59,False,0,2
0,0,19,0,55.9,1,0,9.7,31.0,90,2,0,0,0,0,0,10.0,2,59,True,0,2
0,0,16,0,26.9,3,0,5.9,9.8,65,12,0,0,0,0,0,22.0,2,58,False,0,2
0,0,10,0,17.6,3,0,3.2,5.4,90,18,0,0,0,0,0,9.0,2,58,True,0,2
2,3,37,0,47.2,2,0,10.0,23.6,90,19,0,0,0,0,0,29.0,11,57,False,0,2
0,0,5,0,26.3,3,0,3.6,9.6,90,5,0,0,0,0,0,0.0,2,57,False,0,2
0,0,13,0,31.4,2,0,5.3,14.8,63,9,0,0,0,0,0,7.0,2,57,True,0,2
0,0,6,0,19.9,1,0,4.6,7.0,73,7,0,0,0,0,0,19.0,2,57,True,0,2
0,0,8,0,29.7,0,0,5.5,10.4,36,1,0,0,0,0,0,15.0,1,56,False,0,2
0,0,5,0,12.8,2,0,2.6,7.6,90,20,0,0,0,0,0,6.0,2,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,56,True,0,2
0,0,9,1,16.0,0,0,2.4,6.2,71,3,0,0,0,0,0,2.0,3,55,True,0,2
0,0,15,1,43.3,0,0,8.9,21.4,90,15,0,0,0,0,0,24.0,3,55,False,0,2
0,0,18,0,34.2,1,0,4.9,15.0,90,16,0,0,0,0,0,0.0,2,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,55,False,0,2
0,0,3,0,0.0,1,0,2.1,1.0,18,4,0,0,0,0,0,20.0,1,54,True,0,2
