assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,2,28,0,23.3,2,1,13.7,41.2,90,3,0,0,0,0,0,72.0,8,60,False,0,4
0,0,6,0,24.6,2,0,9.1,2.6,82,17,0,0,0,0,0,64.0,2,60,True,0,4
0,0,6,0,1.9,2,0,2.5,3.2,90,16,0,0,0,0,0,20.0,2,60,False,0,4
0,0,1,0,1.3,4,0,1.0,4.4,90,9,0,0,0,0,0,4.0,2,59,False,0,4
0,0,1,0,0.5,0,0,0.1,0.2,21,15,0,0,0,0,0,0.0,1,58,True,0,4
0,0,2,0,0.8,2,0,0.1,0.0,33,6,0,0,0,0,0,0.0,1,58,True,0,4
0,0,5,0,14.1,1,0,2.7,3.8,90,13,0,0,0,0,0,9.0,2,57,False,0,4
0,0,6,0,5.1,1,0,1.9,3.4,90,20,0,0,0,0,0,10.0,2,56,True,0,4
0,0,5,0,10.4,1,0,1.6,5.4,16,10,0,0,0,0,0,0.0,1,54,False,0,4
0,0,4,0,11.3,3,0,2.0,2.2,58,12,0,0,0,0,0,6.0,1,53,True,0,4
0,0,1,1,10.1,0,0,1.6,0.0,79,7,0,0,0,0,0,8.0,2,52,True,0,4
0,0,0,1,14.2,0,0,3.4,0.0,63,8,0,0,0,0,0,22.0,2,52,False,0,4
0,0,5,1,2.6,0,0,0.2,0.0,71,1,0,0,0,0,0,0.0,2,51,True,0,4
0,0,4,1,11.3,0,0,4.3,1.2,67,19,0,0,0,0,0,30.0,1,51,False,1,4
