assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,95,True,0,3
0,0,5,0,14.3,0,0,2.5,4.8,18,8,0,0,0,0,0,6.0,1,95,False,0,3
0,1,26,0,16.7,1,1,7.7,37.2,69,18,0,0,0,0,0,23.0,8,95,False,0,3
0,0,18,0,68.8,1,0,12.1,24.4,90,13,0,0,0,0,0,28.0,2,96,True,0,3
0,0,11,0,53.7,1,0,10.0,9.8,90,7,0,0,0,0,0,36.0,2,96,False,0,3
0,2,38,1,50.0,0,1,12.5,51.8,90,4,0,0,0,0,0,23.0,10,95,True,0,3
0,0,8,1,28.3,0,0,9.6,10.4,90,3,0,0,0,0,0,57.0,3,95,False,0,3
0,3,43,0,70.6,2,1,16.9,48.4,82,16,0,0,0,0,0,50.0,10,95,True,0,3
0,0,9,1,44.1,0,0,5.4,2.8,90,12,0,0,0,0,0,7.0,3,96,True,0,3
1,0,25,0,45.9,1,0,12.0,32.4,90,15,0,0,0,0,0,42.0,5,96,False,0,3
1,0,21,0,72.8,1,0,10.6,14.4,90,17,0,0,0,0,0,19.0,5,96,True,0,3
0,0,14,0,14.0,1,0,2.2,6.4,90,11,0,0,0,0,0,2.0,2,96,False,0,3
0,0,10,0,42.6,1,0,8.3,6.6,90,2,0,0,0,0,0,34.0,2,96,True,0,3
1,1,47,0,59.9,1,1,16.3,66.6,87,20,0,0,0,0,0,36.0,11,96,False,0,3
0,3,32,0,36.3,1,1,10.2,40.6,90,14,0,0,0,0,0,25.0,10,96,True,0,3
0,0,13,0,18.2,2,0,3.9,6.8,90,6,0,0,0,0,0,14.0,2,96,False,0,3
0,0,8,0,18.3,2,0,2.6,3.6,90,10,0,0,0,0,0,4.0,2,96,False,0,3
1,0,23,1,102.5,0,0,16.7,38.0,90,19,0,0,0,0,0,26.0,6,96,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,96,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,96,False,0,3
1,0,28,1,46.2,0,0,8.6,14.0,78,16,0,0,0,0,0,26.0,6,95,False,0,3
