assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,13,0,11.3,0,0,2.8,17.0,6,20,0,0,0,0,0,0.0,4,90,True,0,4
0,1,22,0,0.5,0,1,7.8,32.0,18,18,0,0,0,0,0,45.0,6,90,False,0,4
0,0,2,0,0.0,0,0,0.5,0.0,11,3,0,0,0,0,0,6.0,1,90,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,3,16,0,0,0,0,0,0.0,1,90,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,89,True,0,4
0,0,0,0,1.2,0,0,2.9,5.2,20,1,0,0,0,0,0,23.0,1,88,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,87,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,87,True,0,4
0,0,1,0,0.1,0,0,0.0,0.0,13,11,0,0,0,0,0,0.0,1,86,True,0,4
0,0,1,0,0.5,0,0,0.3,0.2,2,13,0,0,0,0,0,2.0,1,86,False,0,4
0,0,5,0,2.6,0,0,1.4,3.4,11,6,0,0,0,0,0,8.0,1,86,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,86,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,85,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,1,10,0,0,0,0,0,0.0,1,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,85,False,0,4
0,0,2,0,1.0,0,0,0.0,0.0,2,5,0,0,0,0,0,0.0,1,85,False,0,4
0,0,3,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,0.0,1,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,85,True,0,4
0,0,3,0,0.3,0,0,0.0,0.0,6,17,0,0,0,0,0,0.0,1,85,False,0,4
0,0,1,0,0.9,0,0,0.0,0.0,7,8,0,0,0,0,0,0.0,1,85,False,0,4
0,0,2,0,4.8,0,0,0.4,0.0,4,7,0,0,0,0,0,0.0,1,85,True,0,4
0,0,3,0,0.0,0,0,0.0,0.0,1,9,0,0,0,0,0,0.0,1,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,85,True,0,4
0,0,2,0,1.8,0,0,0.2,0.0,4,3,0,0,0,0,0,0.0,1,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,85,False,0,4
0,0,2,0,1.4,0,0,0.5,0.0,17,5,0,0,0,0,0,4.0,1,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,85,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,85,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,84,True,0,4
0,0,25,0,1.1,0,1,6.4,30.2,15,19,0,0,0,0,0,33.0,5,84,False,0,4
0,0,27,0,12.7,3,1,14.2,38.0,83,18,0,0,0,0,0,91.0,6,84,True,0,4
0,3,49,0,0.7,0,2,13.3,67.2,29,15,0,0,0,0,0,65.0,12,84,True,0,4
0,0,1,0,6.9,3,0,1.6,2.2,58,4,0,0,0,0,0,7.0,1,85,True,0,4
0,0,-3,0,0.0,1,0,0.0,0.0,11,17,1,0,0,0,0,0.0,-1,84,False,0,4
0,0,3,0,2.8,0,0,2.5,2.2,12,7,0,0,0,0,0,20.0,1,83,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,82,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,82,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,81,False,0,4
0,0,2,0,1.4,0,0,0.2,0.2,17,11,0,0,0,0,0,0.0,1,81,True,0,4
0,0,2,0,1.9,2,0,0.7,3.0,56,6,0,0,0,0,0,2.0,1,81,False,0,4
0,3,47,0,0.6,0,2,10.4,64.6,29,18,0,0,0,0,0,39.0,12,81,True,0,4
