assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,2,0,13.5,1,0,3.6,1.4,90,1,0,0,0,0,0,21.0,1,60,True,1,3
0,0,7,0,2.9,3,0,1.1,2.0,90,14,0,0,0,0,0,6.0,2,60,False,0,3
0,0,3,1,1.4,0,0,4.5,8.0,90,17,0,0,0,0,0,36.0,3,60,False,0,3
0,0,5,0,14.0,1,0,5.1,13.4,90,18,0,0,0,0,0,24.0,2,60,True,0,3
0,0,8,0,1.3,2,0,0.9,5.2,66,10,0,0,0,0,0,2.0,2,59,False,0,3
0,0,11,1,0.5,0,0,5.0,13.0,72,4,0,0,0,0,0,36.0,3,59,True,0,3
0,0,8,0,13.1,4,0,2.1,7.8,73,9,0,0,0,0,0,0.0,2,59,False,0,3
0,0,-1,1,0.9,0,0,2.5,0.0,89,12,0,0,0,0,0,29.0,2,58,True,1,3
0,0,6,1,3.3,0,0,1.7,5.8,69,6,0,0,0,0,0,8.0,3,58,False,0,3
0,0,12,0,26.8,1,0,5.2,8.2,90,20,0,0,0,0,0,17.0,2,58,True,0,3
0,0,2,0,2.7,2,0,7.1,17.0,90,19,0,0,0,0,0,51.0,2,58,False,0,3
0,0,7,0,25.7,1,0,5.9,3.0,90,3,0,0,0,0,0,30.0,2,58,True,0,3
0,0,7,0,22.5,2,0,2.9,3.6,78,2,0,0,0,0,0,3.0,2,58,False,0,3
1,0,17,0,12.9,2,0,4.7,29.2,90,11,0,0,0,0,0,5.0,5,58,True,0,3
0,0,7,1,1.8,0,0,2.0,9.2,87,15,0,0,0,0,0,9.0,3,58,False,0,3
0,0,9,0,17.2,1,0,5.4,8.8,84,16,0,0,0,0,0,28.0,2,58,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,58,False,0,3
0,3,35,1,7.9,0,1,9.9,55.0,90,7,0,0,0,0,0,36.0,10,58,True,1,3
0,0,10,0,10.3,4,0,2.5,10.6,62,12,0,0,0,0,0,4.0,2,58,False,0,3
0,0,1,0,1.8,2,0,3.6,1.8,90,8,0,0,0,0,0,32.0,2,58,True,0,3
0,0,6,0,1.5,3,0,1.5,5.4,90,9,0,0,0,0,0,8.0,2,58,True,0,3
0,2,33,0,4.6,1,1,8.0,47.4,90,20,0,0,0,0,0,28.0,8,58,False,1,3
0,0,11,1,6.3,0,0,2.0,11.4,90,6,0,0,0,0,0,2.0,3,58,True,0,3
0,0,6,0,2.3,2,0,0.9,4.4,90,8,0,0,0,0,0,2.0,2,58,False,0,3
0,0,4,1,12.4,0,0,3.9,14.4,90,14,0,0,0,0,0,12.0,3,58,True,0,3
0,0,6,0,13.5,4,0,2.1,5.2,90,1,0,0,0,0,0,2.0,2,58,False,0,3
0,0,1,0,1.6,1,0,0.7,3.8,70,7,0,0,0,0,0,2.0,1,58,False,1,3
0,0,8,1,53.1,0,0,13.6,19.8,90,5,0,0,0,0,0,63.0,3,58,True,0,3
0,0,5,1,12.8,0,0,7.7,9.8,90,16,0,0,0,0,0,54.0,3,58,False,0,3
1,0,22,1,35.8,0,0,8.2,27.4,84,15,0,0,0,0,0,19.0,6,58,True,0,3
0,0,13,0,35.6,1,0,5.9,5.2,85,2,0,0,0,0,0,18.0,2,58,True,0,3
0,0,23,0,16.9,1,1,7.7,41.0,57,3,0,0,0,0,0,19.0,6,58,False,0,3
0,0,20,0,5.5,2,1,9.5,33.2,90,19,0,0,0,0,0,56.0,7,58,True,0,3
