assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,6,0,58.3,0,0,9.6,12.0,34,4,0,0,0,0,0,26.0,1,65,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,65,False,0,3
0,0,9,0,27.5,1,0,7.0,14.8,78,11,0,0,0,0,0,28.0,2,64,True,0,3
0,0,5,1,29.8,0,0,6.2,6.0,72,7,0,0,0,0,0,26.0,3,64,False,0,3
0,0,8,0,5.9,1,0,2.3,2.4,75,3,0,0,0,0,0,15.0,2,64,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,64,False,0,3
0,0,9,1,25.1,0,0,7.7,18.4,70,20,0,0,0,0,0,33.0,3,63,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,63,True,0,3
0,0,8,1,12.9,0,0,1.7,4.0,90,2,0,0,0,0,0,0.0,3,63,False,0,3
0,0,8,1,27.3,0,0,6.7,17.6,77,15,0,0,0,0,0,22.0,3,63,True,0,3
0,0,2,0,0.0,1,0,0.2,0.0,17,13,0,0,0,0,0,2.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,62,True,0,3
0,0,5,0,15.3,0,0,2.4,1.0,22,9,0,0,0,0,0,8.0,1,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,62,True,0,3
0,0,4,0,0.5,0,0,0.8,0.2,9,17,0,0,0,0,0,7.0,1,61,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,61,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,61,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,61,False,0,3
