assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,1,26,0,2.8,2,1,8.2,24.6,85,18,0,0,0,0,0,55.0,11,90,False,0,3
0,0,0,0,12.3,0,0,5.1,10.4,29,6,0,0,0,0,0,28.0,1,91,True,0,3
1,0,39,1,25.3,0,1,19.9,70.4,90,1,0,0,0,0,0,103.0,11,90,True,0,3
0,0,4,0,13.8,1,0,4.7,7.8,45,11,0,0,0,0,0,25.0,1,91,False,0,3
0,3,27,0,35.8,1,1,17.4,51.2,90,4,0,0,0,0,0,87.0,10,91,True,0,3
0,0,20,0,15.9,2,1,13.0,35.4,90,9,0,0,0,0,0,79.0,7,92,False,0,3
0,0,10,0,25.8,1,0,4.1,5.2,83,13,0,0,0,0,0,10.0,2,92,False,0,3
0,0,4,1,29.0,0,0,6.8,10.4,77,12,0,0,0,0,0,29.0,3,92,True,0,3
0,0,21,0,24.2,4,1,13.5,46.2,90,17,0,0,0,0,0,65.0,7,92,False,0,3
1,0,5,1,16.9,0,0,10.2,27.8,80,8,0,1,0,0,0,57.0,4,92,True,0,3
0,3,48,0,37.6,1,2,17.3,76.6,90,20,0,0,0,0,0,59.0,15,93,False,0,3
0,3,40,1,27.3,0,2,16.2,68.2,79,14,0,0,0,0,0,66.0,16,95,True,0,3
0,0,23,0,26.7,1,1,15.6,41.2,90,5,0,0,0,0,0,88.0,7,96,True,0,3
0,2,40,0,14.8,0,2,11.7,68.4,23,15,0,0,0,0,0,34.0,13,97,False,0,3
1,0,14,0,29.3,1,0,9.2,21.6,79,3,0,0,0,0,0,41.0,5,98,False,0,3
0,3,37,1,80.5,0,1,22.2,51.2,66,7,0,0,0,0,0,90.0,11,99,True,0,3
0,0,5,1,20.3,0,0,5.1,5.0,90,19,0,0,0,0,0,26.0,3,99,True,0,3
0,0,26,1,23.2,0,1,11.9,39.6,70,2,0,0,0,0,0,56.0,8,100,False,0,3
1,0,28,0,17.0,3,1,11.7,43.4,90,1,0,0,0,0,0,57.0,10,100,False,0,3
2,0,27,1,37.8,0,0,14.7,43.4,68,16,0,0,0,0,0,66.0,9,101,True,0,3
0,2,27,0,4.7,1,2,15.0,61.4,82,9,0,0,0,0,0,84.0,14,101,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,101,False,0,3
1,1,40,0,27.5,2,1,16.5,59.6,87,11,0,0,0,0,0,78.0,11,101,True,0,3
0,0,9,0,46.8,1,0,9.4,7.2,90,16,0,0,0,0,0,40.0,2,102,False,0,3
0,0,26,1,7.7,0,1,8.0,35.2,82,8,0,0,0,0,0,37.0,8,103,False,0,3
0,3,42,0,18.2,2,2,16.6,71.8,90,17,0,0,0,0,0,76.0,15,103,True,0,3
1,2,36,1,38.1,0,1,12.4,53.0,88,14,0,0,0,0,0,33.0,13,104,False,0,3
1,0,30,0,31.8,1,1,16.4,56.4,86,20,0,0,0,0,0,76.0,10,105,True,0,3
0,0,26,1,37.0,0,1,16.3,39.4,90,13,0,0,0,0,0,87.0,8,105,True,0,3
0,0,4,0,16.8,2,0,3.1,6.6,90,12,0,0,0,0,0,8.0,2,106,False,0,3
1,3,93,1,38.1,0,4,30.4,163.6,90,18,0,0,0,0,0,102.0,29,106,True,0,3
0,0,26,0,48.3,1,1,15.1,51.4,90,6,0,0,0,0,0,51.0,7,107,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,106,False,0,3
0,0,25,1,30.2,0,1,15.3,42.6,90,2,0,0,0,0,0,80.0,8,105,True,0,3
