assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,4,0,1.2,0,0,0.2,1.0,21,7,0,0,0,0,0,0.0,1,70,False,0,4
0,0,1,0,0.7,0,0,0.4,0.0,18,18,0,0,0,0,0,5.0,1,70,True,0,4
0,0,6,0,10.8,1,0,2.1,2.0,28,2,0,0,0,0,0,8.0,1,69,False,0,4
1,0,15,0,12.3,2,0,5.0,17.2,75,20,0,0,0,0,0,20.0,5,68,True,0,4
0,0,1,0,1.4,1,0,0.5,0.0,19,3,0,0,0,0,0,4.0,1,68,False,0,4
0,0,2,0,18.8,2,0,9.8,0.0,90,15,0,0,0,0,0,80.0,2,67,True,0,4
0,0,3,0,0.0,1,0,0.3,1.0,16,11,0,0,0,0,0,2.0,1,66,True,0,4
0,0,-1,0,1.3,0,0,0.4,0.2,16,5,0,0,0,0,0,2.0,1,66,False,0,4
0,0,4,0,0.0,0,0,0.2,2.2,4,19,0,0,0,0,0,0.0,1,66,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,65,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,65,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,65,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,65,True,0,4
0,0,1,0,0.3,1,0,2.3,2.2,12,9,0,0,0,0,0,20.0,1,64,False,0,4
0,0,-1,0,0.3,1,0,0.2,0.0,30,10,0,0,0,0,0,3.0,1,64,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,64,True,0,4
0,0,0,0,0.0,1,0,0.0,0.0,18,12,0,0,0,0,0,2.0,1,64,False,0,4
0,0,1,0,0.1,0,0,0.0,0.0,10,1,0,0,0,0,0,0.0,1,64,True,0,4
0,0,0,0,10.3,0,0,1.3,1.0,13,5,0,0,0,0,0,2.0,1,64,True,0,4
0,0,0,0,13.7,1,0,11.1,4.0,60,13,0,0,0,0,0,93.0,2,64,False,0,4
0,0,4,0,2.2,0,0,0.8,0.0,24,11,0,0,0,0,0,6.0,1,64,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,64,True,0,4
0,0,7,0,12.3,1,0,1.9,2.4,73,19,0,0,0,0,0,4.0,2,64,False,0,4
0,3,31,1,2.1,0,1,9.0,44.6,70,13,0,0,0,0,0,43.0,9,64,True,0,4
1,0,10,0,10.1,0,0,3.1,17.2,25,18,0,0,0,0,0,4.0,4,64,False,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,64,True,0,4
0,0,2,0,0.0,0,0,0.0,0.0,8,1,0,0,0,0,0,1.0,1,64,False,0,4
0,0,3,0,1.3,0,0,2.4,4.0,8,12,0,0,0,0,0,19.0,1,64,True,0,4
0,0,2,0,0.6,0,0,0.0,0.0,32,6,0,0,0,0,0,0.0,1,64,False,0,4
0,0,3,0,0.0,0,0,0.0,0.0,1,10,0,0,0,0,0,0.0,1,63,True,0,4
0,0,-2,0,0.0,0,0,0.0,0.0,11,14,0,0,0,0,0,0.0,0,63,False,1,4
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,63,True,0,4
0,0,4,0,0.0,0,0,2.1,4.0,13,17,0,0,0,0,0,17.0,1,63,False,0,4
0,0,2,0,1.0,0,0,0.3,0.2,22,16,0,0,0,0,0,2.0,1,63,True,0,4
0,0,1,0,0.6,1,0,0.3,0.0,27,20,0,0,0,0,0,2.0,1,63,False,0,4
0,0,1,0,0.3,0,0,0.0,0.0,17,2,0,0,0,0,0,1.0,1,63,True,0,4
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,63,False,0,4
