assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,2,0,0.4,0,0,0.0,0.0,5,8,0,0,0,0,0,0.0,1,45,True,0,3
0,0,-3,0,1.8,0,0,0.3,0.0,21,11,0,0,0,0,0,2.0,0,45,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,44,False,0,3
0,0,3,0,0.3,0,0,0.1,0.2,2,4,0,0,0,0,0,0.0,1,44,True,0,3
0,0,4,0,10.0,0,0,1.2,2.0,3,14,0,0,0,0,0,0.0,1,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,44,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,44,False,0,3
0,0,9,0,18.0,0,0,2.7,9.4,28,17,0,0,0,0,0,0.0,1,43,True,0,3
0,0,2,0,4.1,1,0,0.3,0.0,5,1,0,0,0,0,0,1.0,1,43,False,0,3
0,0,9,0,1.7,1,0,0.6,3.8,45,10,0,0,0,0,0,0.0,1,43,True,0,3
0,0,1,0,2.1,1,0,0.7,0.0,17,5,0,0,0,0,0,5.0,1,43,False,0,3
1,0,16,0,11.4,1,0,3.0,18.6,71,6,0,0,0,0,0,0.0,5,43,True,0,3
0,0,2,0,16.0,0,0,2.6,2.0,30,15,0,0,0,0,0,8.0,1,43,False,0,3
0,0,9,1,27.6,0,0,3.4,4.2,74,2,0,0,0,0,0,2.0,3,43,True,0,3
0,0,3,0,1.0,1,0,1.2,3.8,27,12,0,0,0,0,0,7.0,1,43,True,0,3
0,0,7,1,3.5,0,0,0.7,1.2,62,9,0,0,0,0,0,2.0,3,43,False,0,3
0,0,2,0,0.0,0,0,2.0,3.0,5,17,0,0,0,0,0,17.0,1,43,False,0,3
0,0,2,0,1.7,2,0,0.1,0.0,26,7,0,0,0,0,0,0.0,1,43,True,0,3
0,0,1,0,1.1,1,0,0.2,1.0,18,13,0,0,0,0,0,0.0,1,43,False,0,3
0,0,2,0,0.2,1,0,0.1,0.4,9,11,0,0,0,0,0,0.0,1,43,True,0,3
0,0,2,0,0.3,0,0,0.1,0.4,1,19,0,0,0,0,0,0.0,1,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,43,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,43,False,0,3
0,0,4,0,3.8,1,0,0.9,1.4,24,10,0,0,0,0,0,4.0,1,43,False,0,3
0,0,0,1,19.8,0,0,3.0,1.8,63,5,0,0,0,0,0,8.0,3,43,True,0,3
0,0,3,0,0.1,1,0,0.1,0.4,8,6,0,0,0,0,0,0.0,1,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,43,True,0,3
0,0,3,0,0.4,1,0,0.9,0.6,21,16,0,0,0,0,0,8.0,1,43,False,0,3
0,0,20,1,55.3,0,0,8.0,16.6,72,3,0,0,0,0,0,8.0,3,43,True,0,3
0,0,2,0,0.5,0,0,0.1,0.2,1,1,0,0,0,0,0,0.0,1,43,True,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,18,0,0,0,0,0,0.0,1,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,43,True,0,3
0,0,5,0,0.0,0,0,0.2,2.2,6,12,0,0,0,0,0,0.0,1,43,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,50,True,0,3
0,0,13,0,25.6,1,0,3.7,3.2,66,5,0,0,0,0,0,8.0,2,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,49,False,0,3
0,0,3,0,12.3,1,0,1.5,2.6,20,6,0,0,0,0,0,0.0,1,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,3
