assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,0.6,0,0,0.1,0.2,6,2,0,0,0,0,0,0.0,1,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,50,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,48,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,46,True,0,3
0,0,3,0,0.7,0,0,0.1,0.2,2,16,0,0,0,0,0,0.0,1,46,False,0,3
0,0,3,0,3.6,1,0,0.7,1.2,6,1,0,0,0,0,0,2.0,1,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,46,False,0,3
0,0,1,0,0.3,0,0,0.0,0.0,26,10,0,0,0,0,0,0.0,1,46,True,0,3
0,0,3,0,1.5,0,0,0.5,3.6,32,5,0,0,0,0,0,0.0,1,46,False,0,3
0,0,18,0,12.1,1,0,6.4,26.0,90,14,0,0,0,0,0,26.0,2,46,False,0,3
0,0,16,0,6.8,3,0,2.2,11.4,90,2,0,0,0,0,0,4.0,1,46,True,1,3
0,0,19,1,1.8,0,0,2.0,18.6,90,12,0,0,0,0,0,0.0,3,46,False,0,3
0,0,23,1,25.1,0,0,8.3,29.4,90,15,0,0,0,0,0,28.0,3,46,True,0,3
0,0,7,0,0.8,3,0,0.4,3.0,90,17,0,0,0,0,0,0.0,2,46,False,0,3
0,1,33,1,15.4,0,1,8.5,48.8,90,19,0,0,0,0,0,21.0,9,46,True,0,3
0,0,10,0,3.4,0,0,0.8,4.2,29,7,0,0,0,0,0,0.0,1,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,46,False,0,3
0,0,18,0,2.3,2,0,1.4,11.8,72,8,0,0,0,0,0,0.0,2,46,True,0,3
0,0,19,0,3.8,1,0,1.6,10.0,90,3,0,0,0,0,0,2.0,2,46,True,0,3
0,0,11,1,1.8,0,0,1.6,13.8,90,20,0,0,0,0,0,0.0,3,46,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,46,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,16,0,0,0,0,0,0.0,0,46,False,0,3
0,0,15,1,7.8,0,0,3.5,19.8,90,18,0,0,0,0,0,7.0,3,45,True,0,3
0,0,12,0,24.5,3,0,3.9,14.2,90,1,0,0,0,0,0,0.0,1,45,False,1,3
0,0,17,1,2.3,0,0,2.4,20.0,90,15,0,0,0,0,0,2.0,3,50,True,0,3
0,0,-1,0,1.1,1,0,0.3,2.2,87,11,0,0,0,1,0,0.0,-1,50,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,50,False,0,3
0,0,14,0,1.8,3,0,2.5,21.0,90,17,0,0,0,0,0,2.0,2,50,True,0,3
0,0,17,0,3.4,4,0,1.6,13.0,90,12,0,0,0,0,0,0.0,2,50,False,0,3
0,0,14,0,12.8,1,0,3.8,24.8,90,2,0,0,0,0,0,0.0,1,50,True,1,3
0,0,13,0,23.6,1,0,5.0,12.8,62,4,0,0,0,0,0,14.0,2,50,True,0,3
0,0,17,0,2.7,1,0,1.5,12.4,90,3,0,0,0,0,0,0.0,2,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,49,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,49,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,48,True,0,3
0,0,4,0,1.6,2,0,0.4,2.6,45,6,0,0,0,0,0,0.0,1,48,False,0,3
0,0,14,0,2.5,4,0,1.0,7.8,90,14,0,0,0,0,0,0.0,2,48,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,48,True,0,3
0,0,3,0,0.3,0,0,0.1,0.6,24,8,0,0,0,0,0,0.0,1,47,True,0,3
0,0,1,0,0.3,0,0,0.7,6.4,45,10,0,0,0,0,0,0.0,0,47,False,1,3
0,0,19,1,2.1,0,0,1.8,16.0,90,13,0,0,0,0,0,0.0,3,47,False,0,3
0,0,15,0,11.8,1,0,1.8,6.4,60,16,0,0,0,0,0,0.0,2,47,True,0,3
0,0,23,1,11.3,0,0,4.4,30.6,90,5,0,0,0,0,0,2.0,3,47,True,0,3
0,0,15,1,2.9,0,0,2.1,15.6,90,19,0,0,0,0,0,2.0,3,47,False,0,3
0,0,12,0,11.4,2,0,2.6,14.8,90,2,0,0,0,0,0,0.0,2,47,False,0,3
0,0,13,0,2.9,2,0,2.0,17.0,90,12,0,0,0,0,0,0.0,2,47,True,0,3
0,0,3,0,0.5,1,0,0.3,2.4,18,17,0,0,0,0,0,0.0,1,47,False,0,3
0,0,6,0,3.7,1,0,1.2,4.4,90,19,0,0,0,0,0,4.0,1,47,True,1,3
0,0,3,0,0.1,0,0,0.1,0.4,9,9,0,0,0,0,0,0.0,1,47,True,0,3
0,0,17,0,8.5,5,0,3.1,20.6,90,1,0,0,0,0,0,2.0,2,47,False,0,3
0,0,3,0,0.1,1,0,0.0,0.2,10,6,0,0,0,0,0,0.0,1,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,True,0,3
0,0,3,0,0.3,0,0,0.1,0.4,3,15,0,0,0,0,0,0.0,1,47,False,0,3
0,0,10,0,1.2,3,0,1.8,16.8,90,11,0,0,0,0,0,0.0,2,47,True,0,3
0,0,15,1,12.4,0,0,2.4,11.6,90,10,0,0,0,0,0,0.0,3,47,True,0,3
0,1,20,0,13.0,1,0,3.6,23.2,90,16,0,0,0,0,0,0.0,3,47,False,0,3
0,0,14,0,2.8,0,0,1.3,10.6,51,13,0,0,0,0,0,0.0,1,47,True,0,3
0,0,17,1,3.5,0,0,2.3,17.4,90,8,0,0,0,0,0,2.0,3,47,False,0,3
0,0,10,0,17.5,1,0,3.5,17.4,90,14,0,0,0,0,0,0.0,1,47,True,1,3
0,0,13,0,0.8,3,0,3.5,11.8,90,20,0,0,0,0,0,22.0,2,47,False,0,3
0,0,1,1,13.1,0,0,2.5,11.4,75,7,0,0,0,1,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,True,0,3
0,0,15,0,5.1,2,0,2.3,16.4,90,2,0,0,0,0,0,1.0,2,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,3
0,0,16,0,2.5,3,0,1.7,14.2,90,3,0,0,0,0,0,0.0,1,45,False,1,3
0,0,11,0,2.1,1,0,0.9,4.2,54,15,0,0,0,0,0,3.0,1,45,True,0,3
0,0,7,0,2.8,2,0,0.9,6.0,80,11,0,0,0,0,0,0.0,1,45,True,1,3
0,0,8,0,13.4,1,0,1.4,0.2,83,5,0,0,0,0,0,0.0,2,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,3
