assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,55,False,0,3
0,0,0,0,0.5,0,0,0.2,1.4,13,10,0,0,0,0,0,0.0,0,55,True,1,3
0,0,24,0,1.3,0,1,7.4,41.2,37,4,0,0,0,0,0,31.0,5,54,False,1,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,54,True,0,3
0,3,41,1,11.3,0,1,9.3,49.4,73,15,0,0,0,0,0,32.0,11,54,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,54,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,53,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,53,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,52,True,0,3
0,0,5,0,0.3,1,0,0.5,2.6,6,11,0,0,0,0,0,2.0,1,52,False,0,3
0,0,1,0,0.6,2,0,0.7,3.0,90,8,0,0,0,0,0,3.0,2,52,True,0,3
0,0,-1,0,0.9,1,0,3.4,5.0,14,1,0,0,0,0,0,28.0,1,52,False,0,3
1,0,24,0,12.8,1,0,5.1,29.8,90,18,0,0,0,0,0,8.0,5,52,True,0,3
0,0,-1,0,2.0,1,0,1.0,3.0,71,14,0,0,0,0,0,5.0,1,52,True,1,3
0,0,12,0,12.8,1,0,3.3,3.2,72,13,0,0,0,0,0,17.0,2,52,False,0,3
0,0,11,0,25.8,1,0,4.2,11.6,90,19,0,0,0,0,0,5.0,2,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,52,False,0,3
0,0,6,0,15.1,0,0,5.2,11.6,27,7,0,0,0,0,0,25.0,1,52,True,0,3
0,0,-3,0,0.7,0,0,1.9,6.2,57,17,0,0,0,0,0,12.0,0,52,True,1,3
0,0,0,0,0.3,0,0,0.0,0.0,12,9,0,0,0,0,0,0.0,1,52,False,0,3
0,0,6,0,0.8,1,0,2.4,6.6,19,20,0,0,0,0,0,17.0,1,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,52,False,0,3
0,0,4,0,4.5,3,0,3.8,6.4,81,10,0,0,0,0,0,27.0,2,52,False,0,3
0,0,6,0,14.3,1,0,3.0,9.2,51,5,0,0,0,0,0,6.0,1,52,True,0,3
1,0,23,1,49.4,0,0,11.4,34.2,90,2,0,0,0,0,0,30.0,6,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,52,False,0,3
0,0,-7,0,0.0,1,0,0.1,0.0,27,13,0,0,0,1,0,4.0,-2,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,52,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,52,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,52,False,0,3
