assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,13,14,0,0,0,0,4,0,0,False,1
0,0,1,0,0,90,15,0,0,0,0,5,0,3,True,0
0,0,0,1,0,69,12,0,0,0,0,6,0,2,False,0
0,0,1,0,0,71,10,0,0,0,0,7,0,3,True,0
0,0,1,0,0,64,19,0,0,0,0,8,0,3,False,0
0,0,0,0,0,19,2,0,0,0,0,9,0,1,False,0
0,0,0,0,0,0,8,0,0,0,0,10,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,11,0,0,False,0
0,0,0,0,0,0,20,0,0,0,0,12,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,13,0,0,False,0
1,0,0,0,0,20,16,0,0,0,0,14,0,4,True,0
0,0,0,0,0,34,11,0,0,0,0,15,0,1,False,0
0,0,1,0,0,84,7,0,0,0,0,16,0,3,True,0
1,0,0,0,0,28,3,0,0,0,0,17,0,3,True,1
1,0,0,1,0,73,13,0,0,0,0,18,0,5,False,0
0,0,0,0,0,0,18,0,0,0,0,19,0,0,False,0
0,0,0,0,0,5,4,0,0,0,0,20,0,1,True,0
0,0,0,0,0,0,19,0,0,0,0,21,0,0,True,0
0,0,0,0,0,13,10,0,0,0,0,22,0,1,False,0
0,0,0,0,0,18,15,0,0,0,0,23,0,1,False,0
0,0,0,0,0,10,12,0,0,0,0,24,0,1,True,0
0,0,0,0,0,14,9,0,0,0,0,25,0,1,False,0
0,0,0,0,0,0,14,0,0,0,0,26,0,0,True,0
0,0,0,1,0,4,6,0,0,0,0,27,0,1,True,0
0,0,0,0,0,0,13,0,0,0,0,29,0,0,True,0
0,0,0,0,0,44,3,0,0,0,0,30,0,1,False,0
0,0,0,1,0,60,16,0,0,0,0,31,0,2,False,0
0,0,0,0,0,16,18,0,0,0,0,32,0,1,True,0
0,0,0,0,0,7,2,0,0,0,0,33,0,1,True,0
0,0,0,0,0,45,5,0,0,0,0,34,0,1,False,0
0,0,0,0,0,1,1,0,0,0,0,35,0,1,True,0
0,0,0,0,0,0,20,0,0,0,0,36,0,0,False,0
0,0,0,0,0,0,11,0,0,0,0,37,0,0,True,0
0,0,0,1,0,89,8,0,0,0,0,37,0,1,False,1
0,0,0,0,0,18,7,0,0,0,0,38,0,1,False,00,0,0,0,0,57,13,0,0,0,0,1,0,1,False,0
0,0,0,1,0,10,5,0,0,0,0,2,0,1,True,0
0,0,0,1,0,20,4,0,0,0,0,3,0,1,True,0
0,0,1,0,0,77,7,0,0,0,0,4,0,3,False,0
0,0,1,0,0,62,16,0,0,0,0,5,0,3,True,0
0,0,0,1,0,77,20,0,0,0,0,6,0,2,False,0
0,0,0,0,1,15,8,0,0,0,0,7,0,6,False,0
0,0,0,0,0,15,2,0,0,0,0,8,0,1,True,0
0,0,0,0,0,21,10,0,0,0,0,9,0,1,True,0
