assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,15,0,4.3,4,0,3.2,23.4,90,9,0,0,0,0,0,4.0,0,60,True,0,2
0,3,31,1,15.1,0,0,4.6,23.0,90,8,0,0,0,0,0,8.0,9,60,False,0,2
0,0,16,0,1.7,1,0,1.3,11.2,73,18,0,0,0,0,0,0.0,2,60,False,0,2
0,0,20,0,14.6,1,0,5.2,16.6,90,13,0,0,0,0,0,21.0,1,60,True,1,2
0,0,11,0,4.9,1,0,1.8,8.8,90,7,0,0,0,0,0,4.0,2,60,False,0,2
0,0,30,1,4.5,0,0,2.1,14.4,90,4,0,0,0,0,0,2.0,6,60,True,0,2
0,1,33,1,3.7,0,0,2.3,19.4,90,3,0,0,0,0,0,0.0,7,60,False,0,2
0,0,14,0,17.9,2,0,4.5,20.6,90,16,0,0,0,0,0,6.0,1,60,True,0,2
0,0,22,1,6.4,0,0,2.4,13.2,90,12,0,0,0,0,0,4.0,6,60,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,60,False,0,2
0,0,21,0,4.7,1,0,2.5,18.4,90,17,0,0,0,0,0,2.0,2,60,True,0,2
0,0,11,0,3.9,1,0,1.4,10.4,90,11,0,0,0,0,0,0.0,2,59,False,0,2
1,0,26,0,17.2,1,0,5.1,27.6,90,2,0,0,0,0,0,6.0,5,59,True,0,2
0,0,12,0,12.5,1,0,3.2,11.8,90,20,0,0,0,0,0,8.0,2,59,False,0,2
0,0,14,0,7.4,1,0,2.2,14.2,90,14,0,0,0,0,0,0.0,2,59,True,0,2
0,0,7,0,13.5,2,0,4.9,11.8,90,6,0,0,0,0,0,24.0,1,59,False,0,2
0,0,17,0,15.3,2,0,4.4,28.2,90,10,0,0,0,0,0,0.0,1,59,False,0,2
0,0,5,0,1.5,0,0,0.8,6.6,20,19,0,0,0,0,0,0.0,1,59,True,0,2
0,0,27,1,5.6,0,0,2.6,12.2,90,5,0,0,0,0,0,8.0,5,59,True,1,2
0,0,10,0,3.3,3,0,1.8,8.6,90,2,0,0,0,0,0,6.0,1,59,False,0,2
0,0,32,1,3.3,0,0,1.9,16.0,90,16,0,0,0,0,0,0.0,6,59,False,0,2
0,0,16,0,13.8,1,0,4.0,13.0,90,3,0,0,0,0,0,13.0,2,59,True,0,2
0,0,10,0,4.8,2,0,2.1,7.6,90,18,0,0,0,0,0,9.0,0,59,True,1,2
1,2,27,0,23.4,3,0,5.6,30.2,90,4,0,0,0,0,0,2.0,6,59,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,59,True,0,2
0,0,16,0,16.4,3,0,3.8,21.4,90,9,0,0,0,0,0,0.0,1,59,False,0,2
0,0,20,0,5.0,3,0,5.6,13.4,90,19,0,0,0,0,0,38.0,1,58,False,0,2
0,0,15,0,4.0,2,0,2.4,18.6,90,10,0,0,0,0,0,1.0,1,58,True,0,2
0,0,26,1,3.9,0,0,1.8,9.6,90,20,0,0,0,0,0,4.0,6,58,True,0,2
0,0,16,0,13.9,3,0,2.4,7.8,90,5,0,0,0,0,0,2.0,1,58,False,0,2
0,0,20,0,4.1,1,0,3.1,12.8,90,12,0,0,0,0,0,14.0,2,58,False,0,2
1,3,33,1,4.2,0,0,2.4,10.2,90,8,0,0,0,0,0,10.0,12,58,True,0,2
0,0,10,0,0.9,2,0,1.4,10.8,90,17,0,0,0,0,0,2.0,0,58,False,1,2
0,0,24,1,3.5,0,0,1.8,12.2,90,11,0,0,0,0,0,2.0,6,58,True,0,2
0,0,24,1,2.2,0,0,3.2,19.6,90,13,0,0,0,0,0,10.0,6,58,False,0,2
0,0,11,0,4.7,1,0,2.8,14.2,90,14,0,0,0,0,0,9.0,2,59,False,0,2
0,0,24,1,11.8,0,0,3.3,20.0,90,15,0,0,0,0,0,1.0,5,59,True,1,2
0,0,15,0,2.4,1,0,1.9,16.2,90,6,0,0,0,0,0,0.0,2,59,True,0,2
0,0,24,0,1.3,3,0,3.2,30.2,90,9,0,0,0,0,0,0.0,1,55,True,0,2
0,0,19,0,16.1,1,0,3.7,21.0,90,15,0,0,0,0,0,0.0,2,55,False,0,2
0,0,17,0,2.3,4,0,2.1,14.4,90,10,0,0,0,0,0,4.0,0,55,False,0,2
0,1,34,1,1.5,0,0,2.5,23.8,90,2,0,0,0,0,0,0.0,7,54,True,0,2
0,3,30,1,12.5,0,0,5.4,23.2,90,5,0,0,0,0,0,18.0,9,54,False,0,2
0,1,29,1,2.4,0,0,4.2,35.2,90,19,0,0,0,0,0,4.0,7,54,True,0,2
0,3,44,1,29.2,0,1,10.3,57.2,90,3,0,0,0,0,0,17.0,15,54,True,0,2
0,0,12,0,1.1,2,0,2.0,15.8,90,18,0,0,0,0,0,3.0,1,55,False,0,2
0,0,36,0,3.6,2,1,8.2,61.8,90,7,0,0,0,0,0,17.0,7,55,False,0,2
0,0,18,0,41.8,1,0,7.6,24.0,90,16,0,0,0,0,0,10.0,2,56,True,0,2
0,0,9,0,0.9,3,0,1.2,10.8,90,11,0,0,0,0,0,0.0,0,56,False,1,2
0,0,25,1,1.4,0,0,1.8,16.6,90,17,0,0,0,0,0,0.0,5,56,True,1,2
0,0,25,1,3.5,0,0,2.1,12.8,90,4,0,0,0,0,0,5.0,6,56,False,0,2
0,0,28,1,2.7,0,0,5.5,30.0,90,8,0,0,0,0,0,22.0,6,56,True,0,2
0,0,20,0,12.8,3,0,5.7,26.8,90,12,0,0,0,0,0,17.0,1,57,True,0,2
0,0,12,0,6.7,1,0,1.7,7.2,90,14,0,0,0,0,0,3.0,2,57,False,0,2
0,2,32,1,1.8,0,0,2.8,24.4,90,20,0,0,0,0,0,2.0,8,57,False,0,2
0,0,24,1,1.3,0,0,2.7,23.2,90,13,0,0,0,0,0,2.0,5,58,True,1,2
0,0,11,0,0.3,1,0,0.7,7.0,45,10,0,0,0,0,0,0.0,1,58,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,58,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,57,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,56,False,0,2
2,3,53,0,35.4,0,1,15.1,78.8,33,6,0,0,0,0,0,37.0,16,56,True,0,2
0,1,27,0,19.1,3,1,10.8,53.4,90,16,0,0,0,0,0,35.0,8,56,False,0,2
0,0,2,0,0.8,0,0,5.5,9.2,45,7,0,0,0,0,0,45.0,1,57,True,0,2
0,0,12,0,6.8,1,0,2.1,11.8,90,17,0,0,0,0,0,2.0,2,57,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,55,True,0,2
0,0,23,1,11.6,0,0,4.9,15.2,90,15,0,0,0,0,0,22.0,6,55,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,56,True,0,2
0,0,8,0,5.8,2,0,2.1,11.2,90,13,0,0,0,0,0,4.0,1,56,False,0,2
0,1,22,0,14.5,1,1,9.1,40.2,90,20,0,0,0,0,0,36.0,9,56,True,0,2
0,0,5,0,0.7,1,0,0.6,5.6,26,12,0,0,0,0,0,0.0,1,56,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,57,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,57,False,0,2
0,0,3,0,0.8,0,0,0.4,2.8,22,8,0,0,0,0,0,0.0,1,57,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,55,True,0,2
0,0,14,0,16.2,3,0,5.3,15.2,90,6,0,0,0,0,0,22.0,1,55,False,0,2
0,2,27,0,2.9,1,1,11.4,43.4,90,19,0,0,0,0,0,68.0,10,55,True,0,2
0,0,9,0,5.8,2,0,5.5,18.8,90,5,0,0,0,0,0,30.0,0,55,False,1,2
0,0,12,0,5.2,1,0,2.6,19.0,90,15,0,0,0,0,0,2.0,2,55,False,0,2
0,0,20,1,15.2,0,0,5.4,15.4,90,8,0,0,0,0,0,23.0,6,55,True,0,2
