assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,3,28,0,49.1,1,1,15.9,47.2,90,18,0,0,0,0,0,63.0,10,60,True,0,3
0,0,16,0,30.2,2,0,4.7,6.8,90,11,0,0,0,0,0,10.0,2,60,False,0,3
0,0,7,0,30.5,1,0,7.1,9.8,90,15,0,0,0,0,0,31.0,1,61,True,1,3
0,0,10,0,32.3,2,0,5.5,3.2,90,1,0,0,0,0,0,19.0,2,61,False,0,3
0,0,13,1,52.8,0,0,9.4,10.6,90,16,0,0,0,0,0,31.0,3,61,True,0,3
0,0,4,1,27.8,0,0,9.4,6.0,90,20,0,0,0,0,0,60.0,3,60,False,0,3
0,0,8,1,20.1,0,0,4.8,4.4,90,8,0,0,0,0,0,23.0,3,60,False,0,3
0,2,39,0,41.3,1,1,20.2,49.2,87,3,0,0,0,0,0,111.0,9,59,True,0,3
0,2,24,0,13.2,1,1,9.0,44.0,90,10,0,0,0,0,0,33.0,9,59,False,0,3
0,0,2,0,13.0,2,0,2.1,2.0,90,4,0,0,0,0,0,6.0,2,59,True,0,3
0,0,13,0,34.2,2,0,6.3,6.4,76,7,0,0,0,0,0,22.0,2,60,False,0,3
0,0,3,1,3.3,0,0,0.5,1.2,90,9,0,0,0,0,0,0.0,3,60,True,0,3
0,0,13,1,27.7,0,0,4.4,8.8,78,6,0,0,0,0,0,7.0,3,60,True,0,3
0,0,21,0,25.3,3,0,5.2,16.2,90,5,0,0,0,0,0,10.0,2,60,False,0,3
0,0,11,0,25.3,0,0,5.0,9.0,45,12,0,0,0,0,0,16.0,1,60,True,0,3
0,0,9,1,15.2,0,0,3.4,0.0,65,14,0,0,0,0,0,19.0,3,60,False,0,3
1,0,17,0,31.1,1,0,9.4,21.0,90,2,0,0,0,0,0,42.0,5,59,False,0,3
0,0,-11,0,12.4,4,0,1.0,0.0,56,17,0,0,0,1,0,4.0,-2,59,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,59,True,0,3
0,0,7,0,6.0,3,0,5.3,7.6,90,6,0,0,0,0,0,39.0,2,58,False,0,3
0,0,6,0,23.3,1,0,7.9,5.6,79,3,0,0,0,0,0,50.0,2,58,False,0,3
0,0,17,1,29.6,0,0,8.1,13.2,90,8,0,0,0,0,0,38.0,3,58,True,0,3
0,0,1,0,3.8,2,0,3.1,0.0,75,16,0,0,0,0,0,29.0,2,58,False,0,3
0,0,2,0,16.9,1,0,2.4,0.0,45,20,0,0,0,0,0,7.0,1,58,True,0,3
0,0,20,1,32.8,0,0,9.1,21.6,90,15,0,0,0,0,0,37.0,3,58,False,0,3
0,2,53,0,59.3,3,2,19.5,91.0,90,18,0,0,0,0,0,45.0,14,58,False,0,3
0,0,7,0,14.7,2,0,2.1,4.6,79,17,0,0,0,0,0,2.0,1,58,False,1,3
0,0,13,1,15.0,0,0,4.2,10.2,90,2,0,0,0,0,0,17.0,3,59,True,0,3
0,3,34,0,62.1,1,1,16.6,50.4,89,5,0,0,0,0,0,53.0,10,59,True,0,3
0,0,19,1,42.5,0,0,10.4,15.6,70,19,0,0,0,0,0,46.0,3,59,False,0,3
0,0,15,0,4.4,3,0,2.3,10.2,90,10,0,0,0,0,0,8.0,2,59,True,0,3
0,0,4,0,5.1,1,0,1.0,4.6,23,4,0,0,0,0,0,0.0,1,59,False,0,3
0,0,4,1,12.8,0,0,1.3,0.0,86,7,0,0,0,0,0,3.0,3,59,True,0,3
0,0,6,0,0.6,0,0,0.8,3.6,31,9,0,0,0,0,0,4.0,1,59,False,0,3
0,0,10,0,19.8,1,0,7.4,19.6,69,1,0,0,0,0,0,35.0,2,59,True,0,3
0,1,23,0,4.1,1,1,6.1,31.4,45,12,0,0,0,0,0,25.0,7,59,False,0,3
0,0,11,1,33.0,0,0,8.5,9.4,90,11,0,0,0,0,0,43.0,3,59,True,0,3
0,0,4,0,9.7,1,0,4.4,1.2,90,14,0,0,0,0,0,33.0,2,59,True,0,3
0,0,8,1,67.0,0,0,10.9,9.2,90,16,0,0,0,0,0,33.0,2,65,True,1,3
1,0,18,0,36.5,2,0,9.0,25.2,90,20,0,0,0,0,0,28.0,5,65,True,0,3
0,0,0,1,16.1,0,0,4.8,7.8,90,8,0,0,0,0,0,24.0,3,65,False,0,3
0,0,7,0,19.7,2,0,4.6,8.2,90,18,0,0,0,0,0,18.0,2,65,True,0,3
0,0,8,1,28.8,0,0,6.8,10.8,84,6,0,0,0,0,0,28.0,3,65,False,0,3
0,0,14,0,35.3,1,0,9.9,15.6,90,12,0,0,0,0,0,48.0,2,64,True,0,3
0,0,9,0,22.0,1,0,4.6,2.0,66,15,0,0,0,0,0,22.0,2,64,False,0,3
1,2,28,0,53.9,2,0,8.6,30.2,56,13,0,0,0,0,0,2.0,6,63,True,0,3
0,0,7,0,12.2,0,0,2.2,8.4,21,19,0,0,0,0,0,1.0,1,63,True,0,3
0,0,1,0,0.1,0,0,0.5,0.6,18,3,0,0,0,0,0,4.0,1,63,False,0,3
0,0,14,0,32.2,1,0,7.6,12.4,90,4,0,0,0,0,0,31.0,2,62,True,0,3
0,0,15,0,6.7,3,0,2.3,12.4,90,10,0,0,0,0,0,4.0,2,62,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,61,True,0,3
0,0,12,0,36.8,2,0,4.3,6.6,90,11,0,0,0,0,0,0.0,2,61,False,0,3
1,0,13,0,28.2,0,0,5.4,20.8,45,2,0,0,0,0,0,5.0,4,61,False,0,3
0,0,12,1,1.8,0,0,2.7,14.2,73,1,0,0,0,0,0,11.0,3,61,True,0,3
0,0,2,0,5.4,1,0,1.2,4.2,28,9,0,0,0,0,0,2.0,1,60,True,0,3
0,0,8,0,6.3,1,0,1.0,3.8,90,5,0,0,0,0,0,0.0,1,60,False,1,3
0,0,14,0,37.3,1,0,6.4,12.0,90,8,0,0,0,0,0,15.0,1,60,True,1,3
0,0,4,0,13.8,4,0,2.2,4.0,62,17,0,0,0,0,0,4.0,2,60,False,0,3
0,0,2,0,1.0,0,0,0.0,0.0,5,12,0,0,0,0,0,0.0,1,60,False,0,3
0,0,4,0,3.6,1,0,0.6,0.0,11,6,0,0,0,0,0,2.0,1,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,60,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,59,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,59,True,0,3
0,0,5,0,0.3,0,0,2.4,6.4,2,19,0,0,0,0,0,17.0,1,59,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,59,True,0,3
0,0,16,0,56.8,1,0,13.7,26.0,90,4,0,0,0,0,0,54.0,2,59,False,0,3
0,0,20,1,62.2,0,0,12.5,26.8,90,15,0,0,0,0,0,36.0,3,59,True,0,3
0,0,8,0,4.2,3,0,2.1,10.8,90,13,0,0,0,0,0,6.0,2,59,False,0,3
0,0,7,0,2.4,3,0,1.0,4.0,66,20,0,0,0,0,0,4.0,2,59,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,59,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,59,True,0,3
0,0,7,0,0.0,0,0,0.6,6.0,2,9,0,0,0,0,0,0.0,1,59,False,0,3
0,0,3,0,11.2,1,0,2.7,2.6,58,2,0,0,0,0,0,13.0,1,59,True,0,3
0,1,24,0,4.4,1,1,10.5,42.0,45,7,0,0,0,0,0,59.0,7,59,False,0,3
0,0,2,1,12.0,0,0,4.0,6.0,63,16,0,0,0,0,0,22.0,3,59,False,0,3
0,0,4,1,12.7,0,0,2.1,8.0,63,11,0,0,0,0,0,0.0,3,59,True,0,3
0,0,7,0,3.1,3,0,3.5,2.4,90,5,0,0,0,0,0,29.0,2,65,False,0,3
0,0,6,0,22.9,2,0,3.9,4.6,90,10,0,0,0,0,0,11.0,2,65,True,0,3
0,2,31,1,23.5,0,1,11.1,46.2,90,4,0,0,0,0,0,41.0,10,64,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,64,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,63,False,0,3
0,0,9,0,40.4,2,0,9.1,14.4,87,3,0,0,0,0,0,36.0,2,63,True,0,3
0,0,6,0,18.8,2,0,7.1,1.2,90,17,0,0,0,0,0,51.0,2,63,False,0,3
0,0,6,0,2.3,3,0,1.2,0.4,80,6,0,0,0,0,0,9.0,2,63,True,0,3
0,0,11,0,5.0,1,0,3.8,4.6,90,20,0,0,0,0,0,28.0,2,63,False,0,3
0,0,11,0,2.6,9,0,4.3,11.0,90,9,0,0,0,0,0,29.0,2,63,True,0,3
0,0,15,0,23.5,2,0,3.6,10.0,90,11,0,0,0,0,0,2.0,2,63,False,0,3
0,0,6,0,3.4,2,0,0.9,3.4,80,8,0,0,0,0,0,2.0,2,62,True,0,3
0,0,10,0,23.3,2,0,7.0,16.8,90,1,0,0,0,0,0,30.0,2,62,False,0,3
0,0,-1,0,3.4,1,0,2.2,1.2,56,18,0,0,0,0,0,17.0,0,62,True,1,3
0,0,9,0,13.7,1,0,7.5,15.0,90,14,0,0,0,0,0,46.0,2,62,True,0,3
0,0,17,0,3.4,2,0,6.2,24.4,90,13,0,0,0,0,0,34.0,2,62,False,0,3
0,0,0,0,1.8,1,0,0.1,0.0,45,19,0,0,0,0,0,0.0,1,62,True,0,3
0,0,6,0,28.6,1,0,4.5,6.6,90,2,0,0,0,0,0,10.0,2,62,False,0,3
0,0,22,1,1.0,0,1,7.9,39.6,90,6,0,0,0,0,0,38.0,8,62,False,0,3
0,0,10,0,12.7,1,0,2.8,7.0,90,7,0,0,0,0,0,8.0,2,62,True,0,3
0,0,7,1,27.0,0,0,10.4,18.2,90,17,0,0,0,0,0,59.0,3,62,True,0,3
0,0,13,0,33.5,1,0,5.4,16.8,90,9,0,0,0,0,0,4.0,2,62,False,0,3
0,0,14,0,30.3,3,0,4.6,12.4,77,20,0,0,0,0,0,3.0,2,62,True,0,3
1,3,49,1,40.0,0,1,13.5,69.4,90,7,0,0,0,0,0,26.0,13,62,False,1,3
