assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,0,9,0,0,0,0,1,0,0,True,0
0,0,0,0,0,13,8,0,0,0,0,2,0,1,False,0
0,0,0,0,0,0,18,0,0,0,0,3,0,0,False,0
1,0,0,0,0,29,13,0,0,0,0,4,0,4,True,0
0,0,0,0,0,0,7,0,0,0,0,5,0,0,False,0
0,0,0,0,0,12,4,0,0,0,0,6,0,1,True,0
0,0,0,0,0,0,3,0,0,0,0,7,0,0,False,0
0,0,0,0,0,0,16,0,0,0,0,8,0,0,True,0
0,0,0,0,0,0,12,0,0,0,0,9,0,0,True,0
0,3,0,0,2,22,15,0,0,0,0,10,0,12,False,0
0,0,0,0,0,21,17,0,0,0,0,11,0,1,True,0
0,2,0,0,1,18,11,0,0,0,0,12,0,7,False,0
1,0,0,0,0,15,2,0,0,0,0,13,0,4,True,0
0,0,0,0,0,0,20,0,0,0,0,14,0,0,False,0
0,0,0,0,0,13,14,0,0,0,0,15,0,1,True,0
0,0,0,1,0,20,6,0,0,0,0,16,0,1,False,0
0,0,0,0,0,16,10,0,0,0,0,17,0,1,False,0
0,2,1,0,1,90,19,0,0,0,0,18,0,7,True,1
0,2,1,0,1,90,5,0,0,0,0,19,0,8,True,0
2,3,0,3,1,90,2,0,0,0,0,20,0,15,False,0
0,0,0,0,1,59,16,0,0,0,0,21,0,5,False,0
0,0,1,0,0,86,3,0,0,0,0,22,0,2,True,0
0,0,0,2,0,45,18,0,0,0,0,23,0,1,True,0
0,1,0,1,1,26,4,0,0,0,0,24,0,6,False,0
0,0,0,0,0,0,7,0,0,0,0,25,0,0,True,0
0,0,0,2,0,73,9,0,0,0,0,27,0,2,False,0
0,0,0,1,0,26,19,0,0,0,0,29,0,1,False,0
0,0,0,0,0,23,10,0,0,0,0,30,0,1,True,0
0,0,0,0,1,17,20,0,0,0,0,31,0,5,True,0
0,0,0,2,0,31,5,0,0,0,0,32,0,1,False,0
0,0,0,1,0,90,12,0,0,0,0,33,0,2,False,0
0,0,0,0,0,16,8,0,0,0,0,34,0,1,True,0
0,0,0,2,0,80,17,0,0,0,0,35,0,1,False,1
0,0,0,0,0,7,11,0,0,0,0,36,0,1,True,0
0,1,0,0,1,11,13,0,0,0,0,36,0,6,False,0
0,3,0,1,2,83,14,0,0,0,0,37,0,13,False,0
1,0,1,0,0,84,15,0,0,0,0,37,0,5,True,0
0,0,0,0,0,0,6,0,0,0,0,38,0,0,True,00,0,0,0,1,23,9,0,0,0,0,1,0,5,True,0
0,0,0,0,0,24,15,0,0,0,0,2,0,1,False,0
0,0,0,1,0,28,10,0,0,0,0,3,0,1,False,0
0,0,0,0,0,15,2,0,0,0,0,4,0,1,True,0
0,0,0,0,0,17,5,0,0,0,0,5,0,1,False,0
0,0,0,0,0,7,19,0,0,0,0,6,0,1,True,0
0,0,0,0,0,19,3,0,0,0,0,7,0,1,True,0
0,0,0,2,0,22,18,0,0,0,0,8,0,1,False,0
0,0,0,0,0,0,7,0,0,0,0,9,0,0,False,0
0,0,0,0,0,9,16,0,0,0,0,10,0,1,True,0
0,0,0,0,0,12,11,0,0,0,0,11,0,1,False,0
0,0,0,0,0,0,17,0,0,0,0,12,0,0,True,0
0,0,0,0,0,0,4,0,0,0,0,13,0,0,False,0
0,2,0,0,2,45,8,0,0,0,0,14,0,11,True,0
0,0,0,0,0,14,12,0,0,0,0,15,0,1,True,0
0,2,0,0,1,18,14,0,0,0,0,16,0,7,False,0
0,0,1,0,0,90,20,0,0,0,0,17,0,2,False,0
0,0,0,0,0,17,13,0,0,0,0,18,0,1,True,0
0,0,0,0,0,0,10,0,0,0,0,19,0,0,True,0
0,0,0,0,0,0,6,0,0,0,0,20,0,0,False,0
0,0,0,0,0,0,19,0,0,0,0,21,0,0,False,0
0,0,0,0,0,0,5,0,0,0,0,22,0,0,True,0
0,0,0,0,0,0,2,0,0,0,0,23,0,0,False,0
0,0,0,0,0,0,6,0,0,0,0,24,0,0,True,0
0,0,0,1,0,14,16,0,0,0,0,25,0,1,False,0
0,0,0,3,0,26,18,0,0,0,0,26,0,1,False,0
1,0,1,0,0,60,19,0,0,0,0,27,0,5,True,0
0,0,0,0,0,12,12,0,0,0,0,28,0,1,False,0
0,0,0,0,0,12,11,0,0,0,0,29,0,1,False,0
0,0,1,0,0,71,6,0,0,0,0,30,0,2,True,0
0,0,0,0,0,9,17,0,0,0,0,32,0,1,True,0
0,0,0,0,0,12,20,0,0,0,0,33,0,1,True,0
