assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
1,0,22,1,24.2,0,0,7.2,13.2,77,3,0,0,0,0,0,35.0,6,50,True,0,3
0,0,18,0,41.8,2,0,6.8,24.0,90,17,0,0,0,0,0,2.0,2,50,False,0,3
0,0,20,1,73.1,0,0,10.1,13.8,90,13,0,0,0,0,0,14.0,3,50,False,0,3
0,0,9,0,21.8,1,0,2.9,7.6,90,10,0,0,0,0,0,0.0,2,50,True,0,3
0,0,6,0,12.8,3,0,2.4,10.8,58,20,0,0,0,0,0,0.0,1,49,False,0,3
0,0,14,1,36.0,0,0,9.4,24.4,86,9,0,0,0,0,0,34.0,3,48,True,0,3
0,0,13,0,27.6,1,0,4.2,14.2,86,15,0,0,0,0,0,0.0,2,48,False,0,3
0,0,3,0,0.2,0,0,0.1,0.4,10,16,0,0,0,0,0,0.0,1,47,True,0,3
0,0,13,0,17.8,1,0,3.3,5.2,70,8,0,0,0,0,0,10.0,2,47,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,46,False,0,3
0,0,13,0,6.3,1,0,1.9,2.2,66,4,0,0,0,0,0,10.0,2,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,44,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,44,True,0,3
