assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,3,0,1.4,4,0,0.8,6.6,45,11,0,0,0,0,0,0.0,1,65,True,0,3
0,0,4,0,2.8,1,0,1.0,4.6,76,4,0,0,0,0,0,3.0,2,65,False,0,3
0,0,4,0,1.1,0,0,2.7,8.4,12,18,0,0,0,0,0,17.0,1,64,False,0,3
0,0,4,0,0.8,0,0,0.2,1.2,2,14,0,0,0,0,0,0.0,1,63,True,0,3
0,0,5,0,11.8,0,0,2.9,3.4,28,2,0,0,0,0,0,14.0,1,62,False,0,3
0,0,13,1,14.9,0,0,2.4,6.8,90,12,0,0,0,0,0,2.0,3,62,True,0,3
0,0,14,0,41.3,2,0,10.3,10.0,66,3,0,0,0,0,0,52.0,2,61,False,0,3
0,0,3,0,0.8,1,0,0.1,0.2,22,7,0,0,0,0,0,0.0,1,61,True,0,3
0,0,0,0,5.2,1,0,2.7,0.0,62,8,0,0,0,0,0,22.0,2,61,False,0,3
0,0,8,0,14.3,0,0,2.3,6.2,12,15,0,0,0,0,0,2.0,1,61,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,60,True,0,3
0,0,7,0,6.6,3,0,0.7,0.0,63,5,0,0,0,0,0,0.0,2,60,False,0,3
0,0,3,0,3.1,0,0,0.8,2.6,34,17,0,0,0,0,0,2.0,1,60,True,0,3
1,0,15,1,13.4,0,0,4.0,24.6,82,6,0,0,0,0,0,2.0,5,60,False,1,3
0,0,7,0,17.9,2,0,5.3,13.6,90,20,0,0,0,0,0,21.0,2,60,False,0,3
1,0,16,0,21.1,3,0,5.6,21.2,90,1,0,0,0,0,0,14.0,5,60,True,0,3
1,0,19,1,32.8,0,0,9.9,29.0,90,16,0,0,0,0,0,37.0,6,60,False,0,3
0,0,6,0,13.1,0,0,2.1,7.4,58,7,0,0,0,0,0,0.0,1,60,False,0,3
0,3,33,0,18.5,2,1,8.4,48.2,90,9,0,0,0,0,0,17.0,10,60,True,0,3
0,0,11,1,10.1,0,0,5.6,7.2,90,3,0,0,0,0,0,39.0,3,60,True,0,3
0,0,2,0,1.0,0,0,0.2,1.0,6,15,0,0,0,0,0,0.0,1,60,False,0,3
0,0,5,0,5.1,1,0,2.8,5.6,59,8,0,0,0,0,0,17.0,1,60,True,0,3
0,0,5,0,3.9,2,0,1.0,6.4,45,9,0,0,0,0,0,0.0,1,60,False,0,3
0,0,1,0,0.0,0,0,0.2,0.0,21,10,0,0,0,0,0,4.0,1,60,True,0,3
0,0,4,0,0.3,0,0,0.2,1.2,5,4,0,0,0,0,0,0.0,1,60,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,11,0,0,0,0,0,0.0,0,60,False,0,3
0,0,20,0,4.3,2,1,5.4,32.4,43,10,0,0,0,0,0,17.0,6,60,False,0,3
2,1,34,0,24.9,1,0,8.8,43.4,90,16,0,0,0,0,0,20.0,9,60,True,0,3
0,0,9,0,11.8,1,0,5.1,10.4,86,1,0,0,0,0,0,29.0,1,60,False,1,3
0,0,4,0,2.2,1,0,2.6,1.8,80,20,0,0,0,0,0,22.0,2,60,True,0,3
0,0,8,0,21.1,1,0,3.0,4.8,71,17,0,0,0,0,0,4.0,1,60,False,1,3
0,0,13,0,3.6,2,0,0.8,4.0,90,6,0,0,0,0,0,0.0,2,60,True,0,3
0,0,4,0,6.5,2,0,1.7,0.6,74,13,0,0,0,0,0,10.0,2,60,False,0,3
0,0,14,0,21.8,1,0,3.4,9.6,85,5,0,0,0,0,0,3.0,2,60,True,0,3
0,0,9,1,4.2,0,0,1.0,2.4,82,14,0,0,0,0,0,3.0,3,60,False,0,3
