assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,50,True,0,2
0,0,7,0,1.8,1,0,1.4,12.2,90,14,0,0,0,0,0,0.0,1,50,False,1,2
0,0,15,0,3.9,1,0,1.7,13.4,90,20,0,0,0,0,0,0.0,2,49,True,0,2
0,0,3,0,0.0,0,0,0.2,2.2,1,11,0,0,0,0,0,0.0,1,49,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,49,True,0,2
0,0,4,0,0.3,0,0,0.3,2.4,13,16,0,0,0,0,0,0.0,1,48,False,0,2
0,0,13,0,2.3,2,0,2.2,18.0,90,17,0,0,0,0,0,2.0,1,48,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,48,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,19,0,0,0,0,0,0.0,0,47,False,0,2
0,0,15,0,17.1,1,0,2.9,11.6,90,12,0,0,0,0,0,0.0,2,47,True,0,2
0,0,3,0,1.9,1,0,1.1,8.8,54,5,0,0,0,0,0,0.0,1,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,True,0,2
0,0,14,0,57.7,4,0,11.6,22.4,90,8,0,0,0,0,0,36.0,0,47,False,0,2
0,3,38,1,13.3,0,1,9.4,47.8,90,18,0,0,0,0,0,33.0,14,47,True,1,2
0,0,2,0,3.2,1,0,1.5,1.8,45,1,0,0,0,0,0,10.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,False,0,2
0,1,26,0,3.3,1,0,3.7,31.4,85,9,0,0,0,0,0,2.0,3,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,47,True,0,2
0,0,14,0,1.8,2,0,1.0,7.8,61,6,0,0,0,0,0,0.0,1,47,False,0,2
0,0,15,0,22.2,2,0,4.2,12.8,90,17,0,0,0,0,0,7.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,47,False,0,2
0,0,4,0,1.5,1,0,0.9,5.2,13,16,0,0,0,0,0,2.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,15,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,14,0,0,0,0,0,0.0,0,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,47,True,0,2
0,0,4,0,10.3,0,0,1.2,2.0,2,1,0,0,0,0,0,0.0,1,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,4,0,0,0,0,0,0.0,0,47,False,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,47,True,0,2
0,0,3,0,0.3,0,0,0.2,1.2,10,13,0,0,0,0,0,0.0,1,47,False,0,2
0,1,29,1,14.0,0,0,2.4,7.8,90,11,0,0,0,0,0,2.0,7,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,47,False,0,2
1,0,14,0,11.5,0,0,5.5,24.6,23,5,0,0,0,0,0,19.0,4,47,True,0,2
0,0,4,0,0.5,0,0,0.5,4.2,9,8,0,0,0,0,0,0.0,1,47,True,0,2
0,0,3,0,0.8,1,0,0.2,1.0,29,19,0,0,0,0,0,0.0,1,47,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,18,0,0,0,0,0,0.0,0,47,False,0,2
0,0,11,0,1.0,4,0,2.8,27.2,90,12,0,0,0,0,0,0.0,-1,50,False,1,2
0,0,10,0,15.0,3,0,3.3,17.6,90,14,0,0,0,0,0,0.0,0,50,False,1,2
0,0,15,0,12.6,3,0,3.6,21.0,90,13,0,0,0,0,0,2.0,1,50,False,0,2
0,0,19,1,28.2,0,0,4.8,20.0,90,8,0,0,0,0,0,0.0,5,49,True,1,2
0,1,25,1,5.9,0,0,1.9,12.6,90,19,0,0,0,0,0,0.0,6,49,False,1,2
0,0,12,0,12.7,3,0,3.3,19.8,90,17,0,0,0,0,0,0.0,1,49,True,0,2
0,3,32,1,5.8,0,0,3.0,24.4,90,16,0,0,0,0,0,0.0,9,49,True,0,2
0,0,12,0,0.8,1,0,2.3,22.6,90,4,0,0,0,0,0,0.0,2,49,False,0,2
0,0,24,0,55.2,3,0,8.5,27.6,90,3,0,0,0,0,0,2.0,1,49,True,0,2
0,0,3,0,0.7,1,0,2.1,20.2,61,6,0,0,0,0,0,0.0,1,49,False,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,49,True,0,2
0,0,19,0,32.2,2,0,5.6,23.8,90,18,0,0,0,0,0,0.0,1,49,False,0,2
0,0,9,0,3.6,1,0,1.7,13.6,90,9,0,0,0,0,0,0.0,2,49,True,0,2
0,0,6,0,6.9,4,0,2.0,10.8,90,7,0,0,0,0,0,2.0,-1,49,False,1,2
0,0,14,0,0.3,2,0,1.7,17.0,90,11,0,0,0,0,0,0.0,1,49,False,0,2
0,2,26,1,0.6,0,0,2.5,24.2,90,5,0,0,0,0,0,0.0,8,49,True,0,2
0,0,24,1,1.0,0,0,2.3,22.2,90,1,0,0,0,0,0,0.0,6,49,True,0,2
0,0,26,1,1.4,0,0,2.4,20.6,90,15,0,0,0,0,0,2.0,6,49,False,0,2
0,0,16,0,3.2,3,0,2.5,21.4,90,13,0,0,0,0,0,0.0,1,49,True,0,2
0,0,5,0,5.9,2,0,1.3,4.8,78,2,0,0,0,0,0,2.0,0,49,False,1,2
0,0,12,0,12.5,1,0,2.8,11.6,90,19,0,0,0,0,0,4.0,2,49,True,0,2
0,0,12,0,0.5,1,0,2.8,27.6,90,17,0,0,0,0,0,0.0,2,49,False,0,2
0,0,13,0,0.8,1,0,1.6,14.8,90,8,0,0,0,0,0,0.0,2,49,False,0,2
0,0,19,0,16.4,1,0,4.7,23.8,90,2,0,0,0,0,0,7.0,2,49,True,0,2
0,0,15,0,2.0,1,0,0.8,6.0,90,6,0,0,0,0,0,0.0,2,49,True,0,2
0,0,13,0,2.4,3,0,1.7,14.6,90,3,0,0,0,0,0,0.0,1,49,False,0,2
0,0,20,1,0.8,0,0,1.6,15.0,90,18,0,0,0,0,0,0.0,5,49,True,1,2
0,0,10,0,3.6,4,0,2.7,19.2,90,10,0,0,0,0,0,4.0,0,49,False,0,2
0,0,19,0,0.9,4,0,1.5,14.4,90,16,0,0,0,0,0,0.0,0,49,False,0,2
0,0,7,0,0.9,3,0,1.5,8.4,90,4,0,0,0,0,0,6.0,1,49,True,0,2
0,0,20,1,0.8,0,0,1.5,10.2,90,14,0,0,0,0,0,4.0,6,49,True,0,2
0,0,12,0,2.5,1,0,1.5,12.6,90,5,0,0,0,0,0,0.0,2,49,False,0,2
0,0,10,0,16.1,1,0,3.4,8.2,90,15,0,0,0,0,0,10.0,2,49,True,0,2
0,0,5,0,11.3,4,0,2.5,13.2,90,1,0,0,0,0,0,0.0,-1,49,False,1,2
0,0,8,0,1.0,4,0,1.7,15.6,90,11,1,0,0,0,0,0.0,-2,49,True,0,2
0,0,24,1,12.3,0,0,4.0,20.0,90,9,0,0,0,0,0,8.0,6,49,False,0,2
0,0,20,1,2.1,0,0,2.8,7.8,90,12,0,0,0,0,0,18.0,6,49,True,0,2
1,0,16,0,13.8,1,0,4.0,20.6,90,7,0,0,0,0,0,6.0,5,49,True,0,2
0,0,0,0,0.0,0,0,0.0,0.0,0,12,0,0,0,0,0,0.0,0,45,False,0,2
0,0,11,0,18.2,2,0,4.6,21.8,90,2,0,0,0,0,0,6.0,0,45,True,1,2
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,44,False,0,2
