assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,6,0,17.1,2,0,2.4,7.0,90,11,0,0,0,0,0,0.0,2,55,True,0,3
0,0,3,0,3.5,2,0,0.5,1.0,61,9,0,0,0,0,0,0.0,2,55,False,0,3
0,0,9,1,42.2,0,0,7.2,8.2,90,18,0,0,0,0,0,22.0,3,55,False,0,3
1,3,58,0,55.8,1,2,17.1,90.2,90,19,0,0,0,0,0,25.0,18,54,True,0,3
1,2,34,0,63.5,2,0,9.8,34.6,76,2,0,0,0,0,0,0.0,7,55,False,0,3
0,0,12,1,25.9,0,0,5.5,9.4,90,13,0,0,0,0,0,20.0,3,56,True,0,3
0,0,15,0,41.9,2,0,5.7,15.4,90,1,0,0,0,0,0,0.0,1,57,False,1,3
1,1,25,0,45.5,1,0,8.0,30.0,90,7,0,0,0,0,0,4.0,6,57,True,0,3
1,0,19,1,23.3,0,0,5.1,27.8,76,20,0,0,0,0,0,0.0,6,57,False,0,3
1,2,25,0,43.3,1,0,7.1,25.8,83,14,0,0,0,0,0,2.0,7,58,True,0,3
0,0,8,1,4.1,0,0,1.8,5.4,84,16,0,0,0,0,0,8.0,3,59,False,0,3
0,3,30,0,30.6,2,1,8.3,32.6,83,15,0,0,0,0,0,20.0,10,59,True,0,3
0,3,33,0,43.5,1,0,10.4,31.6,87,12,0,0,0,0,0,29.0,5,59,False,0,3
0,0,9,1,61.2,0,0,8.1,10.4,81,6,0,0,0,0,0,9.0,3,60,True,0,3
0,0,11,0,6.0,5,0,0.9,2.6,90,10,0,0,0,0,0,0.0,2,60,True,0,3
0,0,2,0,2.3,2,0,2.2,1.2,62,8,0,0,0,0,0,18.0,2,60,False,0,3
0,0,3,0,0.0,1,0,0.1,1.0,12,17,0,0,0,0,0,0.0,1,60,False,0,3
0,0,13,1,29.3,0,0,4.2,8.6,74,4,0,0,0,0,0,4.0,3,59,True,0,3
0,3,33,1,85.7,0,1,14.2,43.0,82,18,0,0,0,0,0,13.0,11,59,True,0,3
0,0,5,0,14.9,0,0,2.2,7.4,17,5,0,0,0,0,0,0.0,1,59,False,0,3
0,0,11,1,52.2,0,0,7.3,8.0,90,13,0,0,0,0,0,13.0,3,59,False,0,3
0,0,18,0,75.1,2,0,12.2,25.2,87,2,0,0,0,0,0,22.0,2,59,True,0,3
0,0,6,0,17.8,2,0,1.9,0.4,65,19,0,0,0,0,0,1.0,2,59,False,0,3
0,0,10,0,34.7,2,0,5.4,10.2,67,5,0,0,0,0,0,9.0,2,58,True,0,3
0,0,8,0,25.4,1,0,3.9,11.2,82,14,0,0,0,0,0,2.0,2,58,False,0,3
1,3,37,0,54.7,1,1,15.8,57.0,82,20,0,0,0,0,0,46.0,13,58,True,0,3
0,0,18,0,59.3,1,0,9.8,17.6,78,15,0,0,0,0,0,21.0,2,58,False,0,3
1,0,23,0,49.2,1,0,12.8,29.4,90,16,0,0,0,0,0,49.0,5,59,True,0,3
1,1,23,0,60.8,1,0,12.6,34.8,86,1,0,0,0,0,0,30.0,6,59,True,0,3
0,0,11,0,18.2,2,0,4.7,8.8,90,7,0,0,0,0,0,20.0,2,59,False,0,3
0,0,12,0,48.9,2,0,6.9,13.4,90,9,0,0,0,0,0,7.0,2,60,True,0,3
